,PL1F6B~1,
Raman shift [1/cm],Intensity,
3014.167,1.875,
3011.256,0.075042947,
3008.346,55.413099,
3005.435,54.52871,
3002.525,56.252517,
2999.614,68.686682,
2996.704,65.556443,
2993.793,48.608872,
2990.882,76.126827,
2987.972,80.82455,
2985.061,77.081905,
2982.151,84.875,
2979.240,88.824617,
2976.329,75.847699,
2973.419,74.613382,
2970.508,82.808307,
2967.598,95.305121,
2964.687,106.74049,
2961.777,97.19111,
2958.866,102.54959,
2955.955,99.463486,
2953.045,110.95777,
2950.134,103.84292,
2947.224,102.875,
2944.313,105.57158,
2941.403,120.1729,
2938.492,99.311318,
2935.581,112.03081,
2932.671,117.99517,
2929.760,114.06345,
2926.850,111.77049,
2923.939,127.875,
2921.028,119.39844,
2918.118,119.31581,
2915.207,115.86855,
2912.297,110.86654,
2909.386,126.46624,
2906.476,118.84411,
2903.565,129.61722,
2900.654,112.64044,
2897.744,115.79957,
2894.833,109.875,
2891.923,122.84941,
2889.012,130.25072,
2886.102,123.64663,
2883.191,127.86839,
2880.280,114.50659,
2877.370,116.88666,
2874.459,100.99447,
2871.549,111.01991,
2868.638,126.64819,
2865.727,130.6942,
2862.817,133.8603,
2859.906,133.50748,
2856.996,123.37274,
2854.085,130.91703,
2851.175,129.56477,
2848.264,125.23283,
2845.353,131.04754,
2842.443,132.48614,
2839.532,129.86003,
2836.622,122.50977,
2833.711,117.50452,
2830.801,139.65883,
2827.890,128.95892,
2824.979,119.67708,
2822.069,116.09107,
2819.158,129.17419,
2816.248,128.09316,
2813.337,131.875,
2810.427,135.69869,
2807.516,121.35719,
2804.605,131.67067,
2801.695,122.95393,
2798.784,126.13577,
2795.874,126.86443,
2792.963,136.875,
2790.052,110.88058,
2787.142,146.2565,
2784.231,131.48836,
2781.321,127.74928,
2778.410,130.85469,
2775.500,142.47017,
2772.589,135.41323,
2769.678,141.15823,
2766.768,143.75848,
2763.857,138.92895,
2760.947,143.33402,
2758.036,138.56928,
2755.126,152.55021,
2752.215,128.27953,
2749.304,152.17173,
2746.394,147.23993,
2743.483,141.02502,
2740.573,138.76217,
2737.662,139.54512,
2734.751,149.13217,
2731.841,142.38782,
2728.930,153.65043,
2726.020,148.98206,
2723.109,144.10183,
2720.199,145.16872,
2717.288,150.96259,
2714.377,144.03762,
2711.467,146.26841,
2708.556,151.52384,
2705.646,151.49471,
2702.735,155.56058,
2699.825,166.04951,
2696.914,157.06545,
2694.003,148.18719,
2691.093,165.21435,
2688.182,157.71055,
2685.272,160.68012,
2682.361,151.99836,
2679.450,163.41408,
2676.540,163.05792,
2673.629,167.56112,
2670.719,161.44432,
2667.808,162.875,
2664.898,158.91391,
2661.987,161.30832,
2659.076,166.11207,
2656.166,155.24723,
2653.255,169.91241,
2650.345,161.81874,
2647.434,157.04648,
2644.524,163.12202,
2641.613,174.67513,
2638.702,181.79609,
2635.792,172.03153,
2632.881,166.98814,
2629.971,166.61998,
2627.060,180.04094,
2624.149,178.06564,
2621.239,172.63241,
2618.328,176.42603,
2615.418,186.88409,
2612.507,177.91059,
2609.597,180.3241,
2606.686,182.26456,
2603.775,191.07739,
2600.865,181.29133,
2597.954,178.875,
2595.044,175.24081,
2592.133,184.99619,
2589.223,188.74236,
2586.312,195.92523,
2583.401,196.89687,
2580.491,194.58651,
2577.580,181.8915,
2574.670,191.04479,
2571.759,188.32449,
2568.848,186.22858,
2565.938,182.01778,
2563.027,188.48412,
2560.117,184.05258,
2557.206,192.20341,
2554.296,190.90475,
2551.385,202.44507,
2548.474,184.83745,
2545.564,192.27354,
2542.653,206.56963,
2539.743,198.01055,
2536.832,195.93669,
2533.922,187.34808,
2531.011,210.55054,
2528.100,206.66946,
2525.190,196.52951,
2522.279,201.54671,
2519.369,194.27126,
2516.458,193.9869,
2513.548,201.34764,
2510.637,195.18241,
2507.726,203.62222,
2504.816,214.68785,
2501.905,205.5128,
2498.995,202.99444,
2496.084,205.18162,
2493.173,205.32235,
2490.263,208.06597,
2487.352,219.91673,
2484.442,217.45745,
2481.531,212.03454,
2478.621,205.6617,
2475.710,218.03602,
2472.799,233.69569,
2469.889,223.69219,
2466.978,226.26679,
2464.068,219.12895,
2461.157,232.64498,
2458.247,232.88967,
2455.336,225.57754,
2452.425,214.9599,
2449.515,220.10162,
2446.604,225.70221,
2443.694,229.75907,
2440.783,223.11036,
2437.872,213.67723,
2434.962,233.03629,
2432.051,224.46136,
2429.141,228.70431,
2426.230,247.76675,
2423.320,236.8324,
2420.409,229.65698,
2417.498,238.26826,
2414.588,242.32746,
2411.677,238.41287,
2408.767,244.02166,
2405.856,231.94635,
2402.946,245.13684,
2400.035,249.26937,
2397.124,233.0996,
2394.214,235.1994,
2391.303,234.26728,
2388.393,243.32619,
2385.482,250.69875,
2382.571,237.34298,
2379.661,251.36335,
2376.750,266.0301,
2373.840,270.95314,
2370.929,248.11325,
2368.019,256.52587,
2365.108,249.68914,
2362.197,258.62573,
2359.287,250.70675,
2356.376,265.84154,
2353.466,248.85957,
2350.555,256.82514,
2347.645,264.0591,
2344.734,249.11459,
2341.823,267.49359,
2338.913,250.60487,
2336.002,268.61662,
2333.092,277.75992,
2330.181,278.59368,
2327.270,279.70998,
2324.360,263.75705,
2321.449,276.84439,
2318.539,269.17162,
2315.628,282.89059,
2312.718,287.57544,
2309.807,286.69476,
2306.896,291.57609,
2303.986,274.61528,
2301.075,289.8324,
2298.165,282.71125,
2295.254,272.0258,
2292.344,267.92475,
2289.433,276.85954,
2286.522,291.35699,
2283.612,292.31375,
2280.701,272.75843,
2277.791,283.51433,
2274.880,281.72287,
2271.969,302.61985,
2269.059,294.75783,
2266.148,295.3341,
2263.238,309.3692,
2260.327,306.11628,
2257.417,298.72166,
2254.506,307.06588,
2251.595,310.44225,
2248.685,321.24036,
2245.774,308.55658,
2242.864,306.81016,
2239.953,308.3784,
2237.043,315.70607,
2234.132,307.26724,
2231.221,316.79755,
2228.311,312.43687,
2225.400,306.60678,
2222.490,330.20395,
2219.579,326.29404,
2216.669,339.84161,
2213.758,328.61093,
2210.847,343.86237,
2207.937,340.28218,
2205.026,352.43069,
