,PL22D5~1,
Raman shift [1/cm],Intensity,
3014.167,-4.875,
3011.256,1.3749463,
3008.346,92.230214,
3005.435,108.28048,
3002.525,117.71001,
2999.614,113.125,
2996.704,100.85902,
2993.793,120.86809,
2990.882,122.17082,
2987.972,107.27635,
2985.061,134.90825,
2982.151,149.73846,
2979.240,147.7077,
2976.329,142.85998,
2973.419,159.3096,
2970.508,164.44164,
2967.598,159.74267,
2964.687,159.28872,
2961.777,168.03099,
2958.866,177.11758,
2955.955,173.46573,
2953.045,184.14291,
2950.134,187.06085,
2947.224,205.98266,
2944.313,199.77671,
2941.403,205.94662,
2938.492,206.125,
2935.581,208.94217,
2932.671,198.32673,
2929.760,206.05577,
2926.850,211.75921,
2923.939,228.00349,
2921.028,223.10725,
2918.118,216.18672,
2915.207,228.94777,
2912.297,232.10807,
2909.386,224.30019,
2906.476,230.24857,
2903.565,230.07685,
2900.654,229.79537,
2897.744,231.93642,
2894.833,220.42391,
2891.923,218.6378,
2889.012,216.95737,
2886.102,222.54121,
2883.191,220.12878,
2880.280,196.5939,
2877.370,159.72975,
2874.459,155.35153,
2871.549,190.9673,
2868.638,212.67138,
2865.727,238.78269,
2862.817,231.56752,
2859.906,229.03668,
2856.996,233.13859,
2854.085,242.44855,
2851.175,228.38705,
2848.264,233.62016,
2845.353,237.125,
2842.443,228.34032,
2839.532,215.90111,
2836.622,219.21484,
2833.711,223.59126,
2830.801,232.125,
2827.890,226.93794,
2824.979,215.64309,
2822.069,225.23872,
2819.158,236.64522,
2816.248,240.61921,
2813.337,226.93963,
2810.427,237.77927,
2807.516,237.49187,
2804.605,247.83412,
2801.695,235.08553,
2798.784,227.01208,
2795.874,243.27012,
2792.963,242.41074,
2790.052,254.12264,
2787.142,249.57231,
2784.231,243.83463,
2781.321,245.81646,
2778.410,248.65547,
2775.500,236.59328,
2772.589,235.66475,
2769.678,248.62674,
2766.768,252.48812,
2763.857,252.967,
2760.947,249.60924,
2758.036,239.50075,
2755.126,257.4626,
2752.215,249.31595,
2749.304,256.48651,
2746.394,256.51206,
2743.483,268.575,
2740.573,251.26873,
2737.662,265.33802,
2734.751,254.1008,
2731.841,257.26053,
2728.930,263.24785,
2726.020,262.11979,
2723.109,265.21767,
2720.199,259.98748,
2717.288,260.94982,
2714.377,249.54598,
2711.467,271.07555,
2708.556,276.34858,
2705.646,266.74471,
2702.735,266.30284,
2699.825,283.48321,
2696.914,277.9818,
2694.003,261.95101,
2691.093,282.9108,
2688.182,278.25167,
2685.272,289.69115,
2682.361,271.94269,
2679.450,275.07971,
2676.540,277.125,
2673.629,276.12949,
2670.719,272.19801,
2667.808,274.93046,
2664.898,278.93045,
2661.987,279.99198,
2659.076,289.50647,
2656.166,305.93026,
2653.255,289.19983,
2650.345,288.69306,
2647.434,293.58256,
2644.524,302.56142,
2641.613,299.66806,
2638.702,299.18812,
2635.792,291.24963,
2632.881,292.39289,
2629.971,307.70228,
2627.060,311.62282,
2624.149,314.88439,
2621.239,300.37945,
2618.328,307.74352,
2615.418,305.76137,
2612.507,315.40169,
2609.597,314.03318,
2606.686,295.82582,
2603.775,312.56548,
2600.865,318.71205,
2597.954,328.87923,
2595.044,310.40224,
2592.133,323.73647,
2589.223,333.93238,
2586.312,324.44159,
2583.401,321.125,
2580.491,327.65864,
2577.580,341.09034,
2574.670,320.95521,
2571.759,329.73116,
2568.848,323.60008,
2565.938,330.79176,
2563.027,320.68635,
2560.117,322.58294,
2557.206,339.20618,
2554.296,343.0655,
2551.385,333.125,
2548.474,331.71756,
2545.564,352.42858,
2542.653,328.44043,
2539.743,337.11268,
2536.832,350.20725,
2533.922,346.09346,
2531.011,344.94993,
2528.100,342.32708,
2525.190,345.24016,
2522.279,341.54708,
2519.369,355.55863,
2516.458,352.55843,
2513.548,346.59764,
2510.637,356.69462,
2507.726,356.68264,
2504.816,360.43616,
2501.905,365.11037,
2498.995,355.99034,
2496.084,343.33757,
2493.173,360.65149,
2490.263,359.54081,
2487.352,369.91793,
2484.442,384.70745,
2481.531,381.3909,
2478.621,376.14392,
2475.710,374.06366,
2472.799,365.63173,
2469.889,373.82031,
2466.978,374.74365,
2464.068,373.99803,
2461.157,372.70249,
2458.247,372.99262,
2455.336,378.6984,
2452.425,377.77594,
2449.515,381.49299,
2446.604,385.88766,
2443.694,387.96217,
2440.783,391.17342,
2437.872,389.67197,
2434.962,399.3969,
2432.051,395.87827,
2429.141,402.56622,
2426.230,401.125,
2423.320,418.51118,
2420.409,407.06716,
2417.498,419.52668,
2414.588,410.95013,
2411.677,402.34015,
2408.767,406.86024,
2405.856,406.87736,
2402.946,425.50033,
2400.035,430.32688,
2397.124,434.85765,
2394.214,406.96419,
2391.303,426.62771,
2388.393,415.95519,
2385.482,432.11158,
2382.571,432.17624,
2379.661,418.45047,
2376.750,417.54872,
2373.840,427.94991,
2370.929,421.25496,
2368.019,446.3904,
2365.108,440.70615,
2362.197,435.95785,
2359.287,443.89826,
2356.376,448.12324,
2353.466,455.5034,
2350.555,453.61973,
2347.645,442.125,
2344.734,449.21718,
2341.823,449.15817,
2338.913,440.83545,
2336.002,445.60824,
2333.092,465.58446,
2330.181,457.99974,
2327.270,468.1349,
2324.360,476.10851,
2321.449,465.71004,
2318.539,465.50725,
2315.628,480.35082,
2312.718,476.75935,
2309.807,476.78343,
2306.896,473.63674,
2303.986,482.04062,
2301.075,486.50798,
2298.165,476.5479,
2295.254,480.9742,
2292.344,478.65198,
2289.433,479.48409,
2286.522,488.69194,
2283.612,491.81505,
2280.701,499.91422,
2277.791,500.12313,
2274.880,482.97287,
2271.969,500.00154,
2269.059,501.0896,
2266.148,507.7477,
2263.238,500.72732,
2260.327,519.05603,
2257.417,521.92055,
2254.506,519.96539,
2251.595,512.25583,
2248.685,523.59807,
2245.774,522.32283,
2242.864,515.03272,
2239.953,529.49049,
2237.043,537.63178,
2234.132,548.63147,
2231.221,543.88723,
2228.311,553.17266,
2225.400,544.26573,
2222.490,545.78291,
2219.579,534.20214,
2216.669,557.54153,
2213.758,566.64525,
2210.847,564.54313,
2207.937,572.79926,
2205.026,594.34686,
2202.116,610.9424,
2199.205,635.89959,
2196.294,642.439,
2193.384,637.57249,
2190.473,655.85857,
2187.563,676.15883,
2184.652,687.94458,
2181.742,713.35205,
2178.831,692.85645,
2175.920,703.01755,
2173.010,722.22477,
2170.099,702.06051,
2167.189,749.07477,
2164.278,742.85867,
2161.368,747.98204,
2158.457,756.47941,
2155.546,764.56442,
2152.636,792.69407,
2149.725,817.60821,
2146.815,816.25848,
2143.904,823.22908,
2140.993,837.31542,
2138.083,845.6539,
2135.172,847.52844,
2132.262,863.50616,
2129.351,844.22487,
2126.441,821.22204,
2123.530,821.04643,
2120.619,809.17108,
2117.709,767.31381,
2114.798,731.29801,
2111.888,705.72572,
2108.977,693.93957,
2106.067,687.78284,
2103.156,656.97028,
2100.245,658.11308,
2097.335,635.51244,
2094.424,611.99719,
2091.514,627.91807,
2088.603,641.0743,
2085.692,617.29987,
2082.782,614.26146,
2079.871,611.08883,
2076.961,645.60646,
2074.050,621.07652,
2071.140,624.63039,
2068.229,645.13152,
2065.318,628.70449,
2062.408,619.55692,
2059.497,632.54168,
2056.587,623.22989,
2053.676,633.45734,
2050.766,611.28046,
2047.855,616.89717,
2044.944,607.79488,
2042.034,603.86495,
2039.123,607.22264,
2036.213,599.60284,
2033.302,618.58153,
2030.391,605.24399,
2027.481,634.57588,
2024.570,630.2683,
2021.660,621.47978,
2018.749,609.08701,
2015.839,606.91437,
2012.928,605.10151,
2010.017,612.1391,
2007.107,588.89323,
2004.196,611.01792,
2001.286,608.39359,
1998.375,612.82579,
1995.465,598.1,
1992.554,593.87793,
1989.643,571.91997,
1986.733,580.76711,
1983.822,589.16267,
1980.912,576.81853,
1978.001,592.67602,
1975.090,584.32805,
1972.180,570.57449,
1969.269,580.90094,
1966.359,601.71963,
1963.448,584.86211,
1960.538,557.83726,
1957.627,592.35723,
1954.716,568.95808,
1951.806,546.91985,
