,PL25F9~1,
Raman shift [1/cm],Intensity,
3014.167,3.875,
3011.256,-0.27492484,
3008.346,48.917935,
3005.435,62.684189,
3002.525,65.912472,
2999.614,73.785373,
2996.704,61.830671,
2993.793,60.361176,
2990.882,69.745235,
2987.972,71.880045,
2985.061,77.751854,
2982.151,81.232981,
2979.240,86.256165,
2976.329,84.350429,
2973.419,85.736876,
2970.508,80.508287,
2967.598,85.257329,
2964.687,96.695652,
2961.777,96.345039,
2958.866,100.87797,
2955.955,97.633849,
2953.045,110.93986,
2950.134,101.51349,
2947.224,111.90347,
2944.313,108.3807,
2941.403,102.875,
2938.492,109.15142,
2935.581,106.28359,
2932.671,109.75483,
2929.760,110.47885,
2926.850,119.45695,
2923.939,120.99651,
2921.028,110.48083,
2918.118,116.21631,
2915.207,116.86855,
2912.297,120.82846,
2909.386,122.48813,
2906.476,127.875,
2903.565,144.03648,
2900.654,126.19353,
2897.744,133.79957,
2894.833,121.68955,
2891.923,120.984,
2889.012,134.1698,
2886.102,129.91553,
2883.191,110.89671,
2880.280,114.36783,
2877.370,119.73547,
2874.459,118.69889,
2871.549,121.26978,
2868.638,110.51006,
2865.727,134.21731,
2862.817,135.60361,
2859.906,129.55876,
2856.996,126.91123,
2854.085,138.24058,
2851.175,129.4684,
2848.264,126.93883,
2845.353,128.70246,
2842.443,123.67013,
2839.532,120.88997,
2836.622,119.81315,
2833.711,115.45271,
2830.801,125.86765,
2827.890,127.04284,
2824.979,126.45504,
2822.069,122.92049,
2819.158,129.53538,
2816.248,129.39237,
2813.337,115.89573,
2810.427,125.78684,
2807.516,120.29953,
2804.605,125.91827,
2801.695,122.55919,
2798.784,123.13577,
2795.874,124.4502,
2792.963,124.08936,
2790.052,122.87564,
2787.142,147.638,
2784.231,113.84397,
2781.321,126.37212,
2778.410,122.60976,
2775.500,147.78741,
2772.589,126.95297,
2769.678,149.83742,
2766.768,143.26527,
2763.857,145.76903,
2760.947,137.35924,
2758.036,141.65211,
2755.126,140.34722,
2752.215,141.83398,
2749.304,140.85341,
2746.394,143.27625,
2743.483,144.17494,
2740.573,147.00328,
2737.662,145.18418,
2734.751,148.41354,
2731.841,141.57646,
2728.930,155.22242,
2726.020,155.98206,
2723.109,145.78233,
2720.199,144.46244,
2717.288,149.52463,
2714.377,144.13336,
2711.467,152.0717,
2708.556,153.39626,
2705.646,147.95949,
2702.735,146.55026,
2699.825,158.78774,
2696.914,149.92226,
2694.003,138.60019,
2691.093,165.6608,
2688.182,154.89204,
2685.272,159.35295,
2682.361,161.72216,
2679.450,161.1219,
2676.540,166.71241,
2673.629,156.55214,
2670.719,152.51733,
2667.808,149.06954,
2664.898,152.17364,
2661.987,157.57503,
2659.076,161.49353,
2656.166,158.82734,
2653.255,159.21173,
2650.345,157.71529,
2647.434,155.96074,
2644.524,159.57765,
2641.613,163.875,
2638.702,154.03281,
2635.792,157.56194,
2632.881,157.8334,
2629.971,170.57979,
2627.060,175.04094,
2624.149,176.28126,
2621.239,175.38389,
2618.328,174.00216,
2615.418,182.1841,
2612.507,179.84343,
2609.597,176.41592,
2606.686,160.35494,
2603.775,183.19643,
2600.865,174.87837,
2597.954,172.82709,
2595.044,171.875,
2592.133,171.875,
2589.223,186.14028,
2586.312,179.29205,
2583.401,187.79468,
2580.491,189.49035,
2577.580,178.8882,
2574.670,186.59826,
2571.759,183.12243,
2568.848,169.35008,
2565.938,182.54176,
2563.027,170.97272,
2560.117,171.60397,
2557.206,173.58718,
2554.296,180.38987,
2551.385,183.75101,
2548.474,182.06013,
2545.564,191.52679,
2542.653,178.81124,
2539.743,189.89965,
2536.832,196.93669,
2533.922,188.95385,
2531.011,190.3003,
2528.100,194.20257,
2525.190,198.75984,
2522.279,201.35912,
2519.369,193.28995,
2516.458,199.43095,
2513.548,199.06592,
2510.637,186.73576,
2507.726,203.93449,
2504.816,196.56045,
2501.905,205.78781,
2498.995,200.27781,
2496.084,196.3942,
2493.173,205.55911,
2490.263,204.47048,
2487.352,212.3742,
2484.442,200.30541,
2481.531,203.61431,
2478.621,197.12615,
2475.710,209.05903,
2472.799,230.40866,
