,PL4B8A~1,
Raman shift [1/cm],Intensity,
3014.167,-0.75,
3011.256,3.0499571,
3008.346,100.54748,
3005.435,115.97791,
3002.525,122.06264,
2999.614,105.33963,
2996.704,119.33866,
2993.793,129.51613,
2990.882,122.33394,
2987.972,130.30045,
2985.061,138.4766,
2982.151,128.32394,
2979.240,141.41539,
2976.329,156.51502,
2973.419,161.85026,
2970.508,159.26662,
2967.598,145.91908,
2964.687,166.41372,
2961.777,172.43802,
2958.866,158.91568,
2955.955,161.7677,
2953.045,188.94797,
2950.134,188.19755,
2947.224,183.62009,
2944.313,198.04772,
2941.403,199.38093,
2938.492,198.23915,
2935.581,196.06717,
2932.671,192.09121,
2929.760,207.33848,
2926.850,193.45188,
2923.939,210.65188,
2921.028,203.4794,
2918.118,237.16939,
2915.207,215.18017,
2912.297,218.18653,
2909.386,220.05292,
2906.476,222.05618,
2903.565,239.94408,
2900.654,232.47346,
2897.744,213.40087,
2894.833,221.95109,
2891.923,215.6282,
2889.012,223.20954,
2886.102,207.16893,
2883.191,214.23584,
2880.280,201.26435,
2877.370,191.31393,
2874.459,159.18716,
2871.549,186.35549,
2868.638,224.11596,
2865.727,206.12304,
2862.817,232.90774,
2859.906,219.70584,
2856.996,225.73868,
2854.085,233.53152,
2851.175,230.10545,
2848.264,223.1765,
2845.353,232.60299,
2842.443,207.24304,
2839.532,231.87675,
2836.622,215.40169,
2833.711,218.87952,
2830.801,227.54485,
2827.890,225.52098,
2824.979,217.26206,
2822.069,242.14765,
2819.158,227.92924,
2816.248,227.46816,
2813.337,215.06463,
2810.427,234.02961,
2807.516,219.04875,
2804.605,236.63702,
2801.695,228.0263,
2798.784,226.02823,
2795.874,235.68537,
2792.963,224.74989,
2790.052,226.24914,
2787.142,231.64485,
2784.231,231.89598,
2781.321,227.18714,
2778.410,231.64466,
2775.500,233.88897,
2772.589,229.55734,
2769.678,235.85404,
2766.768,240.32183,
2763.857,242.092,
2760.947,242.2563,
2758.036,234.77861,
2755.126,231.10257,
2752.215,248.56825,
2749.304,248.88849,
2746.394,232.69551,
2743.483,247.60001,
2740.573,252.4602,
2737.662,239.47337,
2734.751,244.71595,
2731.841,244.68223,
2728.930,241.02543,
2726.020,250.26042,
2723.109,253.81708,
2720.199,247.05305,
2717.288,259.42518,
2714.377,256.8959,
2711.467,242.62693,
2708.556,247.72874,
2705.646,246.40493,
2702.735,266.24484,
2699.825,253.91361,
2696.914,264.06002,
2694.003,256.60773,
2691.093,263.41124,
2688.182,258.15741,
2685.272,264.64829,
2682.361,264.91485,
2679.450,266.03598,
2676.540,253.71745,
2673.629,273.92714,
2670.719,257.04574,
2667.808,265.47183,
2664.898,257.28891,
2661.987,265.91678,
2659.076,273.74138,
2656.166,270.20234,
2653.255,268.66156,
2650.345,269.01044,
2647.434,272.33574,
2644.524,281.35795,
2641.613,283.96402,
2638.702,292.04485,
2635.792,278.2181,
2632.881,280.36314,
2629.971,277.37751,
2627.060,279.91563,
2624.149,286.4125,
2621.239,281.24407,
2618.328,288.75865,
2615.418,295.93636,
2612.507,300.90212,
2609.597,303.8009,
2606.686,306.93874,
2603.775,292.76984,
2600.865,300.65958,
2597.954,293.53748,
2595.044,297.26771,
2592.133,295.69588,
2589.223,293.68368,
2586.312,303.76256,
2583.401,303.10765,
2580.491,306.5096,
2577.580,299.2632,
2574.670,308.63369,
2571.759,306.74487,
2568.848,301.42679,
2565.938,312.63107,
2563.027,298.34772,
2560.117,301.52103,
2557.206,322.1393,
2554.296,299.10812,
2551.385,314.20011,
2548.474,330.36115,
2545.564,311.88311,
2542.653,314.56543,
2539.743,319.78081,
2536.832,323.29112,
2533.922,325.28154,
2531.011,330.27474,
2528.100,336.65069,
2525.190,334.45943,
2522.279,324.57829,
2519.369,335.17429,
2516.458,339.24646,
2513.548,319.87749,
2510.637,329.21745,
2507.726,347.69607,
2504.816,338.00198,
2501.905,329.96036,
2498.995,336.47365,
2496.084,329.15595,
2493.173,344.11854,
2490.263,331.29517,
2487.352,332.70907,
2484.442,347.80673,
2481.531,353.4575,
2478.621,327.52007,
2475.710,381.92029,
2472.799,341.46971,
2469.889,349.21953,
2466.978,356.02314,
2464.068,345.80022,
2461.157,360.90253,
2458.247,347.99992,
2455.336,361.99171,
2452.425,351.96224,
2449.515,362.77806,
2446.604,352.60253,
2443.694,364.87832,
2440.783,368.39189,
2437.872,358.72404,
2434.962,371.77534,
2432.051,375.20065,
2429.141,374.40298,
2426.230,372.31519,
2423.320,377.19274,
2420.409,380.73721,
2417.498,381.24158,
2414.588,375.89262,
2411.677,383.10657,
2408.767,378.99705,
2405.856,377.78095,
2402.946,382.72632,
2400.035,401.43311,
2397.124,372.28207,
2394.214,394.9524,
2391.303,389.57046,
2388.393,386.50349,
2385.482,396.76532,
2382.571,395.93375,
2379.661,394.08712,
2376.750,408.61696,
2373.840,414.03437,
2370.929,428.09838,
2368.019,421.04621,
2365.108,394.50654,
2362.197,412.9323,
2359.287,407.09846,
2356.376,411.23239,
2353.466,405.43149,
2350.555,410.64501,
2347.645,411.25,
2344.734,413.61406,
2341.823,418.18367,
2338.913,410.09181,
2336.002,419.5419,
2333.092,416.62925,
2330.181,435.84842,
2327.270,411.95516,
2324.360,427.77124,
2321.449,426.32825,
