,PL57AE~1,
Raman shift [1/cm],Intensity,
3014.167,3.125,
3011.256,1.125,
3008.346,69.451492,
3005.435,77.934189,
3002.525,88.295022,
2999.614,88.461355,
2996.704,82.443557,
2993.793,97.753456,
2990.882,100.77382,
2987.972,85.276349,
2985.061,114.68165,
2982.151,115.88635,
2979.240,109.85884,
2976.329,122.1523,
2973.419,115.60176,
2970.508,126.44164,
2967.598,122.02942,
2964.687,123.46807,
2961.777,122.59504,
2958.866,133.44596,
2955.955,134.94803,
2953.045,142.14291,
2950.134,145.06085,
2947.224,159.06806,
2944.313,152.18127,
2941.403,143.51779,
2938.492,148.24152,
2935.581,149.50657,
2932.671,153.76881,
2929.760,167.77884,
2926.850,154.5953,
2923.939,175.28387,
2921.028,171.41904,
2918.118,168.78873,
2915.207,182.64378,
2912.297,176.10384,
2909.386,181.2856,
2906.476,182.05475,
2903.565,163.47907,
2900.654,177.96018,
2897.744,178.79812,
2894.833,156.42391,
2891.923,171.6667,
2889.012,171.07876,
2886.102,174.04393,
2883.191,161.12972,
2880.280,136.06279,
2877.370,101.57856,
2874.459,93.879852,
2871.549,133.09889,
2868.638,152.80747,
2865.727,176.75578,
2862.817,166.1103,
2859.906,169.92272,
2856.996,180.60462,
2854.085,190.40652,
2851.175,180.95932,
2848.264,170.71301,
2845.353,170.23284,
2842.443,171.93057,
2839.532,168.67723,
2836.622,159.58008,
2833.711,177.3762,
2830.801,172.24044,
2827.890,178.66696,
2824.979,171.13706,
2822.069,170.43205,
2819.158,193.32446,
2816.248,193.84895,
2813.337,189.87744,
2810.427,179.64704,
2807.516,197.64281,
2804.605,190.8774,
2801.695,186.08553,
2798.784,191.90323,
2795.874,170.125,
2792.963,176.55372,
2790.052,193.12221,
2787.142,190.48027,
2784.231,179.06135,
2781.321,184.81646,
2778.410,185.5806,
2775.500,187.44224,
2772.589,187.70373,
2769.678,207.23425,
2766.768,195.69005,
2763.857,193.96893,
2760.947,203.59033,
2758.036,193.04217,
2755.126,196.98397,
2752.215,193.72047,
2749.304,189.01889,
2746.394,200.81853,
2743.483,204.92501,
2740.573,204.89934,
2737.662,199.79512,
2734.751,197.1008,
2731.841,205.61218,
2728.930,205.14614,
2726.020,207.67593,
2723.109,200.57867,
2720.199,197.57491,
2717.288,210.125,
2714.377,201.4168,
2711.467,206.91181,
2708.556,213.77384,
2705.646,217.125,
2702.735,217.30284,
2699.825,224.21226,
2696.914,227.41092,
2694.003,203.56564,
2691.093,215.66051,
2688.182,222.34426,
2685.272,228.69115,
2682.361,215.27784,
2679.450,217.29374,
2676.540,223.96241,
2673.629,218.44786,
2670.719,221.84034,
2667.808,223.97909,
2664.898,232.19018,
2661.987,226.62517,
2659.076,230.50647,
2656.166,238.78729,
2653.255,245.83078,
2650.345,225.22845,
2647.434,225.26847,
2644.524,245.03626,
2641.613,240.125,
2638.702,227.33015,
2635.792,232.59161,
2632.881,243.35129,
2629.971,246.9774,
2627.060,246.62594,
2624.149,237.74688,
2621.239,235.37352,
2618.328,238.91306,
2615.418,236.77955,
2612.507,240.26335,
2609.597,247.29865,
2606.686,244.98242,
2603.775,237.56548,
2600.865,254.41515,
2597.954,253.40629,
2595.044,243.41995,
2592.133,243.5644,
2589.223,246.14922,
2586.312,257.7833,
2583.401,260.16516,
2580.491,266.57692,
2577.580,279.12005,
2574.670,277.50869,
2571.759,266.26114,
2568.848,263.1803,
2565.938,248.88671,
2563.027,274.02728,
2560.117,267.67639,
2557.206,278.68588,
2554.296,267.72225,
2551.385,256.125,
2548.474,258.23615,
2545.564,267.8401,
2542.653,272.44043,
2539.743,278.64348,
2536.832,286.94183,
2533.922,276.34577,
2531.011,285.72537,
2528.100,277.32362,
2525.190,276.17213,
2522.279,290.2188,
2519.369,291.52126,
2516.458,278.45007,
2513.548,264.27052,
2510.637,280.61686,
2507.726,287.81273,
2504.816,283.18701,
2501.905,289.05244,
2498.995,290.64725,
2496.084,287.72433,
2493.173,290.38791,
2490.263,299.28209,
2487.352,300.79113,
2484.442,293.125,
2481.531,291.54523,
2478.621,302.40941,
2475.710,287.31669,
2472.799,312.8649,
2469.889,310.76211,
2466.978,309.73321,
2464.068,282.39474,
2461.157,303.1674,
2458.247,317.56615,
2455.336,303.57313,
2452.425,311.49766,
