,PL778C~1,
Raman shift [1/cm],Intensity,
3014.167,-1,
3011.256,1.4499893,
3008.346,224.96013,
3005.435,279.84452,
3002.525,290.22763,
2999.614,269.17925,
2996.704,284.2299,
2993.793,297.73387,
2990.882,322.9923,
2987.972,322.1009,
2985.061,338.89655,
2982.151,331.47731,
2979.240,353.73384,
2976.329,370.53549,
2973.419,407.96945,
2970.508,402.08332,
2967.598,398.76466,
2964.687,407.31386,
2961.777,409.96591,
2958.866,411.6538,
2955.955,425.20576,
2953.045,450.34899,
2950.134,458.16038,
2947.224,477.31316,
2944.313,491.14601,
2941.403,499.34535,
2938.492,512.56368,
2935.581,498.4356,
2932.671,508.72104,
2929.760,539.66158,
2926.850,516.50827,
2923.939,527.51868,
2921.028,531.2294,
2918.118,548.29849,
2915.207,534.23416,
2912.297,541.96192,
2909.386,555.79562,
2906.476,564.48032,
2903.565,568.66298,
2900.654,552.62283,
2897.744,545.71084,
2894.833,527.536,
2891.923,558.32701,
2889.012,560.00578,
2886.102,538.58379,
2883.191,535.00189,
2880.280,525.99042,
2877.370,495,
2874.459,485.22653,
2871.549,530.46084,
2868.638,551.90928,
2865.727,549.28847,
2862.817,559.84357,
2859.906,565,
2856.996,580.92754,
2854.085,572.3529,
2851.175,580.82839,
2848.264,567.20116,
2845.353,575.48239,
2842.443,558.38886,
2839.532,555.58217,
2836.622,555.14584,
2833.711,536.41445,
2830.801,536.80588,
2827.890,555.20628,
2824.979,551.41996,
2822.069,562.9204,
2819.158,549.15902,
2816.248,562.65447,
2813.337,548.51584,
2810.427,569.30855,
2807.516,558.63313,
2804.605,578.18269,
2801.695,560.85523,
2798.784,560.18685,
2795.874,556.54878,
2792.963,572.85702,
2790.052,579.99786,
2787.142,555.86838,
2784.231,536.38822,
2781.321,551.50288,
2778.410,563.97969,
2775.500,555.68276,
2772.589,560.46177,
2769.678,571.89075,
2766.768,574.50679,
2763.857,581.52794,
2760.947,590.97478,
2758.036,599.70708,
2755.126,599.28205,
2752.215,618.57285,
2749.304,599.08636,
2746.394,593.96368,
2743.483,596.20004,
2740.573,603.19475,
2737.662,613.86243,
2734.751,608.83961,
2731.841,622.56777,
2728.930,614.32629,
2726.020,620.89815,
2723.109,606.722,
2720.199,618.21562,
2717.288,619.5438,
2714.377,614.77508,
