,PL856E~1,
Raman shift [1/cm],Intensity,
3014.167,-0.625,
3011.256,-1.8250429,
3008.346,87.581181,
3005.435,104.8379,
3002.525,118.50755,
2999.614,112.56332,
2996.704,112.96778,
2993.793,120.10887,
2990.882,127.85594,
2987.972,118.48094,
2985.061,133.1681,
2982.151,136.82375,
2979.240,142.0727,
2976.329,144.60725,
2973.419,159.08283,
2970.508,166.94159,
2967.598,155.75733,
2964.687,168.6284,
2961.777,171.65702,
2958.866,175.37055,
2955.955,168.47457,
2953.045,170.84257,
2950.134,174.94934,
2947.224,181.02978,
2944.313,199.77956,
2941.403,199.72035,
2938.492,191.52405,
2935.581,195.78359,
2932.671,218.7698,
2929.760,196.11731,
2926.850,196.53177,
2923.939,222.45444,
2921.028,205.8807,
2918.118,211.97702,
2915.207,224.2547,
2912.297,219.38346,
2909.386,218.56478,
2906.476,220.01825,
2903.565,225.11722,
2900.654,235.05647,
2897.744,218.31214,
2894.833,216.26154,
2891.923,223.6186,
2889.012,219.75072,
2886.102,214.95879,
2883.191,217.37122,
2880.280,182.35107,
2877.370,159.74131,
2874.459,153.31216,
2871.549,174.25673,
2868.638,207.24096,
2865.727,225.97886,
2862.817,219.18917,
2859.906,218.83084,
2856.996,224.36594,
2854.085,249.2616,
2851.175,234.63705,
2848.264,227.02684,
2845.353,219.61224,
2842.443,221.19102,
2839.532,210.47946,
2836.622,211.16146,
2833.711,209.63403,
2830.801,224.26691,
2827.890,234.20716,
2824.979,221.31305,
2822.069,220.42049,
2819.158,227.79549,
2816.248,231.13368,
2813.337,232.87989,
2810.427,216.24277,
2807.516,225.26703,
2804.605,232.33173,
2801.695,218.71709,
2798.784,227.34008,
2795.874,227.52012,
2792.963,221.51777,
2790.052,229.37286,
2787.142,228.33542,
2784.231,219.50388,
2781.321,226.6893,
2778.410,227.64024,
2775.500,236.92637,
2772.589,248.41247,
2769.678,239.4091,
2766.768,229.33032,
2763.857,232.27096,
2760.947,244.38761,
2758.036,238.75075,
2755.126,246.75534,
2752.215,246.2477,
2749.304,240.8858,
2746.394,249.55037,
2743.483,260.825,
2740.573,235.53418,
