,PLA2D2~1,
Raman shift [1/cm],Intensity,
3014.167,-0.5,
3011.256,-2.8000644,
3008.346,90.403279,
3005.435,109.57774,
3002.525,114.29251,
2999.614,118.64804,
2996.704,104.04846,
2993.793,122.49078,
2990.882,128.93512,
2987.972,108.62612,
2985.061,135.71675,
2982.151,144.66471,
2979.240,150.03231,
2976.329,158.50546,
2973.419,147.3154,
2970.508,166.23323,
2967.598,174.68755,
2964.687,163.27581,
2961.777,156.7221,
2958.866,171.83135,
2955.955,176.77655,
2953.045,185.76622,
2950.134,183.10642,
2947.224,209.67081,
2944.313,213.25285,
2941.403,214.84535,
2938.492,203.38348,
2935.581,219.02147,
2932.671,222.33688,
2929.760,212.91539,
2926.850,218.5,
2923.939,230.37849,
2921.028,217.0057,
2918.118,231.28212,
2915.207,248.5,
2912.297,239.53808,
2909.386,229.29562,
2906.476,242.01122,
2903.565,228.91926,
2900.654,240.89938,
2897.744,230.39942,
2894.833,227.44836,
2891.923,225.5801,
2889.012,224.87572,
2886.102,226.72837,
2883.191,218.51038,
2880.280,195.39952,
2877.370,171.80237,
2874.459,162.73274,
2871.549,191.13186,
2868.638,215.18247,
2865.727,223.58075,
2862.817,228.04278,
2859.906,231.32336,
2856.996,240.52264,
2854.085,262.78786,
2851.175,238.40363,
2848.264,237.63733,
2845.353,229.78037,
2842.443,237.70836,
2839.532,242.14172,
2836.622,226.86523,
2833.711,237.12952,
2830.801,229.60809,
2827.890,229.2098,
2824.979,238.42599,
2822.069,217.84116,
2819.158,247.11995,
2816.248,250.98263,
2813.337,252.7061,
2810.427,235.98486,
2807.516,245.54297,
2804.605,262.02643,
2801.695,239.44735,
2798.784,255.65192,
2795.874,247.19919,
2792.963,255.71415,
2790.052,258.49871,
2787.142,232.85527,
2784.231,235.62888,
2781.321,242.5,
2778.410,239.18021,
2775.500,243.69034,
2772.589,251.69342,
2769.678,267.10752,
2766.768,249.26697,
2763.857,260.81599,
2760.947,263.5063,
2758.036,244.16867,
2755.126,273.64743,
2752.215,259.90453,
2749.304,255.8831,
2746.394,257.65324,
2743.483,266.59995,
2740.573,245.44898,
2737.662,268.40384,
2734.751,270.68458,
2731.841,255.58058,
2728.930,269.74571,
2726.020,274.16319,
2723.109,280.36583,
2720.199,271.36248,
2717.288,278.30657,
2714.377,267.56688,
2711.467,271.89341,
2708.556,280.27642,
2705.646,271.28869,
2702.735,278.33763,
2699.825,282.98909,
2696.914,296.45274,
2694.003,281.24309,
2691.093,279.94645,
2688.182,291.19185,
2685.272,293.78307,
2682.361,288.65284,
2679.450,301.99379,
2676.540,301.25611,
2673.629,283.52694,
2670.719,286.91591,
2667.808,297.40273,
2664.898,294.46109,
2661.987,296.03342,
