,PLD3A7~1,
Raman shift [1/cm],Intensity,
3014.167,-3.375,
3011.256,0.72502147,
3008.346,91.326345,
3005.435,99.01016,
3002.525,100.03999,
2999.614,105.95229,
2996.704,111.17346,
2993.793,118.65265,
2990.882,107.228,
2987.972,123.65022,
2985.061,133.50185,
2982.151,126.4149,
2979.240,128.43771,
2976.329,139.85725,
2973.419,138.23989,
2970.508,145.05841,
2967.598,135.19849,
2964.687,147.58016,
2961.777,154.06095,
2958.866,150.95338,
2955.955,165.21349,
2953.045,171.87331,
2950.134,160.23142,
2947.224,168.625,
2944.313,178.51247,
2941.403,183.67245,
2938.492,169.33774,
2935.581,184.11945,
2932.671,183.90396,
2929.760,188.24809,
2926.850,191.88628,
2923.939,193.10632,
2921.028,194.01917,
2918.118,185.30762,
2915.207,198.38439,
2912.297,189.63769,
2909.386,192.39143,
2906.476,193.13622,
2903.565,185.57685,
2900.654,194.47129,
2897.744,210.51185,
2894.833,199.15082,
2891.923,195.625,
2889.012,197.75217,
2886.102,187.00068,
2883.191,199.61084,
2880.280,176.0939,
2877.370,168.27036,
2874.459,175.39226,
2871.549,186.59889,
2868.638,209.17138,
2865.727,202.65192,
2862.817,202.43917,
2859.906,201.01815,
2856.996,213.65217,
2854.085,212.90652,
2851.175,204.36295,
2848.264,206.19367,
2845.353,217.40933,
2842.443,205.62848,
2839.532,204.17723,
2836.622,220.68099,
2833.711,202.30632,
2830.801,218.21471,
2827.890,205.81206,
2824.979,205.55099,
2822.069,212.75009,
2819.158,214.12364,
2816.248,200.11921,
2813.337,206.07866,
2810.427,212.01481,
2807.516,212.94156,
2804.605,207.80769,
2801.695,205.19079,
2798.784,226.92477,
2795.874,226.89939,
2792.963,222.83893,
2790.052,229.62178,
2787.142,223.11188,
2784.231,217.69023,
2781.321,200.19651,
2778.410,220.30521,
2775.500,228.64465,
2772.589,218.4331,
2769.678,228.80245,
2766.768,232.0017,
2763.857,225.04697,
2760.947,227.09033,
2758.036,225.01356,
2755.126,239.82158,
2752.215,230.53872,
2749.304,244.47571,
2746.394,241.35485,
2743.483,246.52496,
2740.573,234.22004,
2737.662,240.97559,
2734.751,252.06676,
2731.841,248.94917,
2728.930,238.48101,
2726.020,243.19676,
2723.109,252.96525,
2720.199,241.23111,
2717.288,254.55565,
2714.377,264.29976,
2711.467,242.95248,
2708.556,264.27384,
2705.646,257.48413,
2702.735,258.625,
2699.825,254.22316,
2696.914,250.43455,
2694.003,267.79899,
2691.093,249.07145,
2688.182,272.53611,
2685.272,248.13851,
2682.361,265.625,
2679.450,271.28753,
2676.540,267.03148,
2673.629,279.65643,
2670.719,257.91705,
2667.808,254.57636,
2664.898,274.44309,
2661.987,277.35829,
2659.076,261.65949,
2656.166,270.17472,
2653.255,283.73724,
2650.345,276.70485,
2647.434,294.73875,
2644.524,273.08063,
2641.613,273.36793,
2638.702,292.34094,
2635.792,290.46847,
2632.881,295.51186,
2629.971,292.39007,
2627.060,279.625,
2624.149,277.32813,
2621.239,292.66057,
2618.328,284.70977,
2615.418,287.95227,
2612.507,290.625,
2609.597,295.16592,
2606.686,299.5467,
2603.775,303.4623,
2600.865,304.5636,
2597.954,294.9604,
2595.044,303.27691,
2592.133,311.51677,
2589.223,310.1671,
2586.312,302.625,
2583.401,308.46079,
2580.491,320.70672,
2577.580,326.6151,
2574.670,323.66911,
2571.759,328.87243,
2568.848,333.21067,
2565.938,326.86315,
2563.027,317.06365,
2560.117,317.07361,
2557.206,319.625,
2554.296,314.46024,
2551.385,335.61693,
2548.474,329.43987,
2545.564,333.53003,
2542.653,327.56124,
2539.743,327.78519,
2536.832,331.23809,
2533.922,327.73538,
2531.011,335.17495,
2528.100,341.95603,
2525.190,346.625,
2522.279,339.09398,
2519.369,340.77642,
2516.458,323.7369,
2513.548,322.19776,
2510.637,349.11686,
2507.726,356.93727,
2504.816,366.06356,
2501.905,349.08902,
2498.995,350.08753,
2496.084,341.625,
2493.173,350.46739,
2490.263,360.81597,
2487.352,355.70847,
2484.442,357.625,
2481.531,349.72614,
2478.621,365.65826,
2475.710,359.54065,
2472.799,354.29758,
2469.889,366.29258,
2466.978,361.34664,
2464.068,375.03245,
2461.157,374.31506,
2458.247,362.9191,
2455.336,378.43128,
2452.425,372.46932,
2449.515,389.17177,
2446.604,381.14337,
2443.694,385.83385,
2440.783,375.00563,
2437.872,367.91672,
2434.962,386.65724,
2432.051,410.31005,
2429.141,403.33676,
2426.230,412.03828,
2423.320,407.09637,
2420.409,402.81744,
2417.498,397.00984,
2414.588,407.1649,
2411.677,378.98358,
2408.767,389.63681,
2405.856,401.06781,
2402.946,414.73224,
2400.035,421.12031,
2397.124,409.95121,
2394.214,410.78859,
2391.303,418.80183,
2388.393,423.58316,
2385.482,404.63842,
2382.571,423.1314,
2379.661,417.64831,
2376.750,423.62247,
2373.840,421.42817,
2370.929,435.44089,
2368.019,413.82879,
2365.108,435.22971,
2362.197,438.20858,
2359.287,443.81832,
2356.376,454.60739,
2353.466,441.98798,
2350.555,441.35463,
2347.645,445.16272,
2344.734,441.28855,
2341.823,438.59183,
2338.913,440.44739,
2336.002,449.26606,
2333.092,461.68254,
2330.181,466.16974,
2327.270,449.72511,
2324.360,488.51657,
2321.449,455.30187,
2318.539,455.64641,
2315.628,455.92756,
2312.718,464.4576,
2309.807,494.6003,
2306.896,473.57022,
2303.986,473.50831,
2301.075,477.79529,
2298.165,487.56776,
2295.254,490.68963,
2292.344,493.30965,
2289.433,484.57091,
2286.522,478.32583,
2283.612,490.45536,
2280.701,488.29765,
2277.791,479.18605,
2274.880,491.12703,
2271.969,492.9748,
2269.059,502.94925,
2266.148,512.56824,
2263.238,483.33931,
2260.327,510.34937,
2257.417,527.69445,
2254.506,518.739,
2251.595,515.92692,
2248.685,516.61918,
2245.774,513.51525,
2242.864,532.75467,
2239.953,529.16303,
2237.043,511.01464,
2234.132,522.08729,
2231.221,533.46739,
2228.311,545.93298,
2225.400,534.79387,
2222.490,540.43933,
2219.579,548.1726,
2216.669,555.66793,
2213.758,557.06161,
2210.847,585.19424,
2207.937,570.48008,
2205.026,572.1801,
2202.116,588.55811,
2199.205,602.09982,
