,PLD7AB~1,
Raman shift [1/cm],Intensity,
3014.167,-0.5,
3011.256,0.29995705,
3008.346,92.403279,
3005.435,90.84629,
3002.525,104.9726,
2999.614,101.96626,
2996.704,100.41959,
2993.793,116.61463,
2990.882,118.28629,
2987.972,112.57063,
2985.061,123.39655,
2982.151,131.82942,
2979.240,133.66539,
2976.329,131.48362,
2973.419,141.6846,
2970.508,149.2833,
2967.598,145.02209,
2964.687,144.57405,
2961.777,144.53409,
2958.866,158.16122,
2955.955,169.29424,
2953.045,159.78412,
2950.134,165.5,
2947.224,186.18684,
2944.313,174.60114,
2941.403,181.32162,
2938.492,185.21274,
2935.581,173.23131,
2932.671,192.41844,
2929.760,186.63846,
2926.850,172.38835,
2923.939,192.41586,
2921.028,191.85868,
2918.118,188.92192,
2915.207,201.55693,
2912.297,209.45769,
2909.386,204.66789,
2906.476,201.17414,
2903.565,207.82297,
2900.654,208.84074,
2897.744,209.29884,
2894.833,194.32473,
2891.923,200.3654,
2889.012,201.33237,
2886.102,196.04325,
2883.191,182.50755,
2880.280,165.71531,
2877.370,132.31987,
2874.459,118.01591,
2871.549,154.72376,
2868.638,191.9577,
2865.727,207.39233,
2862.817,198.77139,
2859.906,197.43732,
2856.996,212.00226,
2854.085,222.9433,
2851.175,210.3825,
2848.264,203.73017,
2845.353,207.78037,
2842.443,210.91671,
2839.532,198.05223,
2836.622,203.5,
2833.711,200.87048,
2830.801,198.5,
2827.890,204.51922,
2824.979,202.91996,
2822.069,197.51137,
2819.158,198.11995,
2816.248,205.71816,
2813.337,216.36586,
2810.427,215.62534,
2807.516,208.50735,
2804.605,219.84374,
2801.695,203.2763,
2798.784,220.72585,
2795.874,215.64512,
2792.963,212.85713,
2790.052,216.49914,
2787.142,205.81569,
2784.231,204.01552,
2781.321,211.75144,
2778.410,207.20052,
2775.500,200.09517,
2772.589,215.88532,
2769.678,226.96416,
2766.768,212.07862,
2763.857,219.44798,
2760.947,221.48109,
2758.036,204.09864,
2755.126,220.88034,
2752.215,217.71358,
2749.304,220.47841,
2746.394,222.92338,
2743.483,231.09997,
2740.573,219.64373,
2737.662,226.20117,
2734.751,231.63619,
2731.841,233.55495,
2728.930,227.29657,
2726.020,229.60706,
2723.109,226.5,
2720.199,230.94991,
2717.288,242.41241,
2714.377,215.3754,
2711.467,242.28681,
2708.556,244.97874,
2705.646,236.89435,
2702.735,243.33763,
2699.825,248.96728,
2696.914,252.92864,
2694.003,247.5,
2691.093,249.2858,
2688.182,256.08222,
2685.272,249.18137,
2682.361,244.31769,
2679.450,235.42184,
2676.540,247.43903,
2673.629,244.83184,
2670.719,235.86506,
2667.808,250.47865,
2664.898,250.42218,
2661.987,251.30013,
