,PLDE21~1,
Raman shift [1/cm],Intensity,
3014.167,-2,
3011.256,0.59991411,
3008.346,81.417787,
3005.435,91.575971,
3002.525,105.22763,
2999.614,110.7714,
2996.704,96.725772,
2993.793,99.467744,
2990.882,115.52676,
2987.972,104.13117,
2985.061,122.90639,
2982.151,128.97144,
2979.240,132.79847,
2976.329,140.24863,
2973.419,130.21515,
2970.508,146.7833,
2967.598,132.85663,
2964.687,139.07405,
2961.777,140.84607,
2958.866,145.99258,
2955.955,156.75885,
2953.045,155.56825,
2950.134,165.18075,
2947.224,165.48397,
2944.313,182.44943,
2941.403,185.60721,
2938.492,182.25473,
2935.581,176.45152,
2932.671,187.67809,
2929.760,182.81155,
2926.850,179.41805,
2923.939,200.79906,
2921.028,193.98225,
2918.118,191.30353,
2915.207,209.40493,
2912.297,190.05078,
2909.386,206.57665,
2906.476,214.73593,
2903.565,199.16148,
2900.654,205.78765,
2897.744,205.78627,
2894.833,195.18545,
2891.923,203.1891,
2889.012,188.41619,
2886.102,198.45675,
2883.191,189.01416,
2880.280,176.83731,
2877.370,136.80821,
2874.459,129.57875,
2871.549,166.8423,
2868.638,191.4103,
2865.727,209.36922,
2862.817,190.87034,
2859.906,205.65812,
2856.996,207.97736,
2854.085,220.04203,
2851.175,207.26205,
2848.264,219.559,
2845.353,198.1294,
2842.443,205.19791,
2839.532,208.55223,
2836.622,189,
2833.711,192.15542,
2830.801,186.90662,
2827.890,205.12235,
2824.979,197.13596,
2822.069,200.95451,
2819.158,198.14016,
2816.248,200.74711,
2813.337,213.31952,
2810.427,202.74243,
2807.516,212.99265,
2804.605,221.54807,
2801.695,201.81577,
2798.784,200.48254,
2795.874,201.56992,
2792.963,201.71426,
2790.052,206.99871,
2787.142,209.80258,
2784.231,205.41925,
2781.321,203.3143,
2778.410,211.31979,
2775.500,219.82931,
2772.589,213,
2769.678,218.10578,
2766.768,213.44853,
2763.857,217.158,
2760.947,225.04413,
2758.036,213.36294,
2755.126,222.80983,
2752.215,223.59547,
2749.304,215.40469,
2746.394,236.94154,
2743.483,228.60002,
2740.573,217.90262,
2737.662,229.88314,
2734.751,219.30107,
2731.841,238.08243,
2728.930,228.428,
2726.020,220.21933,
2723.109,232.18533,
2720.199,215.29372,
2717.288,221.63139,
2714.377,217.77508,
2711.467,232.93407,
2708.556,251.08505,
2705.646,236.09855,
2702.735,230.51805,
2699.825,248,
2696.914,252.04773,
2694.003,233.5691,
2691.093,242.07101,
2688.182,244.74667,
2685.272,244.80512,
2682.361,235.72926,
2679.450,252.90943,
2676.540,246.06097,
2673.629,248.00449,
2670.719,256.9196,
2667.808,245.87544,
2664.898,253.10409,
2661.987,247.1001,
2659.076,245.76293,
2656.166,267.98274,
2653.255,248.22449,
2650.345,241.21597,
2647.434,240.40069,
2644.524,258.27814,
2641.613,259.02891,
2638.702,265.98422,
2635.792,259.43769,
2632.881,255.11314,
2629.971,266.95982,
2627.060,271.33375,
