,PL02EB~1,
Raman shift [1/cm],Intensity,
3014.167,4.375,
3011.256,-1.0749893,
3008.346,255.49838,
3005.435,308.45274,
3002.525,313.16751,
2999.614,316.54519,
2996.704,349.64923,
2993.793,346.87039,
2990.882,370.14589,
2987.972,361.45572,
2985.061,381.36515,
2982.151,381.97163,
2979.240,418.70578,
2976.329,430.87227,
2973.419,448.83713,
2970.508,450.89152,
2967.598,466.23163,
2964.687,464.33016,
2961.777,471.71694,
2958.866,480.70041,
2955.955,501.24003,
2953.045,524.25642,
2950.134,530.3867,
2947.224,544.74509,
2944.313,551.98184,
2941.403,570.57801,
2938.492,581.51321,
2935.581,578.67071,
2932.671,604.33206,
2929.760,596.32501,
2926.850,604.27049,
2923.939,616.24879,
2921.028,626.58666,
2918.118,630.99591,
2915.207,643.67253,
2912.297,657.33269,
2909.386,665.3677,
2906.476,647.0576,
2903.565,670.23056,
2900.654,657.76327,
2897.744,662.31214,
2894.833,656.96264,
2891.923,657.9968,
2889.012,659.74494,
2886.102,648.58854,
2883.191,660.34668,
2880.280,608.45155,
2877.370,607.08429,
2874.459,603.78384,
2871.549,637.53323,
2868.638,697.51517,
2865.727,689.14037,
2862.817,692.00335,
2859.906,708.17272,
2856.996,708.89991,
2854.085,688.41069,
2851.175,707.80272,
2848.264,700.16417,
2845.353,696.375,
2842.443,682.39937,
2839.532,680.77787,
2836.622,682.67839,
2833.711,681.74548,
2830.801,678.47574,
2827.890,649.62676,
2824.979,668.64693,
2822.069,690.98835,
2819.158,664.59603,
2816.248,679.36342,
2813.337,687.35427,
2810.427,677.94112,
2807.516,683.10875,
2804.605,686.74038,
2801.695,678.11184,
2798.784,706.00946,
2795.874,704.09532,
2792.963,696.44638,
2790.052,693.37543,
2787.142,676.7565,
2784.231,679.0194,
2781.321,687.93498,
2778.410,688.01458,
2775.500,672.10156,
2772.589,696.9507,
2769.678,699.72643,
2766.768,702.46041,
2763.857,727.32105,
2760.947,710.33717,
2758.036,728.94203,
2755.126,713.84722,
2752.215,722.2477,
2749.304,734.33182,
2746.394,728.25809,
2743.483,727.52497,
2740.573,723.61611,
2737.662,724.42676,
2734.751,748.21012,
2731.841,739.375,
2728.930,739.15043,
2726.020,745.04861,
2723.109,738.84942,
2720.199,758.57195,
2717.288,748.9188,
2714.377,776.37042,
2711.467,762.93215,
2708.556,777.02384,
2705.646,770.23413,
2702.735,769.90853,
2699.825,792.10405,
2696.914,770.04135,
2694.003,786.962,
2691.093,781.83949,
2688.182,789.66611,
2685.272,793.70217,
2682.361,784.62173,
2679.450,802.49845,
2676.540,802.00917,
2673.629,795.32561,
2670.719,807.09773,
2667.808,807.08319,
2664.898,799.27091,
2661.987,807.54161,
2659.076,829.81464,
2656.166,834.35774,
2653.255,828.55698,
2650.345,834.23888,
2647.434,852.31727,
2644.524,832.30546,
