,PL0CF0~1,
Raman shift [1/cm],Intensity,
3014.167,-0.5,
3011.256,-1.3999785,
3008.346,193.48915,
3005.435,255.76855,
3002.525,254.08501,
2999.614,273.21299,
2996.704,285.72165,
2993.793,286.22466,
2990.882,304.37024,
2987.972,303.52522,
2985.061,306.7266,
2982.151,326.51683,
2979.240,329.24809,
2976.329,350.77048,
2973.419,360.14673,
2970.508,348.2166,
2967.598,375.35663,
2964.687,381.09647,
2961.777,379.62809,
2958.866,397.49406,
2955.955,410.05309,
2953.045,410.68345,
2950.134,433.33095,
2947.224,452.21531,
2944.313,448.34259,
2941.403,470.27418,
2938.492,475.38348,
2935.581,479.75278,
2932.671,477.62017,
2929.760,481.7077,
2926.850,500.61165,
2923.939,506.65416,
2921.028,513.39987,
2918.118,510.76071,
2915.207,532.98122,
2912.297,528.5677,
2909.386,541.31751,
2906.476,525.927,
2903.565,556.63038,
2900.654,532.66482,
2897.744,529.53772,
2894.833,538.68545,
2891.923,542.6346,
2889.012,540.96243,
2886.102,529.31216,
2883.191,513.51605,
2880.280,501.47607,
2877.370,463.95356,
2874.459,462.20442,
2871.549,512.46111,
2868.638,553.27319,
2865.727,564.99618,
2862.817,562.70053,
2859.906,567.3604,
2856.996,564.97056,
2854.085,555.65543,
2851.175,580.06635,
2848.264,557.353,
2845.353,563.15493,
2842.443,545.50348,
2839.532,551.03726,
2836.622,547.5,
2833.711,543.81868,
2830.801,522.5147,
2827.890,527.19059,
2824.979,539.29002,
2822.069,545.38628,
2819.158,534.35984,
2816.248,535.48842,
2813.337,555.20121,
2810.427,561.80855,
2807.516,552.81656,
2804.605,553.29567,
2801.695,558.15791,
2798.784,550.461,
2795.874,556.24146,
2792.963,543.35745,
2790.052,565.49678,
2787.142,539.25012,
2784.231,541.56523,
2781.321,558.99135,
2778.410,540.23476,
2775.500,563.88068,
2772.589,549.8838,
2769.678,540.28497,
2766.768,571.09615,
2763.857,568.55202,
2760.947,564.00315,
2758.036,579.7485,
2755.126,564.63462,
2752.215,577.45898,
2749.304,582.58452,
2746.394,585.12088,
2743.483,595.90007,
2740.573,588.59738,
2737.662,585.38314,
2734.751,575.91756,
2731.841,575.95971,
2728.930,601.37715,
2726.020,597.5,
2723.109,599.27317,
2720.199,609.05009,
2717.288,602.48176,
2714.377,610.98328,
2711.467,618.61429,
2708.556,627.51095,
2705.646,636.78174,
2702.735,627.00258,
2699.825,632.43456,
2696.914,629.83317,
2694.003,633.83009,
2691.093,620.26775,
2688.182,645.75704,
2685.272,651.75605,
2682.361,625.0524,
2679.450,644.12965,
2676.540,642.17481,
2673.629,626.83184,
2670.719,648.69687,
2667.808,630.05634,
2664.898,627.98055,
2661.987,635.56684,
