,PL1AF9~1,
Raman shift [1/cm],Intensity,
3014.167,0.25,
3011.256,-1.1999893,
3008.346,156.47977,
3005.435,176.63516,
3002.525,177.66499,
2999.614,186.61757,
2996.704,200.7098,
2993.793,215.14458,
2990.882,198.55535,
2987.972,217.21469,
2985.061,215.12685,
2982.151,225.65337,
2979.240,227.88308,
2976.329,250.28822,
2973.419,242.80379,
2970.508,250.18331,
2967.598,269.6251,
2964.687,251.57744,
2961.777,265.43802,
2958.866,287.91419,
2955.955,285.93806,
2953.045,287.59899,
2950.134,306.32586,
2947.224,314.87631,
2944.313,325.46367,
2941.403,332.23859,
2938.492,320.98443,
2935.581,338.70152,
2932.671,341.81225,
2929.760,345.76537,
2926.850,344.93647,
2923.939,351.96492,
2921.028,362.31464,
2918.118,354.95151,
2915.207,380.78814,
2912.297,384.27539,
2909.386,395.23541,
2906.476,379.57586,
2903.565,383.7826,
2900.654,377.02654,
2897.744,363.55173,
2894.833,384.36346,
2891.923,385.9263,
2889.012,383.37717,
2886.102,363.56488,
2883.191,380.2264,
2880.280,352.83372,
2877.370,335.11047,
2874.459,328.53937,
2871.549,371.5004,
2868.638,409.61494,
2865.727,401.61922,
2862.817,399.14974,
2859.906,396.1104,
2856.996,402.67981,
2854.085,413.84873,
2851.175,408.31931,
2848.264,390.18617,
2845.353,399.88336,
2842.443,380.85418,
2839.532,375.69777,
2836.622,396.88477,
2833.711,388.19819,
2830.801,389.04853,
2827.890,382.26922,
2824.979,379.38596,
2822.069,396.97707,
2819.158,376.29043,
2816.248,380.50289,
2813.337,406.77562,
2810.427,390.47039,
2807.516,389.45859,
2804.605,389.08895,
2801.695,392.28947,
2798.784,392.95431,
2795.874,391.8252,
2792.963,394.03585,
2790.052,375.25472,
2787.142,394.88138,
2784.231,372.83075,
2781.321,390.42705,
2778.410,374.86927,
2775.500,392.78172,
2772.589,392.09557,
2769.678,389.74826,
2766.768,396.43835,
2763.857,392.56599,
2760.947,390.22478,
2758.036,393.02711,
2755.126,410.24359,
2752.215,413.95438,
2749.304,413.58992,
2746.394,413.02412,
2743.483,424.50006,
2740.573,403.49111,
2737.662,402.04733,
2734.751,423.06542,
2731.841,394.46427,
2728.930,414.51685,
2726.020,420.35185,
2723.109,399.95125,
2720.199,434.50637,
2717.288,416.16241,
2714.377,423.9582,
2711.467,420.41374,
2708.556,430.29253,
2705.646,446.46131,
2702.735,434.61085,
2699.825,448.53359,
2696.914,415.01134,
2694.003,437.47927,
2691.093,429.5713,
2688.182,453.74334,
2685.272,434.96693,
2682.361,441.27948,
2679.450,443.20471,
2676.540,441.02644,
2673.629,435.22755,
2670.719,443.96534,
2667.808,463.22865,
2664.898,449.54864,
2661.987,445.31651,
2659.076,447.1056,
2656.166,450.83011,
2653.255,452.91327,
2650.345,475.5785,
