,PL28BD~1,
Raman shift [1/cm],Intensity,
3014.167,1.5,
3011.256,-0.5,
3008.346,260.21951,
3005.435,297.5,
3002.525,295.91499,
2999.614,325.62991,
2996.704,347.81856,
2993.793,351.2523,
2990.882,363.05718,
2987.972,360.6009,
2985.061,374.73645,
2982.151,368.38067,
2979.240,409.5,
2976.329,405.74317,
2973.419,409.08434,
2970.508,434.06659,
2967.598,457.68755,
2964.687,441.02242,
2961.777,464.96179,
2958.866,478.49258,
2955.955,490.77655,
2953.045,493.05034,
2950.134,516.11812,
2947.224,535.87009,
2944.313,544.90456,
2941.403,559.61952,
2938.492,561.38348,
2935.581,581.95152,
2932.671,582.26398,
2929.760,598.22307,
2926.850,590.70902,
2923.939,579.21021,
2921.028,607.10583,
2918.118,626.84131,
2915.207,633.3797,
2912.297,618.55078,
2909.386,638.30292,
2906.476,649.98032,
2903.565,647.24222,
2900.654,639.44136,
2897.744,627.88974,
2894.833,649.428,
2891.923,643.7981,
2889.012,639.45954,
2886.102,643.35269,
2883.191,650.49811,
2880.280,629.46172,
2877.370,620.72678,
2874.459,610.96548,
2871.549,651.35562,
2868.638,701.18451,
2865.727,686.73463,
2862.817,672.21391,
2859.906,672.95584,
2856.996,689.93886,
2854.085,692.0567,
2851.175,696.52113,
2848.264,677.36267,
2845.353,680.6294,
2842.443,669.72924,
2839.532,668.55956,
2836.622,655.04492,
2833.711,654.60361,
2830.801,664.59338,
2827.890,648.12588,
2824.979,655.06798,
2822.069,653.60235,
2819.158,663.64016,
2816.248,658.77605,
2813.337,677.79879,
2810.427,663.54408,
2807.516,663.34172,
2804.605,661.56491,
2801.695,675.19737,
2798.784,680.20431,
2795.874,658.64512,
2792.963,659.71436,
2790.052,665.49914,
2787.142,673.55246,
2784.231,654.08075,
2781.321,660.30566,
2778.410,647.89466,
2775.500,656.26586,
2772.589,645.15367,
2769.678,662.45895,
2766.768,669.26697,
2763.857,687.60019,
2760.947,667.13554,
2758.036,696.97139,
2755.126,696.49359,
2752.215,695.41796,
2749.304,693.45682,
2746.394,691.94551,
2743.483,709.6,
2740.573,698.07959,
2737.662,705.29733,
2734.751,713.4758,
2731.841,700.58058,
2728.930,708.17371,
2726.020,713.83681,
2723.109,709.40733,
2720.199,722.59677,
2717.288,726.62408,
2714.377,735.78722,
2711.467,742.71319,
2708.556,746.27642,
2705.646,755.88029,
2702.735,753.18558,
2699.825,770.03272,
2696.914,739.35633,
2694.003,772.3618,
2691.093,743.75029,
2688.182,772.88371,
2685.272,760.37624,
2682.361,766.16485,
2679.450,753.12965,
2676.540,750.72356,
2673.629,757.8498,
2670.719,771.05454,
2667.808,765.37544,
2664.898,767.53891,
2661.987,775.03342,
2659.076,786.3556,
2656.166,797.40057,
2653.255,769.31293,
2650.345,794.10073,
2647.434,826.15618,
2644.524,804.78544,
2641.613,812.41389,
2638.702,817.31063,
2635.792,795.99851,
2632.881,813.85108,
2629.971,809.77511,
2627.060,801.99782,
2624.149,813.52813,
2621.239,828.29299,
2618.328,840.8391,
2615.418,841.86363,
2612.507,839.66992,
2609.597,817.43812,
2606.686,836.22692,
2603.775,859.98413,
2600.865,854.38731,
2597.954,882.54172,
2595.044,865.81267,
2592.133,878.44912,
2589.223,902.22317,
2586.312,873.59551,
2583.401,877.90517,
2580.491,902.67788,
2577.580,877.4901,
2574.670,875.37432,
2571.759,882.74743,
2568.848,867.32866,
2565.938,897.26185,
2563.027,901.57275,
2560.117,904.7617,
2557.206,914.02029,
2554.296,927.38787,
2551.385,927.73991,
2548.474,910.87026,
2545.564,922.05682,
2542.653,909.81543,
2539.743,918.48768,
2536.832,935.35795,
2533.922,947.61038,
2531.011,953.95005,
2528.100,962.09585,
2525.190,961.01312,
2522.279,962.60894,
2519.369,950.53737,
2516.458,942.81799,
2513.548,961.0995,
2510.637,958.56148,
2507.726,957.62639,
2504.816,960.81342,
2501.905,942.96402,
2498.995,983.00703,
2496.084,972.0715,
2493.173,976.73609,
2490.263,982.22998,
2487.352,1017.0827,
2484.442,1005.2216,
2481.531,991.07455,
2478.621,988.87443,
2475.710,1020.5613,
2472.799,1028.7466,
2469.889,1033.8629,
2466.978,1012.5209,
2464.068,1016.8651,
2461.157,1021.1949,
2458.247,1031.2206,
2455.336,1030.1595,
2452.425,1035.8491,
2449.515,1023.8306,
2446.604,1039.0899,
2443.694,1048.7097,
2440.783,1056.6903,
2437.872,1061.6978,
2434.962,1048.3802,
2432.051,1065.1357,
2429.141,1073.7351,
