,PL93DE~1,
Raman shift [1/cm],Intensity,
3014.167,3.75,
3011.256,-1.5999678,
3008.346,158.5759,
3005.435,180.90548,
3002.525,181.61745,
2999.614,186.07729,
2996.704,196.06856,
2993.793,210.77765,
2990.882,209.52089,
2987.972,203.81558,
2985.061,217.19335,
2982.151,220.39202,
2979.240,234.81463,
2976.329,241.99317,
2973.419,246.22676,
2970.508,255.83332,
2967.598,278.79418,
2964.687,268.82405,
2961.777,280.56198,
2958.866,274.74703,
2955.955,272.67921,
2953.045,286.40101,
2950.134,319.82586,
2947.224,338.43684,
2944.313,324.60399,
2941.403,323.35721,
2938.492,356.62264,
2935.581,346.14267,
2932.671,355.58688,
2929.760,347.23463,
2926.850,351.85451,
2923.939,358.30605,
2921.028,376.37358,
2918.118,379.45151,
2915.207,401.75645,
2912.297,383.85578,
2909.386,388.53832,
2906.476,386.16854,
2903.565,385.37889,
2900.654,388.36173,
2897.744,404.53627,
2894.833,388.57473,
2891.923,379.2083,
2889.012,380.03902,
2886.102,380.29325,
2883.191,362.76133,
2880.280,352.15669,
2877.370,329.47095,
2874.459,311.45442,
2871.549,349.26358,
2868.638,404.38915,
2865.727,395.2731,
2862.817,410.25132,
2859.906,413.78705,
2856.996,408.66848,
2854.085,415.3067,
2851.175,401.96386,
2848.264,410.66683,
2845.353,396.24604,
2842.443,410.76393,
2839.532,401.07834,
2836.622,394.29492,
2833.711,393.32771,
2830.801,385.75735,
2827.890,386.31118,
2824.979,393.23191,
2822.069,397.77274,
2819.158,389.10848,
2816.248,380.71526,
2813.337,413.06952,
2810.427,396.7569,
2807.516,382.22484,
2804.605,384.22357,
2801.695,393.22367,
2798.784,417.53231,
2795.874,411.04024,
2792.963,403.53564,
2790.052,395.75129,
2787.142,399.57881,
2784.231,380.49224,
2781.321,395.86419,
2778.410,379.78424,
2775.500,389.09138,
2772.589,397.9419,
2769.678,401.96155,
2766.768,421.86652,
2763.857,406.64403,
2760.947,393.70587,
2758.036,396.91567,
2755.126,408.32051,
2752.215,413.94095,
2749.304,417.6223,
2746.394,414.50198,
2743.483,413.20005,
2740.573,404.63717,
2737.662,414.66419,
2734.751,432.86649,
2731.841,404.31592,
2728.930,423.87285,
2726.020,434.97975,
2723.109,438.97683,
2720.199,430.65323,
2717.288,416.83759,
2714.377,444.74542,
2711.467,442.04452,
2708.556,454.71842,
2705.646,442.75,
2702.735,436.59279,
2699.825,443.79363,
2696.914,430.41635,
2694.003,456.08009,
2691.093,447.4287,
2688.182,453.80482,
2685.272,446.34317,
2682.361,461.59716,
2679.450,458.16563,
2676.540,446.01421,
2673.629,457.75449,
2670.719,458.96165,
2667.808,452.18772,
2664.898,456.71109,
2661.987,453.75,
2659.076,458.11422,
2656.166,471.57251,
2653.255,476.04422,
2650.345,485.67015,
2647.434,478.35017,
2644.524,486.68046,
2641.613,495.92159,
2638.702,473.16031,
2635.792,468.62239,
2632.881,485.86314,
2629.971,482.87751,
2627.060,494.08437,
2624.149,484.83125,
2621.239,486.75593,
2618.328,482.49568,
2615.418,484.05001,
2612.507,498.12945,
2609.597,501.38273,
2606.686,486.55522,
2603.775,487.19048,
2600.865,488.75,
2597.954,513.36669,
2595.044,502.44619,
2592.133,503.08765,
2589.223,519.34054,
2586.312,527.1621,
2583.401,517.38141,
2580.491,521.66828,
2577.580,502.79126,
2574.670,524.70589,
2571.759,519.50257,
2568.848,537.39096,
2565.938,527.51185,
2563.027,530.72503,
2560.117,525.02103,
2557.206,528.46218,
2554.296,553.60812,
2551.385,543.29586,
2548.474,528.26859,
2545.564,545.24351,
2542.653,530.99161,
2539.743,550.6391,
2536.832,540.11635,
2533.922,561.71846,
2531.011,560.84991,
2528.100,560.01828,
2525.190,564.65574,
2522.279,558.03139,
2519.369,562.84439,
2516.458,561.8619,
2513.548,562.75,
2510.637,570.68852,
2507.726,565.69051,
2504.816,564.06342,
2501.905,575.4311,
2498.995,564.57084,
2496.084,566.65595,
2493.173,566.69702,
2490.263,572.10934,
2487.352,584.1256,
2484.442,587.90847,
2481.531,588.91476,
2478.621,582.32339,
2475.710,600.69633,
2472.799,588.81732,
2469.889,585.86914,
2466.978,603.8015,
2464.068,597.13092,
2461.157,591.05994,
