,PL9C47~1,
Raman shift [1/cm],Intensity,
3014.167,1.125,
3011.256,-2.3249893,
3008.346,218.28707,
3005.435,267.125,
3002.525,273.46504,
2999.614,284.97696,
2996.704,297.53222,
2993.793,313.13422,
2990.882,312.33871,
2987.972,309.24103,
2985.061,336.5585,
2982.151,336.84096,
2979.240,355.17538,
2976.329,368.90367,
2973.419,373.3096,
2970.508,369.80836,
2967.598,394.74267,
2964.687,392.85598,
2961.777,413.62087,
2958.866,417.12352,
2955.955,425.19579,
2953.045,448.55675,
2950.134,460.16878,
2947.224,478.86878,
2944.313,477.31588,
2941.403,486.125,
2938.492,503.19007,
2935.581,517.63055,
2932.671,513.96621,
2929.760,519.59038,
2926.850,524.81147,
2923.939,538.92406,
2921.028,545.20738,
2918.118,554.58974,
2915.207,588.41608,
2912.297,569.1927,
2909.386,568.76003,
2906.476,566.19525,
2903.565,585.39982,
2900.654,575.125,
2897.744,571.07471,
2894.833,560.52718,
2891.923,560.8558,
2889.012,566.37356,
2886.102,561.46015,
2883.191,556.12406,
2880.280,537.78528,
2877.370,535.17727,
2874.459,515.35153,
2871.549,564.54642,
2868.638,591.89819,
2865.727,595.125,
2862.817,590.02474,
2859.906,608.75748,
2856.996,604.09783,
2854.085,597.80145,
2851.175,610.33886,
2848.264,606.1985,
2845.353,605.9309,
2842.443,591.93405,
2839.532,582.57277,
2836.622,577.33854,
2833.711,585.70271,
2830.801,561.94558,
2827.890,564.44147,
2824.979,585.40899,
2822.069,594.89756,
2819.158,579.3056,
2816.248,586.125,
2813.337,614.23841,
2810.427,604.1319,
2807.516,572.76547,
2804.605,599.89904,
2801.695,602.48028,
2798.784,586.82523,
2795.874,613.56565,
2792.963,595.69628,
2790.052,579.12779,
2787.142,595.651,
2784.231,579.86566,
2781.321,600.61059,
2778.410,568.10469,
2775.500,583.54948,
2772.589,590.24044,
2769.678,599.01575,
2766.768,600.82014,
2763.857,597.38897,
2760.947,595.57141,
2758.036,605.76206,
2755.126,611.17414,
2752.215,611.91142,
2749.304,613.5081,
2746.394,619.87698,
2743.483,626.27502,
2740.573,619.57631,
2737.662,622.90163,
2734.751,631.61515,
2731.841,623.07005,
2728.930,635.61245,
2726.020,633.14583,
2723.109,623.41409,
2720.199,634.34062,
2717.288,636.75639,
2714.377,660.76632,
2711.467,665.94478,
2708.556,662.16753,
2705.646,677.49123,
2702.735,666.46005,
2699.825,671.05956,
2696.914,657.12452,
2694.003,681.25345,
2691.093,682.125,
2688.182,679.83389,
2685.272,662.24022,
2682.361,680.64247,
2679.450,674.26086,
2676.540,677.94208,
2673.629,670.45235,
2670.719,671.84034,
2667.808,679.68728,
2664.898,675.50146,
2661.987,693.05849,
2659.076,696.50647,
2656.166,698.77003,
2653.255,697.125,
2650.345,704.96529,
2647.434,703.32534,
2644.524,717.28328,
2641.613,716.38207,
2638.702,730.8725,
2635.792,719.56269,
2632.881,724.47608,
2629.971,725.63505,
2627.060,714.78813,
2624.149,733.01876,
2621.239,725.63389,
2618.328,735.61635,
2615.418,723.79318,
2612.507,733.05382,
