,PLACEA~1,
Raman shift [1/cm],Intensity,
3014.167,2.625,
3011.256,-0.92501074,
3008.346,200.10931,
3005.435,241.93242,
3002.525,223.98238,
2999.614,248.19902,
2996.704,255.20953,
2993.793,271.88191,
2990.882,272.83871,
2987.972,282.64518,
2985.061,289.2851,
2982.151,288.22163,
2979.240,314.79039,
2976.329,322.37637,
2973.419,323.20934,
2970.508,335.24166,
2967.598,356.71697,
2964.687,345.78872,
2961.777,355.43698,
2958.866,383.96972,
2955.955,367.86615,
2953.045,373.74358,
2950.134,402.78538,
2947.224,403.96663,
2944.313,419.22044,
2941.403,408.85082,
2938.492,438.38112,
2935.581,445.65202,
2932.671,452.46621,
2929.760,442.58651,
2926.850,457.05733,
2923.939,472.82594,
2921.028,468.8544,
2918.118,471.70561,
2915.207,485.45422,
2912.297,477.68424,
2909.386,508.36954,
2906.476,485.625,
2903.565,478.12351,
2900.654,493.44908,
2897.744,491.47413,
2894.833,488.697,
2891.923,488.65059,
2889.012,484.28974,
2886.102,502.10202,
2883.191,493.6401,
2880.280,440.85466,
2877.370,439.89239,
2874.459,438.7949,
2871.549,480.78323,
2868.638,516.89921,
2865.727,531.96731,
2862.817,520.23865,
2859.906,511.01815,
2856.996,527.13632,
2854.085,536.94855,
2851.175,540.23953,
2848.264,531.39483,
2845.353,536.32306,
2842.443,519.82987,
2839.532,515.625,
2836.622,504.32161,
2833.711,503.67681,
2830.801,510.91985,
2827.890,502.89598,
2824.979,511.32895,
2822.069,516.46579,
2819.158,504.14522,
2816.248,523.80842,
2813.337,528.8311,
2810.427,521.66908,
2807.516,518.09984,
2804.605,512.07693,
2801.695,522.75658,
2798.784,515.29031,
2795.874,518.92053,
2792.963,523.12532,
2790.052,519.62736,
2787.142,519.0065,
2784.231,504.94799,
2781.321,532.11059,
2778.410,506.24427,
2775.500,518.79569,
2772.589,509.70146,
2769.678,515.15736,
2766.768,511.76866,
2763.857,526.83695,
2760.947,536.10924,
2758.036,524.30647,
2755.126,533.75962,
2752.215,544.98851,
2749.304,546.09261,
2746.394,552.35485,
2743.483,546.525,
2740.573,550.94803,
2737.662,540.6457,
2734.751,551.83378,
2731.841,527.32646,
2728.930,560.17586,
2726.020,561.40567,
2723.109,562.73842,
2720.199,564.88137,
2717.288,550.34398,
2714.377,563.94566,
2711.467,562.54259,
2708.556,581.06121,
2705.646,588.9208,
2702.735,597.96521,
2699.825,597.7777,
2696.914,577.67226,
2694.003,606.77135,
2691.093,579.7321,
2688.182,600.77241,
2685.272,569.97919,
2682.361,591.14247,
2679.450,598.91718,
2676.540,596.80792,
2673.629,603.30214,
2670.719,614.68324,
2667.808,604.59771,
2664.898,611.88473,
2661.987,616.59174,
2659.076,611.7694,
2656.166,611.8674,
2653.255,610.8869,
2650.345,618.52155,
2647.434,621.71074,
2644.524,623.01109,
2641.613,641.45404,
2638.702,648.64078,
2635.792,628.15541,
2632.881,647.32717,
2629.971,655.75251,
2627.060,627.12219,
2624.149,648.24688,
2621.239,652.63686,
2618.328,629.21842,
2615.418,638.31136,
2612.507,652.58539,
2609.597,680.24776,
2606.686,657.56072,
2603.775,656.79168,
2600.865,665.62837,
2597.954,659.43954,
2595.044,675.29462,
2592.133,669.73323,
2589.223,704.96293,
2586.312,684.38375,
2583.401,697.23812,
2580.491,685.54328,
2577.580,688.65966,
2574.670,704.64373,
2571.759,705.38783,
2568.848,704.27687,
2565.938,698.86301,
2563.027,713.91816,
2560.117,711.3633,
2557.206,715.66559,
2554.296,728.08038,
2551.385,708.79888,
2548.474,704.88448,
2545.564,725.11851,
2542.653,711.55117,
2539.743,733.88471,
2536.832,741.54275,
2533.922,754.26231,
2531.011,738.49942,
2528.100,739.03261,
2525.190,743.38934,
2522.279,731.79745,
2519.369,755.92687,
2516.458,753.28931,
2513.548,757.90672,
2510.637,773.39535,
2507.726,748.37963,
2504.816,742.50099,
2501.905,758.36402,
2498.995,767.3709,
2496.084,749.77135,
2493.173,748.54586,
2490.263,768.35498,
2487.352,785.41633,
2484.442,782.04898,
2481.531,792.99727,
2478.621,789.64392,
2475.710,799.57133,
2472.799,793.3649,
2469.889,801.92695,
2466.978,784.81079,
2464.068,795.73618,
2461.157,799.35746,
2458.247,802.36024,
2455.336,804.5389,
2452.425,807.73349,
2449.515,821.44622,
2446.604,838.80474,
2443.694,834.20642,
2440.783,829.76689,
2437.872,836.51561,
2434.962,831.52362,
2432.051,823.18668,
2429.141,820.625,
2426.230,856.14774,
2423.320,864.01118,
2420.409,846.13779,
2417.498,857.59973,
2414.588,880.79223,
2411.677,872.69672,
2408.767,871.33662,
2405.856,870.53686,
2402.946,882.67862,
2400.035,875.53344,
2397.124,874.43247,
2394.214,895.6518,
2391.303,890.94546,
2388.393,888.625,
2385.482,887.66906,
2382.571,894.59938,
2379.661,914.67133,
2376.750,913.68176,
2373.840,903.76249,
2370.929,913.52753,
2368.019,912.01047,
2365.108,925.08835,
2362.197,934.26332,
2359.287,930.22166,
2356.376,942.60387,
2353.466,944.21574,
2350.555,948.60007,
2347.645,948.07269,
2344.734,956.65728,
2341.823,964.54208,
2338.913,940.44739,
2336.002,956.31146,
2333.092,986.87783,
2330.181,987.87053,
2327.270,992.34997,
2324.360,948.31365,
2321.449,968.53317,
2318.539,976.15711,
2315.628,1007.615,
2312.718,986.17785,
2309.807,994.23982,
2306.896,1000.8613,
2303.986,1010.4173,
2301.075,1020.9867,
2298.165,1008.4422,
2295.254,1044.7848,
2292.344,1018.8324,
2289.433,1037.0073,
2286.522,1041.4108,
2283.612,1042.5957,
2280.701,1074.32,
2277.791,1044.7434,
2274.880,1034.1108,
2271.969,1079.588,
2269.059,1072.7503,
2266.148,1076.1342,
2263.238,1091.6211,
2260.327,1073.7286,
2257.417,1088.8622,
2254.506,1085.984,
2251.595,1098.3231,
2248.685,1088.7924,
2245.774,1108.5586,
2242.864,1093.9965,
2239.953,1140.3492,
2237.043,1138.08,
2234.132,1131.2069,
2231.221,1119.3356,
2228.311,1133.5425,
2225.400,1154.019,
2222.490,1167.9963,
2219.579,1177.1469,
2216.669,1196.6012,
2213.758,1211.4093,
2210.847,1234.358,
2207.937,1228.0729,
2205.026,1247.402,
2202.116,1277.7534,
2199.205,1289.4883,
2196.294,1284.303,
2193.384,1317.4925,
2190.473,1347.3586,
2187.563,1340.8667,
2184.652,1396.3483,
2181.742,1439.8537,
2178.831,1463.1075,
2175.920,1499.4265,
2173.010,1588.8047,
2170.099,1627.2232,
2167.189,1693.8977,
2164.278,1741.4562,
2161.368,1829.4784,
2158.457,1922.2992,
2155.546,1969.9722,
2152.636,2062.3961,
2149.725,2131.9068,
2146.815,2162.8241,
2143.904,2257.1194,
2140.993,2247.117,
2138.083,2262.6371,
2135.172,2271.6082,
2132.262,2251.0933,
2129.351,2236.8698,
2126.441,2194.2171,
2123.530,2119.3904,
2120.619,2002.5061,
2117.709,1931.8484,
2114.798,1843.6054,
2111.888,1765.4886,
2108.977,1677.6846,
2106.067,1575.6461,
2103.156,1532.6291,
2100.245,1487.6093,
2097.335,1459.1329,
2094.424,1426.4445,
2091.514,1400.4072,
2088.603,1384.1826,
2085.692,1386.2197,
2082.782,1373.7135,
2079.871,1358.0532,
2076.961,1358.4958,
2074.050,1359.8311,
2071.140,1329.774,
2068.229,1347.1003,
2065.318,1331.1938,
2062.408,1339.2385,
2059.497,1337.0357,
2056.587,1327.1485,
2053.676,1337.1407,
2050.766,1315.7035,
2047.855,1331.3117,
2044.944,1320.226,
2042.034,1320.232,
2039.123,1323.8641,
2036.213,1313.7406,
2033.302,1305.0164,
2030.391,1311.506,
2027.481,1343.9174,
2024.570,1323.1258,
2021.660,1321.3885,
2018.749,1337.4988,
2015.839,1358.1453,
2012.928,1354.8314,
2010.017,1366.5349,
2007.107,1345.1128,
2004.196,1330.3631,
2001.286,1341.3776,
1998.375,1354.9291,
1995.465,1349.1188,
1992.554,1319.5782,
1989.643,1355.2079,
1986.733,1304.3206,
1983.822,1315.4965,
1980.912,1315.0018,
1978.001,1343.2094,
1975.090,1349.2571,
1972.180,1317.3165,
1969.269,1328.8923,
1966.359,1338.7059,
1963.448,1317.4757,
1960.538,1329.6667,
1957.627,1319.3587,
