,PLB099~1,
Raman shift [1/cm],Intensity,
3014.167,-2.875,
3011.256,-3.4250107,
3008.346,188.61898,
3005.435,229.77871,
3002.525,228.33249,
2999.614,242.54192,
2996.704,265.85077,
2993.793,267.23963,
2990.882,268.91129,
2987.972,281.14518,
2985.061,283.3516,
2982.151,276.72163,
2979.240,299.07462,
2976.329,304.13046,
2973.419,314.98688,
2970.508,320.85823,
2967.598,332.69849,
2964.687,343.16984,
2961.777,349.37294,
2958.866,350.45932,
2955.955,351.40155,
2953.045,346.07804,
2950.134,383.8918,
2947.224,403.09653,
2944.313,402.125,
2941.403,416.89918,
2938.492,426.29575,
2935.581,422.22197,
2932.671,433.9276,
2929.760,438.57114,
2926.850,450.07989,
2923.939,445.63897,
2921.028,454.56606,
2918.118,461.64641,
2915.207,481.95422,
2912.297,461.23925,
2909.386,487.30749,
2906.476,470.45086,
2903.565,471.75389,
2900.654,476.57191,
2897.744,463.26329,
2894.833,477.42391,
2891.923,480.5032,
2889.012,479.91691,
2886.102,477.31284,
2883.191,469.13161,
2880.280,437.2159,
2877.370,427.46798,
2874.459,420.24447,
2871.549,453.46757,
2868.638,514.5827,
2865.727,500.09808,
2862.817,505.41109,
2859.906,500.89708,
2856.996,507.08877,
2854.085,510.72373,
2851.175,506.38705,
2848.264,497.4925,
2845.353,493.2544,
2842.443,495.53127,
2839.532,499.43838,
2836.622,481.0013,
2833.711,467.54729,
2830.801,484.1103,
2827.890,478.37676,
2824.979,492.26096,
2822.069,503.8407,
2819.158,481.02527,
2816.248,485.61921,
2813.337,499.03231,
2810.427,497.04374,
2807.516,499.75078,
2804.605,507.96395,
2801.695,502.67761,
2798.784,523.68554,
2795.874,489.27012,
2792.963,496.76809,
2790.052,472.13143,
2787.142,495.11165,
2784.231,476.54425,
2781.321,491.55349,
2778.410,478.91432,
2775.500,495.65672,
2772.589,500.85513,
2769.678,499.94407,
2766.768,514.18326,
2763.857,516.43713,
2760.947,509.27,
2758.036,516.02936,
2755.126,527.11859,
2752.215,534.02033,
2749.304,534.72031,
2746.394,514.38095,
2743.483,536.32504,
2740.573,519.36611,
2737.662,526.24186,
2734.751,536.26568,
2731.841,521.50228,
2728.930,538.90043,
2726.020,542.01794,
2723.109,530.93967,
2720.199,566.50022,
2717.288,540.56296,
2714.377,545.125,
2711.467,534.91181,
2708.556,550.63531,
2705.646,553.67427,
2702.735,558.6379,
2699.825,565.74498,
2696.914,552.02953,
2694.003,554.89573,
2691.093,563.6966,
2688.182,592.56352,
2685.272,552.36398,
2682.361,558.27784,
2679.450,565.24845,
2676.540,574.67787,
2673.629,551.46582,
2670.719,564.18324,
2667.808,577.88182,
2664.898,576.08609,
2661.987,577.09174,
2659.076,595.8362,
2656.166,586.25483,
2653.255,599.49405,
2650.345,595.28471,
2647.434,596.81091,
2644.524,604.89719,
2641.613,602.69634,
2638.702,614.90407,
2635.792,598.65541,
2632.881,607.43448,
2629.971,621.33984,
2627.060,611.7925,
2624.149,613.39374,
2621.239,623.125,
2618.328,622.88797,
2615.418,632.82499,
2612.507,629.91547,
2609.597,616.23678,
2606.686,610.93022,
2603.775,624.52977,
2600.865,631.71542,
2597.954,641.55623,
2595.044,643.84776,
2592.133,656.80679,
2589.223,657.07656,
2586.312,659.95415,
2583.401,662.71625,
2580.491,663.4952,
2577.580,648.15966,
2574.670,666.35763,
2571.759,662.42808,
2568.848,660.18575,
2565.938,656.07717,
2563.027,678.27049,
2560.117,657.95675,
2557.206,670.20618,
2554.296,693.03575,
2551.385,667.17489,
2548.474,678.45883,
2545.564,708.49189,
2542.653,688.21895,
2539.743,704.63116,
2536.832,692.79789,
2533.922,716.01462,
2531.011,703.07551,
2528.100,700.98567,
2525.190,722.61188,
2522.279,688.15676,
2519.369,707.01192,
2516.458,723.25106,
2513.548,735.27052,
2510.637,724.51017,
2507.726,708.87963,
2504.816,709.18927,
2501.905,737.16829,
2498.995,718.19994,
2496.084,732.67202,
2493.173,712.20347,
2490.263,718.47305,
2487.352,756.9998,
2484.442,750.13786,
2481.531,750.65681,
2478.621,746.30504,
2475.710,769.94864,
2472.799,748.6048,
2469.889,761.36601,
2466.978,757.85707,
2464.068,758.87105,
2461.157,750.20492,
2458.247,767.38976,
2455.336,767.18957,
2452.425,775.71464,
2449.515,786.5304,
2446.604,783.23324,
2443.694,787.65951,
2440.783,786.60248,
2437.872,793.97914,
2434.962,791.43836,
2432.051,798.05098,
2429.141,809.66607,
2426.230,801.90729,
2423.320,818.33939,
2420.409,815.63779,
2417.498,822.91152,
2414.588,826.94249,
2411.677,838.66287,
2408.767,847.81299,
2405.856,833.53214,
2402.946,836.49408,
2400.035,811.05221,
2397.124,823.59557,
2394.214,851.55939,
2391.303,848.76051,
2388.393,853.5204,
2385.482,870.68438,
2382.571,863.13781,
2379.661,871.89219,
2376.750,884.70635,
2373.840,871.6344,
2370.929,867.15749,
2368.019,886.18661,
2365.108,872.54123,
2362.197,902.09763,
2359.287,883.77179,
2356.376,905.07745,
2353.466,882.32191,
2350.555,882.72999,
2347.645,895.7422,
2344.734,911.42916,
2341.823,923.94258,
2338.913,889.27578,
2336.002,920.17039,
2333.092,929.87217,
2330.181,939.4421,
2327.270,937.45503,
2324.360,917.14149,
2321.449,937.23386,
2318.539,949.06077,
2315.628,965.65338,
2312.718,978.5413,
2309.807,946.90115,
2306.896,968.35348,
2303.986,963.60555,
2301.075,968.74202,
2298.165,960.34599,
2295.254,947.36197,
2292.344,972.28267,
