,PLC748~1,
Raman shift [1/cm],Intensity,
3014.167,0.125,
3011.256,-0.67495705,
3008.346,80.73505,
3005.435,88.85645,
3002.525,84.199944,
2999.614,111.83799,
2996.704,114.125,
2993.793,109.88652,
2990.882,109.03335,
2987.972,117.08464,
2985.061,110.8984,
2982.151,115.76702,
2979.240,129.85884,
2976.329,125.62227,
2973.419,131.0639,
2970.508,127.30826,
2967.598,136.22058,
2964.687,140.03533,
2961.777,153.9029,
2958.866,146.45932,
2955.955,152.71349,
2953.045,144.67534,
2950.134,171.38161,
2947.224,179.92572,
2944.313,168.18127,
2941.403,193.41149,
2938.492,193.43395,
2935.581,173.8404,
2932.671,188.84604,
2929.760,185.03652,
2926.850,180.91598,
2923.939,195.32123,
2921.028,196.56606,
2918.118,201.6653,
2915.207,217.07453,
2912.297,222.14193,
2909.386,219.92062,
2906.476,212.48175,
2903.565,217.10796,
2900.654,222.33735,
2897.744,197.37644,
2894.833,210.11482,
2891.923,200.125,
2889.012,197.66257,
2886.102,209.91689,
2883.191,195.13822,
2880.280,182.10107,
2877.370,165.77036,
2874.459,146.94269,
2871.549,188.41482,
2868.638,216.80747,
2865.727,221.01733,
2862.817,221.86831,
2859.906,226.125,
2856.996,224.13406,
2854.085,223.88551,
2851.175,223.17318,
2848.264,224.1985,
2845.353,220.36224,
2842.443,225.93405,
2839.532,230.54283,
2836.622,211.55208,
2833.711,225.125,
2830.801,225.125,
2827.890,221.95716,
2824.979,232.81689,
2822.069,227.98853,
2819.158,214.98484,
2816.248,223.58447,
2813.337,238.19696,
2810.427,227.42665,
2807.516,228.75813,
2804.605,226.14664,
2801.695,232.38816,
2798.784,232.27285,
2795.874,233.125,
2792.963,226.0534,
2790.052,218.12586,
2787.142,215.79596,
2784.231,207.54425,
2781.321,227.48487,
2778.410,202.23411,
2775.500,217.52983,
2772.589,223.35437,
2769.678,219.29898,
2766.768,233.44344,
2763.857,231.0171,
2760.947,212.14391,
2758.036,223.59639,
2755.126,224.59722,
2752.215,236.18865,
2749.304,237.9973,
2746.394,230.76007,
2743.483,236.97498,
2740.573,222.38156,
2737.662,230.80547,
2734.751,239.00851,
2731.841,230.09752,
2728.930,240.77758,
2726.020,244.46701,
2723.109,234.27992,
2720.199,232.41872,
2717.288,230.59945,
2714.377,246.8955,
2711.467,249.74807,
2708.556,246.21005,
2705.646,250.66022,
2702.735,261.46005,
2699.825,255.78861,
2696.914,238.41044,
2694.003,269.65672,
2691.093,240.76761,
2688.182,256.27241,
2685.272,262.93012,
2682.361,255.82478,
2679.450,253.38431,
2676.540,254.94208,
2673.629,249.44337,
2670.719,261.90596,
2667.808,266.07636,
2664.898,241.38473,
2661.987,255.15859,
2659.076,273.85344,
2656.166,251.07734,
2653.255,271.67603,
2650.345,276.28471,
2647.434,269.78204,
2644.524,267.28328,
2641.613,273.92513,
2638.702,275.14078,
2635.792,264.65541,
2632.881,264.77392,
2629.971,270.59486,
2627.060,266.79187,
2624.149,272.93436,
2621.239,276.11314,
2618.328,281.08261,
2615.418,275.47954,
2612.507,281.01823,
2609.597,279.2268,
2606.686,294.00852,
2603.775,291.20834,
2600.865,282.2478,
2597.954,290.17291,
2595.044,285.8389,
2592.133,288.57737,
2589.223,308.71554,
2586.312,299.04966,
2583.401,289.96079,
2580.491,303.65864,
2577.580,294.12665,
2574.670,292.35763,
2571.759,287.87757,
2568.848,290.125,
2565.938,288.45824,
2563.027,302.95453,
2560.117,303.58294,
2557.206,309.35747,
2554.296,308.55749,
2551.385,309.35684,
2548.474,307.42166,
2545.564,308.34659,
2542.653,312.49413,
2539.743,305.52026,
2536.832,312.61472,
2533.922,312.36154,
2531.011,322.4504,
2528.100,318.65464,
2525.190,319.00984,
2522.279,319.93741,
2519.369,317.33247,
2516.458,311.78577,
2513.548,311.59764,
2510.637,316.80131,
2507.726,322.1287,
2504.816,314.50042,
2501.905,313.87866,
2498.995,327.66247,
2496.084,336.43162,
2493.173,326.07202,
2490.263,349.03466,
2487.352,339.83287,
2484.442,333.97939,
2481.531,335.59841,
2478.621,336.66055,
2475.710,345.05599,
2472.799,336.61827,
2469.889,336.6707,
2466.978,345.94964,
2464.068,347.25197,
2461.157,331.62744,
2458.247,338.7132,
2455.336,347.31484,
2452.425,341.64385,
2449.515,342.98363,
2446.604,349.47753,
2443.694,353.03208,
2440.783,359.98311,
2437.872,350.65096,
2434.962,342.06509,
2432.051,354.58799,
2429.141,368.22485,
2426.230,367.51615,
2423.320,373.76816,
2420.409,364.90698,
2417.498,362.74859,
2414.588,373.47474,
2411.677,363.51944,
2408.767,377.16043,
2405.856,378.62028,
2402.946,374.23224,
2400.035,365.33626,
2397.124,363.49396,
2394.214,389.4762,
2391.303,378.47866,
2388.393,382.06921,
2385.482,369.87405,
2382.571,385.97328,
2379.661,384.96212,
2376.750,396.01907,
2373.840,387.1438,
2370.929,366.31993,
2368.019,393.31773,
2365.108,394.125,
2362.197,392.33321,
2359.287,399.90662,
2356.376,403.12324,
2353.466,404.15585,
2350.555,398.49509,
2347.645,409.22963,
2344.734,393.63647,
2341.823,431.39534,
2338.913,396.34146,
2336.002,423.27095,
2333.092,417.87217,
2330.181,424.42421,
2327.270,419.56504,
2324.360,410.06603,
2321.449,422.5876,
2318.539,427.44302,
2315.628,443.53548,
2312.718,428.51045,
2309.807,442.64681,
2306.896,433.10152,
2303.986,430.21596,
2301.075,431.95481,
2298.165,436.10592,
2295.254,442.03883,
2292.344,444.7599,
2289.433,435.48409,
2286.522,436.47772,
2283.612,444.92604,
2280.701,470.16532,
2277.791,454.12313,
2274.880,437.40086,
2271.969,469.92747,
2269.059,465.1604,
2266.148,459.23184,
2263.238,444.93196,
2260.327,481.15935,
2257.417,471.20889,
2254.506,470.60644,
2251.595,460.26315,
2248.685,462.65193,
2245.774,461.22392,
2242.864,464.03272,
2239.953,470.52512,
2237.043,455.5282,
2234.132,478.13794,
2231.221,472.91304,
2228.311,475.82344,
2225.400,488.35016,
2222.490,496.68202,
2219.579,500.83452,
2216.669,504.62262,
2213.758,494.68839,
2210.847,514.11237,
2207.937,525.88069,
2205.026,528.34716,
2202.116,536.68019,
2199.205,561.72453,
2196.294,562.13303,
2193.384,572.17703,
2190.473,583.41491,
2187.563,575.20717,
2184.652,600.10743,
2181.742,648.67089,
2178.831,677.79046,
2175.920,711.11954,
2173.010,735.70153,
2170.099,762.18949,
2167.189,801.10347,
2164.278,801.49988,
2161.368,843.6937,
2158.457,915.7992,
2155.546,949.45771,
2152.636,976.54516,
2149.725,996.60821,
2146.815,1035.857,
2143.904,1060.2291,
2140.993,1065.9346,
2138.083,1047.3834,
2135.172,1051.0242,
2132.262,1058.7438,
2129.351,1035.7352,
2126.441,999.08607,
2123.530,960.35054,
2120.619,890.06087,
2117.709,861.30375,
2114.798,806.63642,
2111.888,763.98865,
2108.977,728.31705,
2106.067,690.27313,
2103.156,687.16368,
2100.245,632.12375,
2097.335,627.83705,
2094.424,606.33801,
2091.514,590.40994,
2088.603,592.44757,
2085.692,595.53393,
2082.782,578.86807,
2079.871,581.98264,
2076.961,563.54571,
2074.050,571.525,
2071.140,541.25135,
2068.229,552.5677,
2065.318,568.656,
2062.408,562.26117,
2059.497,548.91666,
2056.587,552.50862,
2053.676,537.97605,
2050.766,526.74085,
2047.855,515.97937,
2044.944,545.25801,
2042.034,545.65101,
2039.123,555.34722,
2036.213,562.08938,
2033.302,526.27743,
2030.391,517.2774,
2027.481,543.92966,
2024.570,541.16815,
2021.660,535.36152,
2018.749,530.84682,
2015.839,547.91437,
2012.928,544.03272,
2010.017,555.82641,
2007.107,550.19415,
2004.196,530.7678,
2001.286,517.93772,
1998.375,540.69686,
1995.465,548.55179,
1992.554,528.84281,
1989.643,540.60654,
1986.733,522.75044,
1983.822,511.4699,
1980.912,486.54112,
1978.001,497.49791,
1975.090,499.71126,
1972.180,515.26195,
1969.269,535.1825,
1966.359,511.63812,
1963.448,495.125,
1960.538,523.52784,
1957.627,484.65128,
1954.716,514.09083,
1951.806,477.16824,
1948.895,499.42051,
1945.985,504.91258,
1943.074,467.92938,
1940.164,476.54811,
1937.253,486.01181,
1934.342,490.5865,
1931.432,484.97043,
1928.521,494.51533,
1925.611,490.0342,
1922.700,456.84186,
1919.790,458.59888,
1916.879,462.91575,
1913.968,449.14221,
1911.058,446.56946,
1908.147,479.53083,
1905.237,466.34557,
1902.326,471.47459,
1899.415,497.77009,
1896.505,444.42002,
1893.594,440.38726,
1890.684,463.70668,
1887.773,469.59043,
1884.863,465.10905,
1881.952,480.65481,
1879.041,487.61202,
1876.131,453.73547,
1873.220,447.86837,
1870.310,449.9815,
1867.399,485.54923,
1864.489,467.46296,
1861.578,451.2184,
1858.667,454.7657,
1855.757,476.70137,
1852.846,496.34041,
1849.936,478.24111,
1847.025,487.35857,
1844.114,481.0426,
1841.204,468.69493,
1838.293,481.12167,
1835.383,475.47401,
1832.472,464.38065,
1829.562,502.00834,
1826.651,468.37148,
1823.740,480.70745,
1820.830,509.01489,
1817.919,513.125,
1815.009,496.85656,
1812.098,490.53445,
1809.188,501.38079,
1806.277,484.52337,
1803.366,531.69246,
1800.456,505.30064,
1797.545,494.53617,
1794.635,523.86793,
1791.724,504.0375,
1788.813,540.11343,
1785.903,516.08422,
1782.992,530.98185,
1780.082,486.21337,
1777.171,519.78345,
1774.261,507.74038,
1771.350,527.85674,
1768.439,518.48801,
1765.529,535.21668,
1762.618,547.85502,
1759.708,546.41838,
1756.797,536.04924,
1753.887,540.20226,
1750.976,506.38679,
1748.065,509.00364,
1745.155,518.18313,
1742.244,524.38132,
1739.334,543.81911,
1736.423,543.05959,
1733.512,556.13318,
1730.602,559.13293,
1727.691,539.70115,
1724.781,547.4968,
1721.870,547.90593,
1718.960,560.28071,
1716.049,551.37935,
1713.138,576.48487,
1710.228,580.2547,
1707.317,574.81757,
1704.407,565.14103,
1701.496,554.09797,
1698.586,609.48805,
1695.675,579.50378,
1692.764,575.23156,
1689.854,630.61322,
1686.943,590.60893,
1684.033,653.48581,
1681.122,612.85567,
1678.211,641.83948,
1675.301,649.10342,
1672.390,674.08911,
1669.480,662.64643,
1666.569,727.09961,
1663.659,725.19033,
1660.748,728.73936,
1657.837,710.30597,
1654.927,763.17186,
1652.016,764.37173,
1649.106,736.79343,
1646.195,842.76535,
1643.285,828.4668,
1640.374,843.25043,
1637.463,850.51212,
1634.553,927.10034,
1631.642,991.67983,
1628.732,951.48645,
1625.821,1012.1688,
1622.911,1078.7474,
1620.000,1143.3061,
1617.089,1231.3539,
1614.179,1274.9124,
1611.268,1357.9649,
1608.358,1410.6902,
1605.447,1481.9541,
1602.536,1475.8742,
1599.626,1535.8406,
1596.715,1489.3917,
1593.805,1481.442,
1590.894,1459.1082,
1587.984,1448.3302,
1585.073,1440.3185,
1582.162,1469.1809,
1579.252,1403.9328,
1576.341,1401.7431,
1573.431,1362.8336,
1570.520,1397.752,
1567.610,1386.0462,
1564.699,1394.5257,
1561.788,1368.7309,
1558.878,1308.0143,
1555.967,1283.4823,
1553.057,1231.729,
1550.146,1166.8669,
1547.235,1166.5574,
1544.325,1160.0693,
1541.414,1164.7273,
1538.504,1150.2416,
1535.593,1112.3082,
1532.683,1112.9347,
1529.772,1094.5254,
1526.861,1064.5623,
1523.951,1070.3978,
1521.040,1048.3667,
1518.130,1021.5525,
1515.219,1014.5661,
1512.309,985.3007,
1509.398,1006.6878,
1506.487,986.7002,
1503.577,962.38305,
1500.666,1011.9838,
1497.756,980.26921,
1494.845,993.24452,
1491.934,972.11555,
1489.024,969.22807,
1486.113,903.2927,
1483.203,874.14447,
1480.292,881.30714,
1477.382,837.05485,
1474.471,808.47528,
1471.560,820.54099,
1468.650,836.00756,
1465.739,816.42686,
1462.829,800.14091,
1459.918,777.13034,
1457.008,797.18701,
1454.097,820.18457,
1451.186,795.97606,
1448.276,795.66996,
1445.365,798.15739,
1442.455,767.14455,
1439.544,788.88158,
1436.633,780.25112,
1433.723,773.88179,
1430.812,757.38617,
1427.902,747.51616,
1424.991,721.92657,
1422.081,727.54734,
1419.170,727.26094,
1416.259,711.7338,
1413.349,675.64963,
1410.438,691.01685,
1407.528,709.8499,
1404.617,710.0151,
1401.707,690.1669,
1398.796,674.18095,
1395.885,686.35346,
1392.975,689.18684,
1390.064,661.89086,
1387.154,642.52526,
1384.243,560.9863,
1381.332,543.78097,
1378.422,570.34194,
1375.511,671.51429,
1372.601,724.73294,
1369.690,788.27335,
1366.780,818.71791,
1363.869,848.09874,
1360.958,857.78522,
1358.048,862.87149,
1355.137,900.82015,
1352.227,927.54981,
1349.316,966.4515,
1346.406,1023.6718,
1343.495,1013.0693,
1340.584,1065.7675,
1337.674,1092.0562,
1334.763,1134.7834,
1331.853,1178.3633,
1328.942,1166.783,
1326.032,1193.6717,
1323.121,1243.8419,
1320.210,1271.1116,
1317.300,1276.5348,
1314.389,1284.3474,
1311.479,1290.8143,
1308.568,1305.2886,
1305.657,1343.3966,
1302.747,1366.3162,
1299.836,1373.6902,
1296.926,1452.757,
1294.015,1530.8995,
1291.105,1532.3639,
1288.194,1619.9867,
1285.283,1662.1731,
1282.373,1680.8828,
1279.462,1722.8106,
1276.552,1749.3376,
1273.641,1748.4026,
1270.731,1758.0056,
1267.820,1770.2553,
1264.909,1759.3774,
1261.999,1732.6909,
1259.088,1748.197,
1256.178,1731.9959,
1253.267,1713.7811,
1250.356,1677.2941,
1247.446,1611.6665,
1244.535,1584.5491,
1241.625,1571.7288,
1238.714,1517.0842,
1235.804,1462.4114,
1232.893,1454.1173,
1229.982,1486.5186,
1227.072,1409.567,
1224.161,1420.0946,
1221.251,1360.5862,
1218.340,1315.8038,
1215.430,1321.8432,
1212.519,1293.2073,
1209.608,1247.9213,
1206.698,1278.4658,
1203.787,1323.4768,
1200.877,1311.521,
1197.966,1350.1848,
1195.055,1390.5212,
1192.145,1428.6814,
1189.234,1474.1598,
1186.324,1511.6722,
1183.413,1543.4651,
1180.503,1559.4034,
1177.592,1541.0642,
1174.681,1510.9983,
1171.771,1509.4862,
1168.860,1481.8005,
1165.950,1462.1929,
