,PLD84B~1,
Raman shift [1/cm],Intensity,
3014.167,0.625,
3011.256,0.72502147,
3008.346,209.09964,
3005.435,243.43065,
3002.525,235.21001,
2999.614,250.56659,
2996.704,261.44768,
2993.793,255.63422,
2990.882,267.26612,
2987.972,276.69058,
2985.061,281.20134,
2982.151,298.80654,
2979.240,314.50999,
2976.329,306.37637,
2973.419,315.39393,
2970.508,329.47499,
2967.598,350.38604,
2964.687,346.10258,
2961.777,358.4029,
2958.866,364.9519,
2955.955,360.72457,
2953.045,380.66081,
2950.134,413.17897,
2947.224,425.11256,
2944.313,414.36645,
2941.403,450.43522,
2938.492,434.21037,
2935.581,436.39924,
2932.671,447.46621,
2929.760,450.4173,
2926.850,467.52763,
2923.939,466.70444,
2921.028,472.47798,
2918.118,471.60611,
2915.207,490.63145,
2912.297,507.58269,
2909.386,515.02646,
2906.476,511.59411,
2903.565,503.07536,
2900.654,505.88489,
2897.744,485.82616,
2894.833,500.38791,
2891.923,494.5705,
2889.012,493.87356,
2886.102,487.75204,
2883.191,490.61556,
2880.280,453.42404,
2877.370,437.625,
2874.459,434.32322,
2871.549,477.08584,
2868.638,512.85385,
2865.727,516.54425,
2862.817,521.55414,
2859.906,527.68768,
2856.996,530.54348,
2854.085,523.09764,
2851.175,526.0316,
2848.264,551.03699,
2845.353,536.3662,
2842.443,524.625,
2839.532,519.1922,
2836.622,494.44531,
2833.711,504.625,
2830.801,490.23676,
2827.890,509.3348,
2824.979,513.41502,
2822.069,528.61363,
2819.158,524.58457,
2816.248,529.33737,
2813.337,533.58355,
2810.427,519.53684,
2807.516,521.625,
2804.605,500.09857,
2801.695,517.58553,
2798.784,516.92069,
2795.874,518.18963,
2792.963,538.12532,
2790.052,527.62886,
2787.142,511.26973,
2784.231,509.91537,
2781.321,534.48775,
2778.410,508.84961,
2775.500,526.04948,
2772.589,521.54703,
2769.678,515.83655,
2766.768,544.66968,
2763.857,555.5171,
2760.947,538.65652,
2758.036,538.54217,
2755.126,557.85791,
2752.215,563.64763,
2749.304,557.4973,
2746.394,559.04838,
2743.483,553.47503,
2740.573,558.27106,
2737.662,546.53919,
