,PLFB5D~1,
Raman shift [1/cm],Intensity,
3014.167,-3.625,
3011.256,-0.17501074,
3008.346,364.48328,
3005.435,404.56581,
3002.525,409.26258,
2999.614,444.52304,
2996.704,453.09252,
2993.793,462.61348,
2990.882,482.10777,
2987.972,466.55157,
2985.061,502.70505,
2982.151,508.77837,
2979.240,542.9577,
2976.329,550.88319,
2973.419,554.5596,
2970.508,567.70827,
2967.598,614.13604,
2964.687,615.58356,
2961.777,635.05889,
2958.866,630.71972,
2955.955,640.417,
2953.045,648.99697,
2950.134,715.87652,
2947.224,714.34653,
2944.313,718.31873,
2941.403,752.18522,
2938.492,770.22595,
2935.581,745.54192,
2932.671,778.41794,
2929.760,788.56345,
2926.850,788.16598,
2923.939,803.37029,
2921.028,825.53977,
2918.118,826.33722,
2915.207,851.43838,
2912.297,851.39616,
2909.386,870.58668,
2906.476,862.47614,
2903.565,866.9076,
2900.654,864.43364,
2897.744,865.41272,
2894.833,860.12773,
2891.923,843.5096,
2889.012,831.78541,
2886.102,851.16689,
2883.191,853.37217,
2880.280,809.02093,
2877.370,808.51453,
2874.459,806.43784,
2871.549,831.32279,
2868.638,895.56054,
2865.727,908.42121,
2862.817,896.84692,
2859.906,918.89352,
2856.996,906.37953,
2854.085,916.8183,
2851.175,916.04364,
2848.264,917.38467,
2845.353,906.69851,
2842.443,907.79867,
2839.532,882.71831,
2836.622,883.94792,
2833.711,878.26355,
2830.801,873.68456,
2827.890,887.14951,
2824.979,897.67105,
2822.069,910.86326,
2819.158,881.57717,
2816.248,909.36342,
2813.337,921.22013,
2810.427,908.19869,
2807.516,905.64125,
2804.605,912.21395,
2801.695,911.45393,
2798.784,909.07931,
2795.874,906.23516,
2792.963,897.58915,
2790.052,904.37286,
2787.142,891.45369,
2784.231,879.27716,
2781.321,919.79773,
2778.410,900.87877,
2775.500,909.99432,
2772.589,936.52639,
2769.678,910.05072,
2766.768,917.50509,
2763.857,950.31912,
2760.947,930.41913,
2758.036,949.23494,
2755.126,935.36859,
2752.215,965.13879,
2749.304,961.54588,
2746.394,980.39713,
2743.483,970.6251,
2740.573,953.03652,
2737.662,975.15163,
2734.751,972.14202,
2731.841,957.88782,
2728.930,996.26931,
2726.020,959.7066,
2723.109,996.49808,
2720.199,1010.9251,
2717.288,979.88593,
2714.377,1011.3993,
2711.467,1029.5717,
2708.556,1027.2474,
2705.646,1026.0651,
2702.735,1032.375,
2699.825,1022.104,
2696.914,1032.4232,
2694.003,1036.1181,
2691.093,1043.304,
2688.182,1040.6283,
2685.272,1057.6936,
2682.361,1055.4634,
2679.450,1048.4984,
2676.540,1056.3547,
2673.629,1053.384,
2670.719,1048.0903,
2667.808,1073.0618,
2664.898,1054.6347,
2661.987,1062.7418,
2659.076,1081.4677,
2656.166,1103.518,
2653.255,1084.0757,
2650.345,1119.816,
2647.434,1116.5465,
2644.524,1114.9002,
2641.613,1118.2895,
2638.702,1132.2172,
2635.792,1103.9662,
2632.881,1147.6246,
2629.971,1131.3479,
2627.060,1124.7081,
2624.149,1131.8875,
2621.239,1121.0909,
2618.328,1139.7392,
2615.418,1132.675,
2612.507,1149.8572,
2609.597,1145.0177,
2606.686,1157.2324,
2603.775,1155.0972,
2600.865,1169.2556,
2597.954,1187.5605,
2595.044,1186.2421,
2592.133,1205.3685,
2589.223,1209.9655,
2586.312,1215.179,
2583.401,1208.0283,
2580.491,1211.4567,
2577.580,1209.4179,
2574.670,1233.1611,
2571.759,1228.476,
2568.848,1248.3088,
2565.938,1229.6607,
2563.027,1237.1318,
2560.117,1243.4685,
2557.206,1287.5779,
2554.296,1263.2331,
2551.385,1259.0529,
2548.474,1254.7085,
2545.564,1275.7735,
2542.653,1274.6602,
2539.743,1282.4992,
2536.832,1311.1096,
2533.922,1310.4223,
2531.011,1310.0753,
2528.100,1322.166,
2525.190,1318.2389,
2522.279,1290.8288,
2519.369,1321.8843,
2516.458,1321.4834,
2513.548,1321.6113,
2510.637,1318.6824,
2507.726,1323.0627,
2504.816,1328.0007,
2501.905,1328.3171,
2498.995,1336.4944,
2496.084,1340.828,
2493.173,1335.8747,
2490.263,1365.6666,
2487.352,1381.7907,
2484.442,1366.3814,
2481.531,1379.2791,
2478.621,1399.9817,
2475.710,1395.4287,
2472.799,1397.1957,
2469.889,1396.8875,
2466.978,1401.1071,
2464.068,1404.0364,
2461.157,1404.6849,
2458.247,1406.272,
2455.336,1434.285,
2452.425,1420.4976,
2449.515,1421.5164,
2446.604,1422.4256,
2443.694,1443.5148,
2440.783,1480.143,
2437.872,1452.3806,
2434.962,1499.5962,
2432.051,1486.7886,
2429.141,1495.3573,
2426.230,1520.7452,
2423.320,1525.4616,
2420.409,1497.8299,
2417.498,1520.5548,
2414.588,1561.3444,
2411.677,1516.8412,
2408.767,1525.8337,
2405.856,1524.2869,
2402.946,1525.476,
2400.035,1560.0347,
2397.124,1572.2627,
2394.214,1573.3214,
2391.303,1575.7673,
2388.393,1581.8401,
2385.482,1607.3175,
2382.571,1605.6913,
2379.661,1628.3747,
2376.750,1641.4835,
2373.840,1612.5501,
2370.929,1619.245,
2368.019,1624.8442,
2365.108,1653.2101,
2362.197,1654.0681,
2359.287,1644.3666,
2356.376,1651.3644,
2353.466,1635.1164,
2350.555,1658.2753,
2347.645,1693.465,
2344.734,1693.6146,
2341.823,1704.1263,
2338.913,1693.1706,
2336.002,1718.3415,
2333.092,1729.5703,
2330.181,1730.6026,
2327.270,1714.2551,
2324.360,1728.4574,
2321.449,1778.511,
2318.539,1746.3536,
2315.628,1773.9701,
2312.718,1800.5072,
2309.807,1779.7907,
2306.896,1816.8007,
2303.986,1796.2062,
2301.075,1800.8218,
2298.165,1796.5769,
2295.254,1813.0088,
2292.344,1768.4745,
2289.433,1810.5296,
2286.522,1843.1876,
2283.612,1828.0944,
2280.701,1839.9534,
2277.791,1849.6173,
2274.880,1877.449,
2271.969,1869.6013,
2269.059,1875.078,
2266.148,1901.5319,
2263.238,1921.9696,
2260.327,1944.5473,
2257.417,1939.3056,
2254.506,1959.9932,
2251.595,1957.2368,
2248.685,1941.5904,
2245.774,1930.1663,
2242.864,1976.0059,
2239.953,2022.6855,
2237.043,2004.5439,
2234.132,2005.2737,
2231.221,2007.2174,
2228.311,2019.683,
2225.400,2020.3319,
2222.490,2051.704,
2219.579,2061.1283,
2216.669,2090.3893,
2213.758,2087.375,
2210.847,2142.9921,
2207.937,2165.0085,
2205.026,2186.0415,
2202.116,2197.1436,
2199.205,2221.2119,
2196.294,2232.937,
2193.384,2273.1631,
2190.473,2341.7119,
2187.563,2353.8004,
2184.652,2451.1648,
2181.742,2514.3533,
2178.831,2575.1456,
2175.920,2665.0963,
2173.010,2790.7078,
2170.099,2875.1697,
2167.189,2996.1858,
2164.278,3129.9449,
2161.368,3307.6544,
2158.457,3476.5014,
2155.546,3607.4165,
2152.636,3721.6355,
2149.725,3855.8917,
2146.815,3924.7733,
2143.904,4076.8917,
2140.993,4121.7982,
2138.083,4118.5028,
2135.172,4083.4086,
2132.262,4090.6408,
2129.351,4022.6125,
2126.441,3947.1321,
2123.530,3828.5107,
2120.619,3727.4678,
2117.709,3523.9112,
2114.798,3333.1051,
2111.888,3171.1656,
2108.977,3020.4544,
2106.067,2899.5707,
2103.156,2793.6705,
2100.245,2701.3336,
2097.335,2628.5111,
2094.424,2566.4075,
2091.514,2526.9449,
2088.603,2498.2691,
2085.692,2481.7876,
2082.782,2469.8771,
2079.871,2480.2688,
2076.961,2449.7644,
2074.050,2446.7629,
2071.140,2456.3059,
2068.229,2456.8503,
2065.318,2430.2267,
2062.408,2420.0036,
2059.497,2402.9583,
2056.587,2387.4449,
2053.676,2392.3578,
2050.766,2374.0686,
2047.855,2428.7549,
2044.944,2345.7596,
2042.034,2391.641,
2039.123,2413.5366,
2036.213,2424.0683,
2033.302,2409.223,
2030.391,2414.612,
2027.481,2410.9605,
2024.570,2443.6169,
2021.660,2434.3802,
2018.749,2449.6789,
2015.839,2457.2405,
2012.928,2456.1451,
2010.017,2460.5694,
2007.107,2459.6516,
2004.196,2449.5179,
2001.286,2440.269,
1998.375,2428.9833,
1995.465,2459.0527,
1992.554,2436.6988,
1989.643,2425.6169,
1986.733,2422.6259,
1983.822,2412.6195,
1980.912,2431.0086,
1978.001,2417.5958,
1975.090,2402.3597,
1972.180,2426.7181,
1969.269,2462.2256,
1966.359,2468.5371,
1963.448,2459.5309,
1960.538,2446.0139,
1957.627,2453.1831,
1954.716,2533.0481,
1951.806,2437.2821,
1948.895,2427.5975,
1945.985,2489.4649,
1943.074,2437.8251,
1940.164,2455.0866,
1937.253,2467.9965,
1934.342,2458.1611,
1931.432,2428.7567,
1928.521,2463.6893,
1925.611,2440.4079,
1922.700,2413.0863,
1919.790,2434.4903,
1916.879,2482.0968,
1913.968,2419.4562,
1911.058,2470.9125,
1908.147,2466.2349,
1905.237,2480.3603,
1902.326,2491.2757,
1899.415,2491.1738,
1896.505,2475.1581,
1893.594,2474.5579,
1890.684,2475.473,
1887.773,2493.9694,
1884.863,2500.2725,
1881.952,2498.0725,
1879.041,2476.4368,
1876.131,2509.2796,
1873.220,2496.5829,
1870.310,2473.8818,
1867.399,2488.1191,
1864.489,2506.1942,
1861.578,2458.5394,
1858.667,2520.869,
1855.757,2538.7628,
1852.846,2542.575,
1849.936,2521.8395,
1847.025,2545.6086,
1844.114,2553.375,
1841.204,2569.6128,
1838.293,2586.38,
1835.383,2590.4795,
1832.472,2578.5837,
1829.562,2593.8435,
1826.651,2609.375,
1823.740,2623.2064,
1820.830,2665.4147,
1817.919,2647.8718,
1815.009,2652.506,
1812.098,2650.7845,
1809.188,2626.9254,
1806.277,2671.3348,
1803.366,2733.3935,
1800.456,2674.3308,
1797.545,2658.9564,
1794.635,2683.601,
1791.724,2688.7729,
1788.813,2739.3724,
1785.903,2730.6715,
1782.992,2721.1321,
1780.082,2715.8356,
1777.171,2745.3729,
1774.261,2751.6103,
1771.350,2775.1877,
1768.439,2802.7408,
1765.529,2840.1018,
1762.618,2816.6006,
1759.708,2800.5055,
1756.797,2812.2917,
1753.887,2838.8123,
1750.976,2849.4784,
1748.065,2854.5916,
1745.155,2849.517,
1742.244,2850.6585,
1739.334,2897.5115,
1736.423,2909.603,
1733.512,2918.745,
1730.602,2971.9961,
1727.691,2990.678,
1724.781,3009.4663,
1721.870,2999.0844,
1718.960,3013.4641,
1716.049,3046.7391,
1713.138,3086.5748,
1710.228,3074.0988,
1707.317,3065.183,
1704.407,3078.7494,
1701.496,3142.3602,
1698.586,3139.1352,
1695.675,3183.289,
1692.764,3199.6291,
1689.854,3208.9852,
1686.943,3242.2283,
1684.033,3258.0025,
1681.122,3268.2051,
1678.211,3361.4804,
1675.301,3395.2732,
1672.390,3413.6651,
1669.480,3511.3136,
1666.569,3627.7305,
1663.659,3656.2569,
1660.748,3709.9149,
1657.837,3738.9715,
1654.927,3813.5145,
1652.016,3943.9862,
1649.106,3931.0434,
1646.195,4039.4609,
1643.285,4124.2839,
1640.374,4121.8593,
1637.463,4194.1492,
1634.553,4347.0745,
1631.642,4461.8517,
1628.732,4597.2757,
1625.821,4748.5019,
1622.911,4941.2818,
1620.000,5207.9859,
1617.089,5422.0964,
1614.179,5780.1098,
1611.268,6091.7383,
1608.358,6295.9167,
1605.447,6464.7191,
1602.536,6621.6132,
1599.626,6720.6886,
1596.715,6766.4942,
1593.805,6721.1867,
1590.894,6607.0526,
1587.984,6576.7853,
1585.073,6479.0835,
1582.162,6493.2658,
1579.252,6457.6416,
1576.341,6388.2952,
1573.431,6341.2649,
1570.520,6353.7776,
1567.610,6267.9814,
1564.699,6239.2751,
1561.788,6160.0941,
1558.878,6016.4501,
1555.967,5983.2129,
1553.057,5873.721,
1550.146,5778.106,
1547.235,5714.3295,
1544.325,5618.4699,
1541.414,5561.8142,
1538.504,5553.8336,
1535.593,5525.1078,
1532.683,5475.2429,
1529.772,5403.8007,
1526.861,5316.2236,
1523.951,5250.1664,
1521.040,5224.2441,
1518.130,5202.2387,
1515.219,5061.8156,
1512.309,5042.1273,
1509.398,5042.4491,
1506.487,5033.3363,
1503.577,4972.9055,
1500.666,4959.0026,
1497.756,4913.3238,
1494.845,4877.4156,
1491.934,4901.997,
1489.024,4786.4979,
1486.113,4784.2294,
1483.203,4700.8872,
1480.292,4669.1622,
1477.382,4683.9647,
1474.471,4610.8697,
1471.560,4578.667,
1468.650,4566.4924,
1465.739,4500.2475,
1462.829,4485.6668,
1459.918,4477.8279,
1457.008,4490.3292,
1454.097,4511.5183,
1451.186,4508.6129,
1448.276,4521.0647,
1445.365,4509.0504,
1442.455,4480.4878,
1439.544,4508.048,
1436.633,4507.0542,
1433.723,4494.4906,
1430.812,4508.2479,
1427.902,4406.4201,
1424.991,4408.3156,
1422.081,4352.4089,
1419.170,4351.6953,
1416.259,4318.3524,
1413.349,4311.1302,
1410.438,4320.4721,
1407.528,4321.1563,
1404.617,4304.6968,
1401.707,4289.6055,
1398.796,4297.1757,
1395.885,4337.2453,
1392.975,4350.5823,
1390.064,4305.375,
1387.154,4300.2345,
1384.243,4260.0948,
1381.332,4156.6749,
1378.422,4233.8572,
1375.511,4437.1387,
1372.601,4577.689,
1369.690,4723.1017,
1366.780,4862.5962,
1363.869,4912.2634,
1360.958,4995.2999,
1358.048,5102.0125,
1355.137,5224.0735,
1352.227,5324.4013,
1349.316,5400.0914,
1346.406,5472.7861,
1343.495,5535.2566,
1340.584,5652.3739,
1337.674,5732.6311,
1334.763,5829.6918,
1331.853,5916.8515,
1328.942,5903.4752,
1326.032,5994.3558,
1323.121,6023.5256,
1320.210,6070.3258,
1317.300,6105.3601,
1314.389,6196.0849,
1311.479,6292.1613,
1308.568,6330.7426,
1305.657,6360.3084,
1302.747,6385.5393,
1299.836,6472.7708,
1296.926,6674.528,
1294.015,6806.9106,
1291.105,6941.8146,
1288.194,7127.111,
1285.283,7238.1113,
1282.373,7297.0155,
1279.462,7403.2164,
1276.552,7492.0995,
1273.641,7523.902,
1270.731,7565.2511,
1267.820,7597.094,
1264.909,7512.8681,
1261.999,7409.7051,
1259.088,7473.5536,
1256.178,7417.4231,
1253.267,7349.0681,
1250.356,7227.7552,
1247.446,7109.1412,
1244.535,6984.0627,
1241.625,6850.2603,
1238.714,6750.5615,
1235.804,6675.3655,
1232.893,6532.0114,
1229.982,6476.3887,
1227.072,6358.6981,
1224.161,6294.0612,
