,PL1442~1,
Raman shift [1/cm],Intensity,
3014.167,-1.125,
3011.256,1.3249893,
3008.346,409.13686,
3005.435,494.56758,
3002.525,519.65017,
2999.614,547.40874,
2996.704,552.36262,
2993.793,567.13191,
2990.882,570.91312,
2987.972,575.98094,
2985.061,600.4218,
2982.151,626.01115,
2979.240,656.80272,
2976.329,670.34497,
2973.419,704.8139,
2970.508,709.07488,
2967.598,710.78303,
2964.687,736.03872,
2961.777,779.20869,
2958.866,761.86164,
2955.955,815.54088,
2953.045,823.19494,
2950.134,847.48142,
2947.224,868.15969,
2944.313,876.97614,
2941.403,936.70985,
2938.492,922.72595,
2935.581,933.25657,
2932.671,934.63898,
2929.760,952.73654,
2926.850,946.13628,
2923.939,991.83293,
2921.028,983.46308,
2918.118,1004.5387,
2915.207,1023.1027,
2912.297,1021.8454,
2909.386,1042.6706,
2906.476,1020.7205,
2903.565,1041.1017,
2900.654,1028.7102,
2897.744,1018.9379,
2894.833,1033.3594,
2891.923,1033.0897,
2889.012,1021.9675,
2886.102,1003.9561,
2883.191,1000.8854,
2880.280,1001.7506,
2877.370,949.26463,
2874.459,943.8688,
2871.549,985.59903,
2868.638,1040.2873,
2865.727,1039.6866,
2862.817,1043.3616,
2859.906,1065.9006,
2856.996,1078.3546,
2854.085,1078.4737,
2851.175,1077.0407,
2848.264,1052.61,
2845.353,1070.3574,
2842.443,1051.6666,
2839.532,1050.3377,
2836.622,1031.3581,
2833.711,1017.616,
2830.801,1025.4647,
2827.890,1042.1268,
2824.979,1034.8251,
2822.069,1061.8523,
2819.158,1057.9747,
2816.248,1056.3692,
2813.337,1079.7201,
2810.427,1059.5293,
2807.516,1065.1339,
2804.605,1057.5096,
2801.695,1046.9013,
2798.784,1071.8442,
2795.874,1071.7193,
2792.963,1073.589,
2790.052,1022.8847,
2787.142,1044.3357,
2784.231,1032.3284,
2781.321,997.13221,
2778.410,1026.2493,
2775.500,1036.2798,
2772.589,1068.0294,
2769.678,1071.3051,
2766.768,1072.1799,
2763.857,1074.9829,
2760.947,1088.3214,
2758.036,1107.8306,
2755.126,1110.5865,
2752.215,1102.4521,
2749.304,1120.2778,
2746.394,1105.6128,
2743.483,1116.5751,
2740.573,1114.5056,
2737.662,1114.7788,
2734.751,1119.8508,
2731.841,1125.6864,
2728.930,1139.3624,
2726.020,1132.4468,
2723.109,1136.0092,
2720.199,1141.4811,
2717.288,1156.437,
2714.377,1172.7747,
2711.467,1163.497,
2708.556,1196.4497,
2705.646,1196.1708,
2702.735,1189.1843,
2699.825,1175.6569,
2696.914,1179.3986,
2694.003,1185.0214,
2691.093,1171.3756,
2688.182,1204.4402,
2685.272,1207.0073,
2682.361,1187.6687,
2679.450,1215.2453,
2676.540,1199.9156,
2673.629,1209.1754,
2670.719,1223.2327,
2667.808,1200.9936,
2664.898,1220.2388,
2661.987,1220.0752,
2659.076,1254.9332,
2656.166,1217.3598,
2653.255,1244.7577,
2650.345,1263.4431,
2647.434,1259.2188,
2644.524,1284.0644,
2641.613,1260.0177,
2638.702,1294.2753,
