,PL4B76~1,
Raman shift [1/cm],Intensity,
3014.167,4.375,
3011.256,-0.6751181,
3008.346,142.92702,
3005.435,172.64355,
3002.525,176.50755,
2999.614,175.375,
2996.704,186.95953,
2993.793,186.24194,
2990.882,192.93988,
2987.972,193.47085,
2985.061,202.17794,
2982.151,215.79519,
2979.240,238.12309,
2976.329,249.87773,
2973.419,250.3139,
2970.508,251.49156,
2967.598,250.375,
2964.687,258.0163,
2961.777,267.28099,
2958.866,278.7019,
2955.955,281.30421,
2953.045,281.00811,
2950.134,286.65198,
2947.224,295.8305,
2944.313,314.07158,
2941.403,307.81524,
2938.492,314.39669,
2935.581,338.46086,
2932.671,321.89431,
2929.760,326.39424,
2926.850,332.42726,
2923.939,341.77688,
2921.028,343.85156,
2918.118,350.4745,
2915.207,354.02699,
2912.297,342.44693,
2909.386,372.36041,
2906.476,358.31321,
2903.565,367.76316,
2900.654,358.93919,
2897.744,361.31214,
2894.833,353.48846,
2891.923,368.02571,
2889.012,338.86633,
2886.102,360.73041,
2883.191,366.36556,
2880.280,341.66686,
2877.370,337.51453,
2874.459,314.42543,
2871.549,349.2173,
2868.638,386.1956,
2865.727,364.11345,
2862.817,374.47526,
2859.906,383.12144,
2856.996,377.35689,
2854.085,383.13551,
2851.175,383.89909,
2848.264,370.60517,
2845.353,385.2456,
2842.443,376.97918,
2839.532,378.8078,
2836.622,385.03776,
2833.711,373.21174,
2830.801,364.0875,
2827.890,386.32951,
2824.979,361.59704,
2822.069,364.6593,
2819.158,377.97337,
2816.248,360.86921,
2813.337,399.67379,
2810.427,377.29374,
2807.516,377.47562,
2804.605,380.47114,
2801.695,376.65135,
2798.784,381.89246,
2795.874,373.79451,
2792.963,381.73213,
2790.052,372.37693,
2787.142,385.88812,
2784.231,384.21351,
2781.321,373.25504,
2778.410,383.05521,
2775.500,378.375,
2772.589,409.60437,
2769.678,390.69581,
2766.768,388.50509,
2763.857,391.79697,
2760.947,399.375,
2758.036,405.30497,
2755.126,409.80449,
2752.215,400.9931,
2749.304,413.69332,
2746.394,405.43346,
2743.483,402.77503,
2740.573,417.77996,
2737.662,387.71523,
2734.751,394.60798,
2731.841,415.10578,
2728.930,413.96416,
2726.020,393.38021,
2723.109,419.53958,
2720.199,417.375,
2717.288,412.48084,
2714.377,417.0832,
2711.467,433.16181,
2708.556,447.84279,
2705.646,434.71297,
2702.735,434.87242,
2699.825,434.33137,
2696.914,445.28001,
2694.003,430.17337,
2691.093,432.10666,
2688.182,436.94019,
2685.272,440.05637,
2682.361,438.34552,
2679.450,450.57661,
2676.540,439.61889,
2673.629,446.39745,
2670.719,437.65966,
2667.808,426.95863,
2664.898,447.30982,
2661.987,450.60812,
2659.076,439.75647,
2656.166,438.39226,
2653.255,457.18793,
2650.345,447.47845,
2647.434,478.26039,
2644.524,468.69156,
