,PL56DB~1,
Raman shift [1/cm],Intensity,
3014.167,0.75,
3011.256,-1.3500215,
3008.346,184.95076,
3005.435,237.05742,
3002.525,258.73266,
2999.614,244.12664,
2996.704,264.01598,
2993.793,261.9977,
2990.882,274.48277,
2987.972,280.7046,
2985.061,288.15396,
2982.151,302.58529,
2979.240,325.54847,
2976.329,342.76638,
2973.419,349.6889,
2970.508,352.09989,
2967.598,355.08454,
2964.687,360.31726,
2961.777,392.27171,
2958.866,380.40677,
2955.955,401.33849,
2953.045,416.09899,
2950.134,424.5168,
2947.224,428.83541,
2944.313,435.34544,
2941.403,449.30976,
2938.492,449.75,
2935.581,467.35733,
2932.671,449.15346,
2929.760,474.23463,
2926.850,490.22744,
2923.939,485.06774,
2921.028,492.75,
2918.118,501.83061,
2915.207,490.8574,
2912.297,510.61883,
2909.386,514.15146,
2906.476,502.65732,
2903.565,506.86334,
2900.654,502.80864,
2897.744,501.61171,
2894.833,499.40963,
2891.923,497.15379,
2889.012,514.84248,
2886.102,493.20675,
2883.191,491.75661,
2880.280,473.2811,
2877.370,434.79665,
2874.459,431.27211,
2871.549,477.73721,
2868.638,505.52319,
2865.727,508.09231,
2862.817,505.83556,
2859.906,535.92664,
2856.996,521.75,
2854.085,514.70797,
2851.175,553.24704,
2848.264,521.69584,
2845.353,504.09507,
2842.443,524.14234,
2839.532,509.7949,
2836.622,511.50846,
2833.711,511.01687,
2830.801,504.05221,
2827.890,513.31118,
2824.979,513.16996,
2822.069,526.79549,
2819.158,535.31065,
2816.248,539.01447,
2813.337,535.18293,
2810.427,523.10262,
2807.516,539.15984,
2804.605,517.20193,
2801.695,527.31579,
2798.784,526.82392,
2795.874,531.61016,
2792.963,530.67862,
2790.052,510.7545,
2787.142,528.77623,
2784.231,515.49224,
2781.321,516.81862,
2778.410,535.65482,
2775.500,519.83759,
2772.589,525.28975,
2769.678,541.50087,
2766.768,543.43156,
2763.857,547.11609,
2760.947,536.30359,
2758.036,549.83283,
2755.126,550.03205,
2752.215,554.96358,
2749.304,557.72841,
2746.394,570.85897,
2743.483,549.84995,
2740.573,569.50889,
2737.662,557.86686,
2734.751,558.95878,
2731.841,575.48078,
2728.930,567.178,
2726.020,560.0816,
2723.109,575.59508,
2720.199,581.10314,
2717.288,586.36314,
2714.377,569.23786,
2711.467,588.5533,
2708.556,585.14368,
2705.646,589.51058,
2702.735,612.57216,
2699.825,596.85907,
2696.914,603.8932,
2694.003,609.64918,
2691.093,601.46362,
2688.182,599.78778,
2685.272,597.46693,
2682.361,604.56769,
2679.450,599.91874,
2676.540,596.68903,
2673.629,601.38225,
2670.719,609.68438,
2667.808,615.26364,
2664.898,608.08755,
2661.987,611.34993,
2659.076,614.85991,
2656.166,623.62017,
2653.255,607.0119,
2650.345,636.59937,
2647.434,630.69313,
2644.524,644.61093,
2641.613,643.20694,
2638.702,644.67109,
2635.792,636.18769,
2632.881,633.59526,
2629.971,641.47489,
2627.060,667.75187,
2624.149,666.07186,
2621.239,665.21739,
2618.328,658.4109,
2615.418,656.0591,
2612.507,678.54047,
2609.597,661.22904,
2606.686,684.8283,
2603.775,673.71032,
2600.865,677.80803,
2597.954,685.51043,
2595.044,681.41076,
2592.133,688.86471,
2589.223,709.69002,
2586.312,702.77511,
2583.401,693.8339,
2580.491,704.33646,
2577.580,674.7698,
2574.670,693.94517,
2571.759,704.4923,
2568.848,710.92134,
2565.938,696.13093,
2563.027,704.14088,
2560.117,703.4883,
2557.206,725.87177,
2554.296,721.4365,
2551.385,729.13004,
2548.474,729.12026,
2545.564,716.09821,
2542.653,734.3708,
2539.743,748.6391,
2536.832,733.5855,
2533.922,757.545,
2531.011,747.49977,
2528.100,746.22036,
2525.190,750.60861,
2522.279,759.38996,
2519.369,740.50419,
2516.458,746.29533,
2513.548,757.40423,
2510.637,765.3359,
2507.726,744.37454,
2504.816,748.00028,
2501.905,745.69207,
2498.995,763.22775,
2496.084,777.49568,
2493.173,785.01291,
2490.263,773.16581,
2487.352,773.75,
2484.442,776.02837,
2481.531,793.33499,
2478.621,779.94897,
2475.710,816.55831,
2472.799,794.46297,
2469.889,796.93281,
2466.978,800.13135,
2464.068,802.79232,
2461.157,818.78265,
2458.247,817.20615,
2455.336,842.81457,
2452.425,820.13677,
2449.515,841.89137,
2446.604,830.46202,
2443.694,819.58717,
2440.783,832.51464,
2437.872,852.16656,
2434.962,837.27534,
2432.051,841.18832,
2429.141,860.83213,
2426.230,852.79306,
2423.320,859.76467,
2420.409,848.66657,
2417.498,878.28935,
2414.588,870.67785,
2411.677,864.71414,
2408.767,867.54429,
2405.856,886.25472,
2402.946,883.11283,
2400.035,892.13499,
2397.124,899.53609,
2394.214,910.29159,
2391.303,911.17548,
2388.393,893.29881,
2385.482,888.79406,
2382.571,884.06625,
2379.661,898.9359,
2376.750,908.6983,
2373.840,908.88749,
2370.929,898.86913,
2368.019,926.0628,
2365.108,939.30759,
2362.197,947.13905,
2359.287,939.96838,
2356.376,976.68132,
2353.466,964.35617,
2350.555,960.37991,
2347.645,946.68511,
2344.734,965.75467,
2341.823,935.38016,
2338.913,959.19033,
2336.002,974.18785,
2333.092,969.81888,
2330.181,954.13369,
2327.270,965.7049,
2324.360,975.97638,
2321.449,991.57992,
2318.539,988.92127,
