,PL718D~1,
Raman shift [1/cm],Intensity,
3014.167,1.625,
3011.256,0.52497853,
3008.346,139.17702,
3005.435,188.32112,
3002.525,196.32243,
2999.614,202.00164,
2996.704,216.43943,
2993.793,210.13882,
2990.882,219.39589,
2987.972,213.80157,
2985.061,242.4181,
2982.151,261.92586,
2979.240,255.48809,
2976.329,269.36544,
2973.419,273.90254,
2970.508,262.80826,
2967.598,279.72058,
2964.687,291.17663,
2961.777,295.28306,
2958.866,300.95932,
2955.955,316.31967,
2953.045,324.80845,
2950.134,337.14689,
2947.224,337.28337,
2944.313,340.4562,
2941.403,379.48266,
2938.492,367.59246,
2935.581,379.38814,
2932.671,383.50483,
2929.760,378.34807,
2926.850,385.99793,
2923.939,364.22312,
2921.028,375.24858,
2918.118,397.42601,
2915.207,392.67547,
2912.297,408.51922,
2909.386,420.82208,
2906.476,408.3385,
2903.565,403.72129,
2900.654,407.95463,
2897.744,406.36098,
2894.833,390.98573,
2891.923,412.41031,
2889.012,403.79841,
2886.102,387.66553,
2883.191,406.61084,
2880.280,371.63935,
2877.370,334.21809,
2874.459,364.85153,
2871.549,378.96704,
2868.638,381.30747,
2865.727,415.91347,
2862.817,408.98195,
2859.906,421.51104,
2856.996,413.6567,
2854.085,414.54728,
2851.175,425.48045,
2848.264,417.90933,
2845.353,413.64657,
2842.443,420.61456,
2839.532,405.56544,
2836.622,417.10807,
2833.711,397.58103,
2830.801,411.90515,
2827.890,394.16696,
2824.979,405.89693,
2822.069,408.64774,
2819.158,413.28538,
2816.248,419.86632,
2813.337,427.26403,
2810.427,411.36743,
2807.516,418.25078,
2804.605,410.58173,
2801.695,408.28291,
2798.784,415.40323,
2795.874,407.18963,
2792.963,418.76798,
2790.052,409.62757,
2787.142,416.12477,
2784.231,397.30201,
2781.321,392.68786,
2778.410,403.58437,
2775.500,398.47846,
2772.589,442.85437,
2769.678,420.23252,
2766.768,417.81335,
2763.857,432.30901,
2760.947,427.10294,
2758.036,441.41492,
2755.126,436.47757,
2752.215,444.90223,
2749.304,436.39119,
2746.394,442.60287,
2743.483,432.02498,
2740.573,439.17369,
2737.662,437.07174,
2734.751,446.44042,
2731.841,447.27335,
2728.930,454.48101,
2726.020,448.07407,
2723.109,446.3055,
2720.199,462.29053,
2717.288,471.27463,
2714.377,471.9791,
2711.467,461.96896,
2708.556,471.97616,
2705.646,458.48413,
2702.735,473.96521,
2699.825,471.33224,
2696.914,473.7682,
2694.003,471.08354,
2691.093,467.32174,
2688.182,478.67982,
2685.272,484.7573,
2682.361,462.65994,
2679.450,483.16408,
2676.540,475.68597,
2673.629,476.30214,
2670.719,467.77102,
2667.808,494.16593,
2664.898,493.43045,
2661.987,480.89171,
2659.076,497.46335,
2656.166,513.31769,
2653.255,504.06888,
2650.345,503.27291,
2647.434,504.13943,
2644.524,507.69454,
2641.613,509.42513,
2638.702,503.75125,
2635.792,522.87723,
2632.881,504.47026,
2629.971,503.625,
2627.060,518.79156,
2624.149,514.11251,
2621.239,511.38241,
2618.328,517.73487,
2615.418,497.625,
2612.507,512.51823,
2609.597,512.54316,
2606.686,523.26154,
2603.775,531.06945,
2600.865,544.86049,
2597.954,527.34371,
2595.044,538.65157,
2592.133,535.68236,
2589.223,562.58923,
2586.312,543.08733,
2583.401,545.05204,
2580.491,554.44712,
2577.580,535.65306,
2574.670,552.625,
2571.759,540.51371,
2568.848,550.38201,
2565.938,558.33931,
2563.027,554.16137,
2560.117,546.54088,
2557.206,561.70618,
2554.296,554.51287,
2551.385,565.37702,
2548.474,565.51385,
2545.564,584.96023,
2542.653,586.64513,
2539.743,599.71126,
2536.832,597.91098,
2533.922,599.75115,
2531.011,602.67542,
2528.100,585.36018,
2525.190,592.69303,
2522.279,606.78084,
2519.369,594.4549,
2516.458,585.05489,
2513.548,597.75186,
2510.637,622.02645,
2507.726,599.18634,
2504.816,600.93729,
2501.905,612.61037,
2498.995,611.50556,
2496.084,606.55878,
2493.173,596.86175,
2490.263,615.36628,
2487.352,633.3746,
2484.442,622.21388,
2481.531,624.42271,
2478.621,627.10837,
2475.710,631.54832,
2472.799,622.61154,
2469.889,629.98789,
2466.978,627.40857,
2464.068,615.04825,
2461.157,645.66252,
2458.247,646.74271,
2455.336,647.03008,
2452.425,644.51651,
2449.515,657.625,
2446.604,668.20096,
2443.694,663.78695,
2440.783,640.14752,
2437.872,645.73439,
2434.962,649.93836,
2432.051,660.45229,
2429.141,672.60729,
2426.230,660.60287,
2423.320,709.24023,
2420.409,673.02878,
2417.498,673.24016,
2414.588,694.14961,
2411.677,681.66086,
2408.767,684.90157,
2405.856,700.06781,
