,PL91AF~1,
Raman shift [1/cm],Intensity,
3014.167,-0.875,
3011.256,0.024978527,
3008.346,229.47933,
3005.435,259.47129,
3002.525,273.5976,
2999.614,289.65874,
2996.704,283.70953,
2993.793,292.38191,
2990.882,288.25476,
2987.972,289.28644,
2985.061,324.22845,
2982.151,339.57375,
2979.240,339.88733,
2976.329,363.87637,
2973.419,378.32552,
2970.508,366.37495,
2967.598,375.79408,
2964.687,388.16984,
2961.777,395.27893,
2958.866,414.12055,
2955.955,429.99003,
2953.045,422.95946,
2950.134,452.34954,
2947.224,469.35275,
2944.313,470.83298,
2941.403,482.24452,
2938.492,497.24152,
2935.581,489.35076,
2932.671,485.52846,
2929.760,512.74809,
2926.850,509.75207,
2923.939,499.07822,
2921.028,519.04262,
2918.118,537.68419,
2915.207,528.77054,
2912.297,543.0573,
2909.386,550.10311,
2906.476,539.51264,
2903.565,538.98056,
2900.654,539.97129,
2897.744,547.8987,
2894.833,530.94973,
2891.923,537.8013,
2889.012,516.20593,
2886.102,521.70879,
2883.191,542.10423,
2880.280,500.55562,
2877.370,482.42737,
2874.459,479.35774,
2871.549,504.36208,
2868.638,524.85283,
2865.727,541.80961,
2862.817,548.22526,
2859.906,555.32728,
2856.996,550.12047,
2854.085,570.49058,
2851.175,566.98045,
2848.264,564.54666,
2845.353,552.55634,
2842.443,564.93753,
2839.532,541.70717,
2836.622,533.3164,
2833.711,552.82983,
2830.801,539.91618,
2827.890,525.52539,
2824.979,549.40899,
2822.069,563.98853,
2819.158,557.44576,
2816.248,563.88368,
2813.337,573.06282,
2810.427,543.86743,
2807.516,553.27594,
2804.605,554.125,
2801.695,552.99342,
2798.784,553.97715,
2795.874,559.5498,
2792.963,564.41074,
2790.052,557.12672,
2787.142,556.53273,
2784.231,544.80201,
2781.321,525.94795,
2778.410,562.25443,
2775.500,555.97846,
2772.589,566.47133,
2769.678,575.1591,
2766.768,565.08032,
2763.857,559.22904,
2760.947,565.72902,
2758.036,575.34789,
2755.126,578.4562,
2752.215,593.69785,
2749.304,558.50994,
2746.394,564.76007,
2743.483,588.02491,
2740.573,595.36611,
2737.662,575.78477,
2734.751,582.28988,
2731.841,594.69277,
2728.930,590.49356,
2726.020,597.11979,
2723.109,598.4445,
2720.199,599.53416,
2717.288,612.72353,
2714.377,596.38336,
2711.467,612.46896,
2708.556,628.73132,
2705.646,626.89964,
2702.735,622.27705,
2699.825,620.84141,
2696.914,637.36319,
2694.003,639.19818,
2691.093,629.6966,
2688.182,623.43315,
2685.272,625.29286,
2682.361,617.13046,
2679.450,620.84523,
2676.540,644.77949,
2673.629,631.44337,
2670.719,646.47528,
2667.808,646.36818,
2664.898,640.44991,
2661.987,633.92513,
2659.076,660.94611,
2656.166,647.46271,
2653.255,639.45663,
2650.345,665.29379,
2647.434,650.43995,
2644.524,676.66937,
2641.613,687.35379,
2638.702,667.50375,
2635.792,680.81492,
2632.881,665.58923,
2629.971,667.25251,
2627.060,674.95968,
2624.149,673.31249,
2621.239,699.90613,
2618.328,681.40442,
2615.418,671.42955,
2612.507,692.81271,
2609.597,690.85953,
2606.686,700.0206,
2603.775,708.92261,
2600.865,682.01231,
2597.954,702.27494,
2595.044,720.49966,
2592.133,719.07412,
2589.223,715.2092,
2586.312,730.37119,
2583.401,744.77828,
2580.491,736.59136,
2577.580,724.12005,
2574.670,731.64101,
2571.759,744.26114,
2568.848,726.36254,
2565.938,744.17269,
2563.027,735.125,
2560.117,744.02222,
2557.206,735.56412,
2554.296,737.125,
2551.385,741.06704,
2548.474,745.42128,
2545.564,757.71348,
2542.653,753.59815,
2539.743,776.48329,
2536.832,775.28761,
2533.922,760.61385,
2531.011,784.52556,
2528.100,779.38636,
2525.190,788.54385,
2522.279,766.95402,
2519.369,798.08763,
2516.458,781.9012,
2513.548,778.50684,
2510.637,775.39986,
2507.726,798.88334,
2504.816,787.6267,
2501.905,789.19756,
2498.995,801.02078,
2496.084,810.52567,
2493.173,802.3356,
2490.263,808.11371,
2487.352,811.83287,
2484.442,809.68173,
2481.531,824.81113,
2478.621,834.2672,
2475.710,818.26302,
2472.799,831.43895,
2469.889,825.36601,
2466.978,819.69215,
2464.068,839.98223,
2461.157,839.27997,
2458.247,851.80156,
2455.336,853.5516,
2452.425,872.30427,
2449.515,855.2955,
2446.604,872.08131,
2443.694,862.07898,
2440.783,864.02815,
2437.872,870.5051,
2434.962,855.43836,
2432.051,872.77957,
2429.141,892.81904,
2426.230,878.29844,
2423.320,915.6683,
2420.409,892.58663,
2417.498,887.51826,
2414.588,916.10207,
2411.677,892.98157,
2408.767,901.26673,
2405.856,923.99174,
2402.946,919.3931,
2400.035,941.20717,
2397.124,923.47259,
2394.214,927.31261,
2391.303,913.125,
2388.393,935.5204,
2385.482,930.6978,
2382.571,920.75751,
2379.661,938.59004,
2376.750,943.80974,
2373.840,944.47811,
2370.929,965.89758,
2368.019,960.97966,
2365.108,970.00982,
2362.197,957.33321,
2359.287,966.50328,
2356.376,981.10387,
2353.466,982.35277,
2350.555,981.44523,
2347.645,981.65217,
2344.734,993.24947,
2341.823,978.45666,
2338.913,993.51907,
2336.002,1018.3045,
2333.092,1013.5043,
2330.181,1003.2989,
2327.270,1016.1349,
2324.360,1014.4693,
2321.449,1022.4787,
2318.539,1037.4675,
2315.628,1029.412,
2312.718,1028.8409,
2309.807,1042.3299,
2306.896,1046.8887,
2303.986,1052.5601,
2301.075,1047.5718,
2298.165,1048.9136,
2295.254,1031.5343,
2292.344,1078.1832,
2289.433,1062.1636,
2286.522,1066.9911,
2283.612,1061.4349,
2280.701,1061.9905,
2277.791,1072.4055,
2274.880,1086.4009,
2271.969,1110.4172,
2269.059,1112.2694,
2266.148,1142.6592,
2263.238,1113.4416,
2260.327,1116.7112,
2257.417,1116.8183,
2254.506,1140.7888,
2251.595,1130.2851,
2248.685,1133.8019,
2245.774,1141.9272,
2242.864,1138.0327,
2239.953,1148.6216,
2237.043,1143.2421,
2234.132,1166.847,
2231.221,1186.3886,
2228.311,1169.8583,
2225.400,1173.8435,
2222.490,1171.3662,
2219.579,1205.8602,
2216.669,1214.1107,
2213.758,1234.0845,
2210.847,1257.6338,
2207.937,1255.3693,
2205.026,1243.4574,
2202.116,1289.5284,
2199.205,1315.252,
2196.294,1294.9189,
2193.384,1312.546,
2190.473,1336.2905,
2187.563,1387.4537,
2184.652,1457.083,
2181.742,1469.8979,
2178.831,1509.7399,
2175.920,1585.4347,
2173.010,1668.0298,
2170.099,1752.6513,
2167.189,1836.656,
2164.278,1924.6516,
2161.368,2037.1216,
2158.457,2154.1476,
2155.546,2268.0164,
2152.636,2369.8376,
2149.725,2440.4001,
2146.815,2535.1552,
2143.904,2576.861,
2140.993,2653.6489,
2138.083,2629.3377,
2135.172,2652.5788,
2132.262,2642.478,
2129.351,2605.1835,
2126.441,2535.1636,
2123.530,2406.621,
2120.619,2263.8043,
2117.709,2166.6914,
2114.798,2017.0782,
2111.888,1890.814,
2108.977,1781.562,
2106.067,1677.9715,
2103.156,1605.4551,
2100.245,1546.1049,
2097.335,1510.392,
2094.424,1471.3969,
2091.514,1434.4825,
2088.603,1434.6503,
2085.692,1421.7124,
2082.782,1396.8681,
2079.871,1381.9103,
2076.961,1402.5751,
2074.050,1383.622,
2071.140,1350.5851,
2068.229,1329.6758,
2065.318,1331.9283,
2062.408,1340.7082,
2059.497,1315.2857,
2056.587,1302.8343,
2053.676,1286.7927,
2050.766,1302.5084,
2047.855,1286.2674,
2044.944,1291.7901,
2042.034,1306.0789,
2039.123,1324.1822,
2036.213,1299.3361,
2033.302,1302.125,
2030.391,1288.5999,
2027.481,1278.1494,
2024.570,1312.5241,
2021.660,1294.6624,
2018.749,1323.2892,
2015.839,1303.0666,
2012.928,1304.7575,
2010.017,1302.137,
2007.107,1314.5642,
2004.196,1297.125,
2001.286,1294.708,
1998.375,1295.2126,
1995.465,1267.0205,
1992.554,1299.4423,
1989.643,1247.1988,
1986.733,1278.7873,
1983.822,1258.5105,
1980.912,1278.214,
1978.001,1280.1417,
1975.090,1274.3891,
1972.180,1241.4016,
1969.269,1243.8808,
1966.359,1254.7196,
1963.448,1252.4724,
1960.538,1255.9941,
1957.627,1249.9919,
1954.716,1254.9526,
1951.806,1225.6715,
1948.895,1234.3396,
1945.985,1222.942,
1943.074,1211.5422,
1940.164,1192.2696,
1937.253,1213.0731,
1934.342,1206.7063,
1931.432,1223.0524,
1928.521,1196.3046,
1925.611,1156.0603,
1922.700,1208.0656,
1919.790,1200.0097,
1916.879,1195.1947,
1913.968,1197.1225,
1911.058,1173.4103,
1908.147,1241.7483,
1905.237,1204.8897,
1902.326,1215.6865,
1899.415,1194.7494,
1896.505,1196.6009,
1893.594,1191.5793,
1890.684,1186.9616,
1887.773,1200.0297,
1884.863,1200.3687,
1881.952,1188.2425,
1879.041,1187.638,
1876.131,1170.2087,
1873.220,1163.5099,
1870.310,1191.9007,
1867.399,1173.4609,
1864.489,1171.0471,
1861.578,1169.0316,
1858.667,1172.9663,
1855.757,1203.3171,
1852.846,1210.1147,
1849.936,1192.6375,
1847.025,1208.1079,
1844.114,1262.1908,
1841.204,1233.9886,
1838.293,1234.1366,
1835.383,1229.8575,
1832.472,1231.532,
1829.562,1239.4294,
1826.651,1248.9114,
1823.740,1266.4124,
1820.830,1292.9598,
1817.919,1261.6637,
1815.009,1258.2624,
1812.098,1278.873,
1809.188,1271.7452,
1806.277,1255.4791,
1803.366,1264.4245,
1800.456,1283.8836,
1797.545,1312.9265,
1794.635,1299.964,
1791.724,1295.9211,
1788.813,1311.1199,
1785.903,1302.6288,
1782.992,1319.3455,
1780.082,1300.5351,
1777.171,1303.7904,
1774.261,1305.6951,
1771.350,1327.0188,
1768.439,1349.3601,
1765.529,1364.1259,
1762.618,1367.7094,
1759.708,1366.6576,
1756.797,1405.2386,
1753.887,1394.8145,
1750.976,1388.6597,
1748.065,1390.5351,
1745.155,1398.0087,
1742.244,1401.5036,
1739.334,1386.485,
1736.423,1380.4185,
1733.512,1403.4096,
1730.602,1436.0615,
1727.691,1402.6713,
1724.781,1420.8015,
1721.870,1442.806,
1718.960,1472.4364,
1716.049,1490.7096,
1713.138,1459.7802,
1710.228,1493.2884,
1707.317,1494.7021,
1704.407,1495.0234,
1701.496,1522.4714,
1698.586,1512.1892,
1695.675,1567.2675,
1692.764,1552.1906,
1689.854,1550.1683,
1686.943,1630.3258,
1684.033,1655.5538,
1681.122,1617.7877,
1678.211,1627.0298,
1675.301,1738.7797,
1672.390,1734.9785,
1669.480,1687.0235,
1666.569,1798.8994,
1663.659,1860.0886,
1660.748,1918.3949,
1657.837,1933.5247,
1654.927,1996.1719,
1652.016,1999.4857,
1649.106,2055.1777,
1646.195,2097.2449,
1643.285,2103.3327,
1640.374,2157.1529,
1637.463,2253.5662,
1634.553,2333.4993,
1631.642,2425.9176,
1628.732,2499.0731,
1625.821,2658.1963,
1622.911,2766.5108,
1620.000,2919.1848,
1617.089,3109.3041,
1614.179,3269.5846,
1611.268,3458.9868,
1608.358,3626.2587,
1605.447,3768.9547,
1602.536,3845.1528,
1599.626,3805.9682,
1596.715,3815.739,
1593.805,3776.8801,
1590.894,3721.0461,
1587.984,3767.8227,
1585.073,3667.2205,
1582.162,3688.1995,
1579.252,3678.1224,
1576.341,3615.6474,
1573.431,3617.5717,
1570.520,3608.3662,
1567.610,3537.8103,
1564.699,3481.7736,
1561.788,3488.1389,
1558.878,3395.7588,
1555.967,3302.8785,
1553.057,3232.5565,
1550.146,3164.336,
1547.235,3099.1635,
1544.325,3064.7731,
1541.414,2988.9176,
1538.504,2908.0591,
1535.593,2864.2662,
1532.683,2826.262,
1529.772,2792.5815,
1526.861,2758.0668,
1523.951,2728.9616,
1521.040,2670.5253,
1518.130,2603.1902,
1515.219,2598.6052,
1512.309,2587.4178,
1509.398,2561.5244,
1506.487,2516.0464,
1503.577,2504.4763,
1500.666,2515.215,
1497.756,2489.6077,
1494.845,2457.1239,
1491.934,2409.0778,
1489.024,2394.6404,
1486.113,2361.6725,
1483.203,2343.138,
1480.292,2329.2458,
1477.382,2302.0693,
1474.471,2244.7106,
1471.560,2233.479,
1468.650,2205.7442,
1465.739,2181.2367,
1462.829,2169.7536,
1459.918,2141.2629,
1457.008,2146.5099,
1454.097,2130.9172,
1451.186,2122.3842,
1448.276,2167.6387,
1445.365,2156.9828,
1442.455,2157.7454,
1439.544,2127.1322,
1436.633,2094.0187,
1433.723,2110.0215,
1430.812,2059.1645,
1427.902,2046.7191,
1424.991,2029.6594,
1422.081,2027.29,
1419.170,1942.4471,
1416.259,1967.198,
1413.349,1923.2581,
1410.438,1925.7188,
1407.528,1926.4001,
1404.617,1892.7686,
1401.707,1896.5023,
1398.796,1934.1739,
1395.885,1952.9518,
1392.975,1961.5628,
1390.064,1970.1217,
1387.154,1969.3407,
1384.243,1993.1916,
1381.332,1944.0728,
1378.422,2050.5403,
1375.511,2097.3793,
1372.601,2197.6546,
1369.690,2261.8445,
1366.780,2357.4568,
1363.869,2368.5014,
1360.958,2418.2627,
1358.048,2500.7097,
1355.137,2565.9863,
1352.227,2625.4389,
1349.316,2668.0691,
1346.406,2711.039,
1343.495,2802.8515,
1340.584,2820.2681,
1337.674,2818.9171,
1334.763,2920.6888,
1331.853,3014.3392,
1328.942,3035.0248,
1326.032,3089.3247,
1323.121,3143.36,
1320.210,3232.0422,
1317.300,3305.7194,
1314.389,3379.9454,
1311.479,3456.2704,
1308.568,3517.754,
1305.657,3568.5204,
1302.747,3607.863,
1299.836,3679.3783,
1296.926,3835.5688,
1294.015,3931.1785,
1291.105,4088.3393,
1288.194,4200.9804,
1285.283,4310.7614,
1282.373,4408.406,
1279.462,4462.1443,
1276.552,4503.9991,
1273.641,4568.0119,
1270.731,4610.422,
1267.820,4577.569,
1264.909,4545.598,
1261.999,4576.3275,
1259.088,4527.0729,
1256.178,4458.1779,
1253.267,4376.543,
1250.356,4275.209,
1247.446,4115.6725,
1244.535,3958.7681,
1241.625,3823.5511,
1238.714,3695.6297,
1235.804,3592.2223,
1232.893,3501.3777,
1229.982,3487.7451,
1227.072,3447.0061,
1224.161,3356.7126,
1221.251,3308.1111,
1218.340,3266.6778,
1215.430,3212.1381,
1212.519,3163.9201,
1209.608,3140.9987,
1206.698,3129.9759,
1203.787,3123.3009,
1200.877,3199.7907,
1197.966,3194.3957,
1195.055,3264.0914,
1192.145,3380.5617,
1189.234,3456.6477,
1186.324,3533.6757,
1183.413,3586.191,
1180.503,3594.4505,
1177.592,3575.0034,
1174.681,3516.012,
1171.771,3520.1881,
1168.860,3436.2377,
1165.950,3402.3237,
1163.039,3366.7921,
1160.129,3311.6554,
1157.218,3290.7782,
1154.307,3277.4925,
1151.397,3236.2575,
1148.486,3225.4276,
1145.576,3209.354,
1142.665,3191.5958,
1139.754,3146.189,
1136.844,3081.5014,
1133.933,3054.606,
1131.023,3031.8249,
1128.112,3002.3403,
1125.202,3001.9607,
1122.291,3040.0024,
1119.380,3046.047,
1116.470,3038.1043,
1113.559,3073.4677,
1110.649,3074.9572,
1107.738,3061.5519,
1104.828,3071.1851,
1101.917,3090.6869,
1099.006,3083.8053,
1096.096,3100.4262,
1093.185,3089.0122,
1090.275,3071.9396,
1087.364,3080.4752,
1084.453,3089.4998,
1081.543,3103.0805,
1078.632,3095.8142,
1075.722,3046.8683,
1072.811,3040.1035,
1069.901,3082.02,
1066.990,3096.4416,
1064.079,3124.9845,
1061.169,3152.5894,
1058.258,3172.7477,
1055.348,3191.9438,
