,PL9A1E~1,
Raman shift [1/cm],Intensity,
3014.167,2.25,
3011.256,-1.5000537,
3008.346,243.08982,
3005.435,300.28887,
3002.525,317.30761,
2999.614,304.29028,
2996.704,308.39124,
2993.793,328.72696,
2990.882,333.2577,
2987.972,350.26009,
2985.061,349.14655,
2982.151,358.4601,
2979.240,381.14923,
2976.329,393.51502,
2973.419,401.04948,
2970.508,416.08337,
2967.598,410.97048,
2964.687,443.33967,
2961.777,431.28409,
2958.866,449.90677,
2955.955,457.93806,
2953.045,482.65271,
2950.134,502.25,
2947.224,491.161,
2944.313,518.20513,
2941.403,508.90465,
2938.492,538.55895,
2935.581,550.65859,
2932.671,537.09121,
2929.760,561.96157,
2926.850,562.13835,
2923.939,561.76868,
2921.028,577.03834,
2918.118,597.72859,
2915.207,603.90845,
2912.297,616.25,
2909.386,609.25,
2906.476,591.51407,
2903.565,582.45963,
2900.654,596.70802,
2897.744,597.19971,
2894.833,588.30164,
2891.923,603.14431,
2889.012,582.83381,
2886.102,586.08243,
2883.191,588.25094,
2880.280,565.28828,
2877.370,556.75583,
2874.459,551.40749,
2871.549,605.56593,
2868.638,623.79638,
2865.727,609.19616,
2862.817,596.50669,
2859.906,604.93376,
2856.996,617.71603,
2854.085,619.96848,
2851.175,620.3675,
2848.264,614.81867,
2845.353,617.09903,
2842.443,608.65279,
2839.532,609.35446,
2836.622,617.96876,
2833.711,595.13071,
2830.801,609.45147,
2827.890,608.1853,
2824.979,596.608,
2822.069,617.30686,
2819.158,619.96967,
2816.248,608.77895,
2813.337,620.93048,
2810.427,612.38913,
2807.516,618.29297,
2804.605,615.25,
2801.695,620.34212,
2798.784,628.88038,
2795.874,622.93334,
2792.963,618.82063,
2790.052,605.24893,
2787.142,617.34204,
2784.231,601.02486,
2781.321,606.80421,
2778.410,593.54948,
2775.500,622.09896,
2772.589,622.4419,
2769.678,615.32168,
2766.768,635.35294,
2763.857,613.72592,
2760.947,648.35087,
2758.036,635.44728,
2755.126,644.82051,
2752.215,639.80445,
2749.304,639.35611,
2746.394,651.13309,
2743.483,641.60001,
2740.573,646.4602,
2737.662,655.25,
2734.751,654.69176,
2731.841,648.89835,
2728.930,670.57629,
2726.020,664.35706,
2723.109,645.2915,
2720.199,662.95628,
2717.288,657.7062,
2714.377,665.9582,
2711.467,678.23352,
2708.556,687.98389,
2705.646,689.02464,
2702.735,674.28095,
2699.825,698.38089,
2696.914,687.39272,
2694.003,687.30528,
2691.093,703.48225,
2688.182,693.26704,
2685.272,708.93137,
2682.361,695.00327,
2679.450,694.11414,
2676.540,692.55486,
2673.629,708.24551,
2670.719,696.76108,
2667.808,692.10409,
2664.898,696.14591,
2661.987,706.68332,
2659.076,687.04743,
2656.166,737.5228,
2653.255,724.58163,
2650.345,729.25,
2647.434,744.36461,
2644.524,745.4394,
2641.613,743.33611,
2638.702,745.32891,
2635.792,730.53116,
2632.881,739.91057,
2629.971,752.35742,
2627.060,741.58001,
2624.149,759.06251,
2621.239,764.03113,
2618.328,753.12284,
2615.418,749.58636,
2612.507,755.07606,
2609.597,781.04641,
2606.686,774.2761,
2603.775,771.69048,
2600.865,793.1272,
2597.954,791.35202,
2595.044,809.28543,
2592.133,795.74676,
2589.223,782.44262,
2586.312,791.5917,
2583.401,795.49453,
2580.491,791.71636,
2577.580,824.20874,
2574.670,799.25,
2571.759,798.69949,
2568.848,802.36604,
2565.938,820.10722,
2563.027,812.54316,
2560.117,814.43691,
2557.206,842.08394,
2554.296,849.44451,
2551.385,833.25807,
2548.474,842.95372,
2545.564,826.78814,
2542.653,852.40772,
2539.743,857.23768,
2536.832,865.80141,
2533.922,820.02269,
2531.011,862.47549,
2528.100,859.51136,
2525.190,863.92541,
2522.279,879.1562,
2519.369,869.70329,
2516.458,862.81303,
2513.548,867.2046,
2510.637,884.00407,
2507.726,877.75185,
2504.816,872.25,
2501.905,876.30793,
2498.995,864.08607,
2496.084,885.83542,
2493.173,899.17086,
2490.263,881.48614,
2487.352,887.9996,
2484.442,884.24357,
2481.531,901.88817,
2478.621,897.12672,
2475.710,919.08131,
2472.799,899.96297,
2469.889,909.7043,
2466.978,917.02314,
2464.068,927.86908,
2461.157,922.48002,
2458.247,923.51476,
2455.336,945.7373,
2452.425,928.3962,
2449.515,940.98597,
2446.604,949.77532,
2443.694,958.57566,
2440.783,950.53378,
2437.872,961.65111,
2434.962,971.19931,
2432.051,972.63897,
2429.141,986.50282,
2426.230,984.64115,
2423.320,986.2074,
2420.409,981.67936,
2417.498,990.45505,
2414.588,994.15492,
2411.677,991.25,
2408.767,995.04429,
2405.856,1006.719,
2402.946,1019.5717,
2400.035,1022.5528,
2397.124,1019.4746,
2394.214,1021.8988,
2391.303,1023.7859,
2388.393,1036.9407,
2385.482,1042.2059,
2382.571,1017.3377,
2379.661,1047.8779,
2376.750,1055.9322,
2373.840,1052.8375,
2370.929,1043.3258,
2368.019,1051.3337,
2365.108,1065.8312,
2362.197,1072.4308,
2359.287,1070.46,
2356.376,1078.2342,
2353.466,1071.4161,
2350.555,1085.3852,
2347.645,1095.0262,
2344.734,1090.7339,
2341.823,1084.3329,
2338.913,1106.0261,
