,PLA0AC~1,
Raman shift [1/cm],Intensity,
3014.167,3.125,
3011.256,-2.2750859,
3008.346,395.90136,
3005.435,478.62323,
3002.525,496.27768,
2999.614,500.31332,
2996.704,517.07242,
2993.793,524.59274,
2990.882,545.17082,
2987.972,568.21581,
2985.061,586.56835,
2982.151,617.06788,
2979.240,618.80846,
2976.329,658.69871,
2973.419,663.64824,
2970.508,681.79153,
2967.598,681.84548,
2964.687,726.15421,
2961.777,728.97107,
2958.866,739.78622,
2955.955,766.09621,
2953.045,800.67534,
2950.134,801.30575,
2947.224,835.34916,
2944.313,869.48469,
2941.403,880.98266,
2938.492,891.00848,
2935.581,896.78636,
2932.671,932.04777,
2929.760,938.10576,
2926.850,944.39342,
2923.939,955.40538,
2921.028,959.51917,
2918.118,972.86429,
2915.207,977.13145,
2912.297,981.13769,
2909.386,1005.1688,
2906.476,997.32728,
2903.565,996.5613,
2900.654,988.63055,
2897.744,982.11243,
2894.833,979.06318,
2891.923,968.016,
2889.012,947.87067,
2886.102,963.33311,
2883.191,967.12217,
2880.280,914.18721,
2877.370,936.89822,
2874.459,936.125,
2871.549,957.62527,
2868.638,993.21777,
2865.727,1010.2596,
2862.817,1001.9098,
2859.906,1011.2902,
2856.996,1028.6227,
2854.085,1009.7594,
2851.175,1002.4352,
2848.264,1013.831,
2845.353,1006.2544,
2842.443,1005.3368,
2839.532,1014.5279,
2836.622,989.51823,
2833.711,983.49548,
2830.801,968.53529,
2827.890,1023.6215,
2824.979,1008.051,
2822.069,1019.1932,
2819.158,1023.2247,
2816.248,1022.3663,
2813.337,1015.2177,
2810.427,1021.0299,
2807.516,1019.1323,
2804.605,1028.4471,
2801.695,1022.6119,
2798.784,1006.8992,
2795.874,1019.7108,
2792.963,1011.9109,
2790.052,1019.1241,
2787.142,1003.7039,
2784.231,1006.802,
2781.321,984.62788,
2778.410,1009.1389,
2775.500,1008.6174,
2772.589,1011.9346,
2769.678,1029.0568,
2766.768,1021.6182,
2763.857,1042.757,
2760.947,1052.666,
2758.036,1068.4435,
2755.126,1083.6955,
2752.215,1071.2339,
2749.304,1067.7203,
2746.394,1084.5263,
2743.483,1065.625,
2740.573,1082.4171,
2737.662,1062.3277,
2734.751,1064.7558,
2731.841,1074.4492,
2728.930,1065.9216,
2726.020,1086.5845,
2723.109,1112.3103,
2720.199,1082.2218,
2717.288,1096.5812,
2714.377,1102.2207,
2711.467,1127.6986,
2708.556,1134.6463,
2705.646,1116.5334,
2702.735,1124.7951,
2699.825,1138.396,
2696.914,1152.3632,
2694.003,1143.1071,
2691.093,1153.6064,
2688.182,1130.8339,
2685.272,1133.7537,
2682.361,1151.9077,
2679.450,1157.8986,
2676.540,1147.755,
2673.629,1171.1564,
2670.719,1146.8477,
2667.808,1160.1523,
2664.898,1165.3585,
2661.987,1184.825,
2659.076,1183.5065,
2656.166,1200.7051,
2653.255,1207.1199,
2650.345,1185.8437,
2647.434,1240.496,
2644.524,1223.8972,
2641.613,1236.0967,
2638.702,1202.7405,
2635.792,1225.4062,
2632.881,1242.2914,
2629.971,1227.9503,
2627.060,1218.7894,
2624.149,1242.6375,
2621.239,1251.3794,
2618.328,1250.7859,
2615.418,1244.4523,
2612.507,1252.0894,
2609.597,1260.5741,
2606.686,1278.125,
2603.775,1271.8829,
2600.865,1295.7053,
2597.954,1295.6938,
2595.044,1300.6706,
2592.133,1318.3415,
2589.223,1310.3418,
2586.312,1337.6627,
2583.401,1341.9827,
2580.491,1327.2356,
2577.580,1367.0656,
2574.670,1331.125,
2571.759,1339.3827,
2568.848,1338.7161,
2565.938,1361.2681,
2563.027,1341.809,
2560.117,1357.6671,
2557.206,1379.9184,
2554.296,1365.5209,
2551.385,1363.0171,
2548.474,1369.4581,
2545.564,1361.22,
2542.653,1399.4203,
2539.743,1398.9771,
2536.832,1428.4932,
2533.922,1384.5665,
2531.011,1416.2497,
2528.100,1429.2574,
2525.190,1405.8266,
2522.279,1422.7498,
2519.369,1411.5026,
2516.458,1424.2511,
2513.548,1440.3159,
2510.637,1441.6331,
2507.726,1424.1324,
2504.816,1417.877,
2501.905,1427.6902,
2498.995,1462.543,
2496.084,1467.8985,
2493.173,1461.2565,
2490.263,1478.8663,
2487.352,1505.8746,
2484.442,1494.4291,
