,PLAA27~1,
Raman shift [1/cm],Intensity,
3014.167,3,
3011.256,-3.3501825,
3008.346,173.2201,
3005.435,180.92226,
3002.525,185.71756,
2999.614,184.91037,
2996.704,192.71752,
2993.793,202.11463,
2990.882,213.38929,
2987.972,223.03027,
2985.061,215.25614,
2982.151,242.91432,
2979.240,230.89923,
2976.329,247.02184,
2973.419,248.21515,
2970.508,261.08332,
2967.598,250.29036,
2964.687,274.08967,
2961.777,275.62397,
2958.866,277.98812,
2955.955,304.62388,
2953.045,303.6152,
2950.134,300.8834,
2947.224,326.40215,
2944.313,313.19088,
2941.403,331.55976,
2938.492,342.14905,
2935.581,354.8601,
2932.671,339.27896,
2929.760,345.22694,
2926.850,365.42519,
2923.939,363.23831,
2921.028,353.58808,
2918.118,365.44081,
2915.207,372.58861,
2912.297,384.94922,
2909.386,386.80292,
2906.476,379.93821,
2903.565,387.71112,
2900.654,370.72901,
2897.744,385.64798,
2894.833,364.59782,
2891.923,374,
2889.012,373.99422,
2886.102,374.27434,
2883.191,360.00189,
2880.280,353.13876,
2877.370,350.93607,
2874.459,364.59116,
2871.549,368.75013,
2868.638,386.54638,
2865.727,388.55765,
2862.817,382.41312,
2859.906,398.77208,
2856.996,399.98641,
2854.085,388.03569,
2851.175,380.62046,
2848.264,386.71567,
2845.353,393.46082,
2842.443,375.38886,
2839.532,381.11943,
2836.622,387.81446,
2833.711,370.5259,
2830.801,376.39559,
2827.890,382.12235,
2824.979,378.62993,
2822.069,391.96588,
2819.158,382.91913,
2816.248,369.26447,
2813.337,380.88659,
2810.427,382.86777,
2807.516,399.4675,
2804.605,382.65626,
2801.695,394.69737,
2798.784,392.29569,
2795.874,396.55935,
2792.963,391.28532,
2790.052,374.00172,
2787.142,387.88173,
2784.231,392.64598,
2781.321,396.55998,
2778.410,391.6599,
2775.500,383.27794,
2772.589,392.96101,
2769.678,385.46416,
2766.768,394.92817,
2763.857,381.00386,
2760.947,405.45272,
2758.036,400.54142,
2755.126,422.90812,
2752.215,415.59547,
2749.304,420.4892,
2746.394,408.72985,
2743.483,406.74999,
2740.573,412.54869,
2737.662,397.88314,
2734.751,407.39786,
2731.841,417.10806,
2728.930,425,
2726.020,416.10185,
2723.109,427.61825,
2720.199,415.66553,
2717.288,427.91241,
2714.377,421.77508,
2711.467,448.60659,
2708.556,450.12758,
2705.646,434.4084,
2702.735,424.51805,
2699.825,446.40184,
2696.914,459.90501,
2694.003,440.69755,
2691.093,458.1071,
2688.182,441.72592,
2685.272,445.12376,
2682.361,435,
2679.450,444.90943,
2676.540,448.79676,
2673.629,450.94612,
2670.719,453.1608,
2667.808,441,
2664.898,446.15564,
2661.987,468.76688,
2659.076,454.30605,
2656.166,448.06491,
2653.255,465.03232,
2650.345,467.80762,
2647.434,473.57131,
2644.524,467.45563,
2641.613,482.14331,
2638.702,472.28406,
2635.792,478.75074,
2632.881,476.46423,
2629.971,459.80525,
2627.060,497.66875,
2624.149,479.62188,
2621.239,478.75148,
2618.328,487.95761,
2615.418,488.65909,
2612.507,493.2411,
2609.597,494.90818,
2606.686,500.85742,
2603.775,500.64286,
2600.865,502.35492,
2597.954,511.85006,
2595.044,496.59877,
2592.133,512,
2589.223,520.02422,
2586.312,525.09551,
2583.401,517.7336,
2580.491,520.91828,
