,PLC2FF~1,
Raman shift [1/cm],Intensity,
3014.167,1.375,
3011.256,0.82498926,
3008.346,281.87323,
3005.435,344.14532,
3002.525,371.56516,
2999.614,364.03865,
2996.704,375.50799,
2993.793,377.48042,
2990.882,407.06194,
2987.972,405.48599,
2985.061,428.70505,
2982.151,449.74981,
2979.240,464.64116,
2976.329,480.89957,
2973.419,503.79066,
2970.508,502.85828,
2967.598,536.60673,
2964.687,512.35937,
2961.777,538.87087,
2958.866,550.04068,
2955.955,576.417,
2953.045,604.62331,
2950.134,604.50331,
2947.224,612.17572,
2944.313,613.01531,
2941.403,643.23266,
2938.492,638.06605,
2935.581,656.25101,
2932.671,667.33639,
2929.760,685.06732,
2926.850,672.57688,
2923.939,697.93105,
2921.028,709.83381,
2918.118,731.13318,
2915.207,731.67899,
2912.297,739.38769,
2909.386,743.98084,
2906.476,747.98736,
2903.565,729.27871,
2900.654,728.71574,
2897.744,712.28699,
2894.833,730.94154,
2891.923,726.01908,
2889.012,714.75072,
2886.102,709.95879,
2883.191,715.36839,
2880.280,700.78169,
2877.370,660.04368,
2874.459,651.82807,
2871.549,705.51991,
2868.638,727.83066,
2865.727,747.15965,
2862.817,729.91778,
2859.906,756.60292,
2856.996,754.39311,
2854.085,748.61449,
2851.175,763.11295,
2848.264,755.31117,
2845.353,745.3103,
2842.443,745.96873,
2839.532,738.95717,
2836.622,745.83008,
2833.711,732.5979,
2830.801,731.86397,
2827.890,736.03932,
2824.979,742.35088,
2822.069,715.72754,
2819.158,750.5556,
2816.248,754.38658,
2813.337,785.15795,
2810.427,753.45626,
2807.516,780.20937,
2804.605,752.57933,
2801.695,757.90133,
2798.784,752.11423,
2795.874,766.23516,
2792.963,754.37479,
2790.052,748.37521,
2787.142,747.79608,
2784.231,733.34397,
2781.321,718.00937,
2778.410,743.61992,
2775.500,749.97017,
2772.589,749.375,
2769.678,756.80159,
2766.768,762.94005,
2763.857,758.43088,
2760.947,779.84033,
2758.036,785.38781,
2755.126,776.84722,
2752.215,783.65223,
2749.304,794.33182,
2746.394,808.58669,
2743.483,808.275,
2740.573,809.14934,
2737.662,783.18268,
2734.751,806.16622,
2731.841,809.26694,
2728.930,810.56127,
2726.020,826.47685,
2723.109,837.10666,
2720.199,828.72814,
2717.288,829.63778,
2714.377,821.05434,
2711.467,842.24422,
2708.556,827.98132,
2705.646,844.74123,
2702.735,842.19716,
2699.825,848.98234,
2696.914,840.65997,
2694.003,866.67745,
2691.093,855.96464,
2688.182,845.5187,
2685.272,856.54286,
2682.361,844.04531,
2679.450,841.80304,
2676.540,834.49694,
2673.629,853.98031,
2670.719,878.16335,
2667.808,873.52091,
2664.898,881.19309,
2661.987,872.77473,
2659.076,856.26509,
2656.166,886.18026,
2653.255,879.55698,
2650.345,910.32782,
2647.434,911.97517,
2644.524,910.65314,
2641.613,915.51831,
2638.702,921.40656,
2635.792,909.56343,
2632.881,908.72608,
2629.971,921.2274,
2627.060,912.7075,
2624.149,912.94376,
2621.239,915.14427,
2618.328,934.95113,
2615.418,925.70682,
2612.507,938.78602,
2609.597,938.20135,
2606.686,954.56978,
2603.775,966.89882,
2600.865,972.49443,
2597.954,948.90825,
2595.044,972.76738,
2592.133,971.60442,
2589.223,976.70026,
2586.312,987.74182,
2583.401,995.27281,
2580.491,1000.0048,
2577.580,1014.342,
2574.670,997.14237,
