,PLD87E~1,
Raman shift [1/cm],Intensity,
3014.167,-1,
3011.256,1.3499678,
3008.346,348.22859,
3005.435,443.07774,
3002.525,451.75503,
2999.614,475.13897,
2996.704,478.59278,
2993.793,484.36233,
2990.882,513.206,
2987.972,515.1009,
2985.061,542.53696,
2982.151,565.2101,
2979.240,566.43155,
2976.329,593.2814,
2973.419,625.56971,
2970.508,630.66653,
2967.598,648.47791,
2964.687,654.17935,
2961.777,667.21385,
2958.866,675.32245,
2955.955,722.63049,
2953.045,732.48548,
2950.134,761.94755,
2947.224,778.51603,
2944.313,778.17949,
2941.403,796.26186,
2938.492,806.87264,
2935.581,835.83308,
2932.671,848.47636,
2929.760,832.67308,
2926.850,855.85037,
2923.939,865.07473,
2921.028,890.70596,
2918.118,886.34131,
2915.207,898.76584,
2912.297,910.95346,
2909.386,927.58395,
2906.476,924.22471,
2903.565,906.32297,
2900.654,910.39938,
2897.744,916.58512,
2894.833,895.13381,
2891.923,919.9199,
2889.012,904.75144,
2886.102,875.23381,
2883.191,901.95941,
2880.280,870.87559,
2877.370,835.65702,
2874.459,834.64158,
2871.549,876.42142,
2868.638,899.95464,
2865.727,923.4769,
2862.817,939.10026,
2859.906,945.49289,
2856.996,927.99094,
2854.085,937.92228,
2851.175,927.66864,
2848.264,932.2205,
2845.353,918.62544,
2842.443,940.61114,
2839.532,939.53726,
2836.622,925.55078,
2833.711,932.06748,
2830.801,920.39559,
2827.890,915.27804,
2824.979,943.93805,
2822.069,939.0796,
2819.158,937.25875,
2816.248,938.68921,
2813.337,950.11341,
2810.427,955.30165,
2807.516,960,
2804.605,972.46152,
2801.695,948.69737,
2798.784,934.25669,
2795.874,950.30081,
2792.963,938.57149,
2790.052,923.00365,
2787.142,938.67096,
2784.231,926.87112,
2781.321,924.12572,
2778.410,925.17005,
2775.500,924.76586,
2772.589,937.69418,
2769.678,967.39248,
2766.768,955.20192,
2763.857,954.68594,
2760.947,971.51576,
2758.036,971.45858,
2755.126,986.51496,
2752.215,995.64073,
2749.304,1007.4244,
2746.394,971.57662,
2743.483,987.59993,
2740.573,986.91808,
2737.662,993.71152,
2734.751,1012.2769,
2731.841,1002.1081,
2728.930,998.47028,
2726.020,1015.8981,
2723.109,1012.361,
2720.199,1019.8404,
2717.288,1042.7555,
