,PLF924~1,
Raman shift [1/cm],Intensity,
3014.167,4.625,
3011.256,-2.3250966,
3008.346,82.638919,
3005.435,87.31758,
3002.525,100.51258,
2999.614,96.199018,
2996.704,103.20953,
2993.793,96.739632,
2990.882,104.06012,
2987.972,115.65527,
2985.061,111.87129,
2982.151,125.16452,
2979.240,116.05655,
2976.329,135.39275,
2973.419,130.88662,
2970.508,133.17497,
2967.598,133.0993,
2964.687,135.5197,
2961.777,152.34298,
2958.866,144.94151,
2955.955,149.41263,
2953.045,155.99189,
2950.134,155.19934,
2947.224,156.19438,
2944.313,170.23184,
2941.403,177.53011,
2938.492,175.65754,
2935.581,188.51212,
2932.671,195.10136,
2929.760,180.90193,
2926.850,190.31147,
2923.939,184.02688,
2921.028,183.01917,
2918.118,205.28369,
2915.207,196.39084,
2912.297,199.61654,
2909.386,211.01187,
2906.476,199.98175,
2903.565,201.52871,
2900.654,196.68364,
2897.744,208.37356,
2894.833,194.81045,
2891.923,210.9231,
2889.012,194.70593,
2886.102,203.83311,
2883.191,182.64577,
2880.280,181.97907,
2877.370,185.625,
2874.459,187.32942,
2871.549,201.94093,
2868.638,214.44355,
2865.727,207.1019,
2862.817,201.5956,
2859.906,211.57372,
2856.996,203.58877,
2854.085,223.0683,
2851.175,207.45932,
2848.264,201.70817,
2845.353,216.19366,
2842.443,200.21873,
2839.532,211.0578,
2836.622,211.34961,
2833.711,199.1509,
2830.801,211.31544,
2827.890,207.37324,
2824.979,201.19298,
2822.069,236.53402,
2819.158,221.40397,
2816.248,205.14237,
2813.337,211.73841,
2810.427,207.84539,
2807.516,217.77594,
2804.605,218.39904,
2801.695,213.05921,
2798.784,203.36423,
2795.874,208.46931,
2792.963,214.19628,
2790.052,198.62757,
2787.142,218.26973,
2784.231,216.91537,
2781.321,222.24207,
2778.410,207.01966,
2775.500,214.625,
2772.589,233.35361,
2769.678,209.90823,
2766.768,230.36482,
2763.857,212.67895,
2760.947,227.14706,
2758.036,219.61219,
2755.126,217.9562,
2752.215,215.1158,
2749.304,221.58182,
2746.394,233.12103,
2743.483,220.32497,
2740.573,227.51217,
2737.662,208.85872,
2734.751,225.55691,
2731.841,228.16529,
2728.930,232.29871,
2726.020,230.73206,
2723.109,227.625,
2720.199,233.5469,
2717.288,247.02647,
2714.377,232.88794,
2711.467,235.46126,
2708.556,242.26289,
2705.646,238.0334,
2702.735,247.61468,
2699.825,251.80869,
2696.914,270.67273,
2694.003,250.625,
2691.093,243.03536,
2688.182,241.26204,
2685.272,240.10295,
2682.361,238.92522,
2679.450,247.73604,
2676.540,242.76727,
2673.629,252.27969,
2670.719,249.27472,
2667.808,245.57636,
2664.898,233.625,
2661.987,238.7251,
2659.076,242.625,
2656.166,244.625,
2653.255,249.43793,
2650.345,243.64859,
2647.434,261.625,
2644.524,256.99189,
2641.613,255.11086,
2638.702,257.625,
2635.792,258.18731,
2632.881,253.27392,
