,PLF9CE~1,
Raman shift [1/cm],Intensity,
3014.167,-1.375,
3011.256,0.42495705,
3008.346,126.69153,
3005.435,148.23984,
3002.525,155.92757,
2999.614,169.53537,
2996.704,156.89923,
2993.793,167.25346,
2990.882,169.14406,
2987.972,172.625,
2985.061,173.06835,
2982.151,203.56788,
2979.240,203.94154,
2976.329,200.86817,
2973.419,216.77904,
2970.508,225.89157,
2967.598,212.00733,
2964.687,222.96807,
2961.777,224.81302,
2958.866,242.28474,
2955.955,239.48342,
2953.045,249.89122,
2950.134,253.29557,
2947.224,241.42213,
2944.313,269.07443,
2941.403,264.41058,
2938.492,280.23206,
2935.581,287.46919,
2932.671,291.94257,
2929.760,278.02115,
2926.850,294.63214,
2923.939,290.10632,
2921.028,274.06606,
2918.118,311.00409,
2915.207,303.625,
2912.297,315.57422,
2909.386,311.21624,
2906.476,310.84971,
2903.565,300.88278,
2900.654,306.23673,
2897.744,328.15983,
2894.833,293.27445,
2891.923,315.08661,
2889.012,311.45737,
2886.102,309.79257,
2883.191,313.61839,
2880.280,291.81638,
2877.370,281.33429,
2874.459,280.43649,
2871.549,310.45398,
2868.638,323.12602,
2865.727,312.04806,
2862.817,309.88169,
2859.906,335.16916,
2856.996,328.63859,
2854.085,327.38551,
2851.175,321.41114,
2848.264,317.20334,
2845.353,327.64657,
2842.443,327.42709,
2839.532,337.26672,
2836.622,307.47331,
2833.711,309.25452,
2830.801,313.42353,
2827.890,321.22461,
2824.979,310.18092,
2822.069,331.47716,
2819.158,320.90533,
2816.248,308.18869,
2813.337,328.73841,
2810.427,321.49966,
2807.516,325.25078,
2804.605,327.99038,
2801.695,327.28291,
2798.784,331.625,
2795.874,331.77541,
2792.963,323.33926,
2790.052,308.628,
2787.142,327.71704,
2784.231,318.49612,
2781.321,349.30493,
2778.410,332.94479,
2775.500,329.96638,
2772.589,332.39411,
2769.678,334.33829,
2766.768,337.0017,
2763.857,333.57298,
2760.947,342.65022,
2758.036,329.68222,
2755.126,359.24466,
2752.215,349.1158,
2749.304,348.60341,
2746.394,332.80037,
2743.483,351.77497,
2740.573,342.54308,
2737.662,341.30547,
2734.751,341.13485,
2731.841,351.46383,
2728.930,364.82843,
2726.020,350.83912,
2723.109,345.51158,
2720.199,372.29393,
2717.288,360.85129,
2714.377,359.69188,
2711.467,353.59204,
2708.556,363.71005,
2705.646,361.39964,
2702.735,360.47295,
2699.825,376.58137,
2696.914,385.91092,
2694.003,377.212,
2691.093,365.8392,
2688.182,355.98796,
2685.272,378.02329,
2682.361,378.68395,
2679.450,372.625,
2676.540,395.34046,
2673.629,381.625,
2670.719,381.625,
2667.808,361.64635,
2664.898,383.02773,
2661.987,381.29178,
2659.076,369.9138,
2656.166,392.49517,
2653.255,391.76956,
2650.345,377.3201,
2647.434,410.79648,
2644.524,405.28924,
2641.613,396.36793,
2638.702,387.78281,
2635.792,396.6569,
2632.881,399.7082,
2629.971,398.64509,
2627.060,411.79281,
2624.149,403.54375,
2621.239,396.3587,
2618.328,408.75216,
2615.418,410.29773,
2612.507,410.72776,
2609.597,424.43139,
2606.686,422.53462,
2603.775,412.82739,
2600.865,423.68303,
2597.954,397.2958,
2595.044,415.25034,
2592.133,424.625,
2589.223,441.56502,
2586.312,430.82097,
2583.401,434.82937,
2580.491,434.80288,
2577.580,441.59034,
2574.670,425.60627,
2571.759,437.52397,
