,PL041B~1,
Raman shift [1/cm],Intensity,
3014.167,1,
3011.256,1.7500537,
3008.346,95.196509,
3005.435,104.38516,
3002.525,120.4726,
2999.614,111.09869,
2996.704,128.16906,
2993.793,126.77074,
2990.882,107.04582,
2987.972,123.02522,
2985.061,123.5665,
2982.151,112.71596,
2979.240,135.84885,
2976.329,147.25956,
2973.419,155.66136,
2970.508,164.23333,
2967.598,146.33815,
2964.687,161.06046,
2961.777,155.24794,
2958.866,164.33581,
2955.955,174.65927,
2953.045,162.30203,
2950.134,180.03208,
2947.224,188.60144,
2944.313,188.93234,
2941.403,198.17838,
2938.492,197,
2935.581,201.93005,
2932.671,194.15879,
2929.760,196.01924,
2926.850,193.52256,
2923.939,209,
2921.028,219.78834,
2918.118,200.24182,
2915.207,221.47476,
2912.297,219.02962,
2909.386,225.78103,
2906.476,226.86797,
2903.565,219.27482,
2900.654,204.10618,
2897.744,220.81142,
2894.833,212.59782,
2891.923,206.59289,
2889.012,218.50289,
2886.102,216.24864,
2883.191,221.99906,
2880.280,211.69855,
2877.370,211.54644,
2874.459,204.11947,
2871.549,214.14491,
2868.638,222.13608,
2865.727,233.60386,
2862.817,231.18583,
2859.906,236.68376,
2856.996,234.53397,
2854.085,215.5567,
2851.175,226.62046,
2848.264,235.9265,
2845.353,235.30194,
2842.443,244.60766,
2839.532,226.35828,
2836.622,224.06185,
2833.711,228.42229,
2830.801,229.69779,
2827.890,239.47726,
2824.979,230.642,
2822.069,226.2047,
2819.158,249.32076,
2816.248,249.78184,
2813.337,239.90731,
2810.427,247.47796,
2807.516,238.74109,
2804.605,257.8269,
2801.695,227.69737,
2798.784,244.74331,
2795.874,242,
2792.963,242,
2790.052,249.99828,
2787.142,241.19742,
2784.231,249.12888,
2781.321,243.6286,
2778.410,251.75508,
2775.500,249.23414,
2772.589,265.99848,
2769.678,240.21503,
2766.768,245.11652,
2763.857,262.47399,
2760.947,253.93065,
2758.036,252.31853,
2755.126,261.58333,
2752.215,243.29562,
2749.304,269.82912,
2746.394,262.97787,
2743.483,252.94998,
2740.573,270.30758,
2737.662,264.88314,
2734.751,255.9758,
2731.841,241.2967,
2728.930,271.95773,
2726.020,273.57176,
2723.109,267.38175,
2720.199,260.74363,
2717.288,264.94889,
2714.377,265.32066,
2711.467,280.03296,
