,PL2F1D~1,
Raman shift [1/cm],Intensity,
3014.167,0,
3011.256,-2.0499034,
3008.346,144.93654,
3005.435,176.4629,
3002.525,199.64262,
2999.614,186.36757,
2996.704,224.99175,
2993.793,198.25691,
2990.882,202.603,
2987.972,223.04036,
2985.061,236.3202,
2982.151,230.67058,
2979.240,245.68346,
2976.329,247.2541,
2973.419,277,
2970.508,267.13339,
2967.598,285.33454,
2964.687,284.83628,
2961.777,289.68389,
2958.866,294.65231,
2955.955,304.89382,
2953.045,307.55034,
2950.134,313.03208,
2947.224,315.71172,
2944.313,337.75285,
2941.403,350.64325,
2938.492,342.17075,
2935.581,355.70429,
2932.671,348.40346,
2929.760,357.98076,
2926.850,351.94774,
2923.939,368.28038,
2921.028,371.62358,
2918.118,388.78212,
2915.207,404.82277,
2912.297,402.00846,
2909.386,389.58395,
2906.476,394.2865,
2903.565,394.54964,
2900.654,384.39938,
2897.744,399.76113,
2894.833,387.18545,
2891.923,371.67299,
2889.012,386.24856,
2886.102,395.22837,
2883.191,389.0085,
2880.280,386.69855,
2877.370,359.86047,
2874.459,388.23894,
2871.549,390.18434,
2868.638,397.04536,
2865.727,413.63078,
2862.817,423.38635,
2859.906,427.74644,
2856.996,416.00906,
2854.085,405.19746,
2851.175,410.76501,
2848.264,428.9265,
2845.353,431.04313,
2842.443,432.6007,
2839.532,420.35828,
2836.622,401.18554,
2833.711,419.5259,
2830.801,426.29485,
2827.890,425.74824,
2824.979,421.49397,
2822.069,427.18195,
2819.158,445.66038,
2816.248,446.26447,
2813.337,431.94877,
2810.427,445.44078,
2807.516,449.30922,
2804.605,450.81731,
2801.695,449.47367,
2798.784,431.18277,
2795.874,438.27968,
2792.963,442.71426,
2790.052,451.99786,
2787.142,441.57892,
2784.231,442.54813,
2781.321,434.00576,
2778.410,442.77539,
2775.500,445.48793,
2772.589,450.30734,
2769.678,440.35838,
2766.768,447.17477,
2763.857,466,
2760.947,455.43381,
2758.036,467.87275,
2755.126,464.14103,
2752.215,473.2546,
2749.304,468.27699,
2746.394,453.69353,
2743.483,460.55,
2740.573,484.06647,
2737.662,467.89349,
2734.751,474.34946,
2731.841,469.86447,
2728.930,487.50858,
2726.020,483.12269,
2723.109,476.0415,
2720.199,482.17487,
2717.288,487.94889,
2714.377,482.22492,
2711.467,495.8033,
2708.556,495,
2705.646,511.05638,
2702.735,509.14689,
2699.825,495.38002,
2696.914,506.66683,
2694.003,513.97236,
2691.093,519.50059,
2688.182,522.78074,
2685.272,492.03556,
2682.361,510.30568,
2679.450,495.22643,
2676.540,514.97968,
2673.629,517.31837,
2670.719,522.71534,
2667.808,510.58363,
2664.898,517.77918,
2661.987,541.53375,
2659.076,526.57761,
2656.166,550.17749,
2653.255,541.85544,
2650.345,547.68058,
2647.434,540.85739,
2644.524,554.63311,
2641.613,563.37146,
2638.702,555.14203,
2635.792,562.75074,
2632.881,554.11314,
2629.971,547.63756,
2627.060,574.67062,
2624.149,554.48436,
2621.239,564.24259,
2618.328,569.44897,
2615.418,556.33636,
2612.507,552.5178,
2609.597,560.08184,
2606.686,577.14258,
2603.775,586.48016,
2600.865,593.11606,
2597.954,570.34159,
2595.044,605.92029,
2592.133,606.87881,
2589.223,606.69896,
