,PL4BF0~1,
Raman shift [1/cm],Intensity,
3014.167,-1.125,
3011.256,0.82509663,
3008.346,317.72874,
3005.435,390.99161,
3002.525,409.55509,
2999.614,416.19323,
2996.704,442.875,
2993.793,434.36118,
2990.882,445.43988,
2987.972,471.80942,
2985.061,465.0819,
2982.151,471.11365,
2979.240,510.875,
2976.329,511.62637,
2973.419,556.32121,
2970.508,561.89162,
2967.598,566.9742,
2964.687,587.44226,
2961.777,585.875,
2958.866,596.86906,
2955.955,617.77543,
2953.045,619.29561,
2950.134,652.11991,
2947.224,650.75753,
2944.313,686.26816,
2941.403,696.35128,
2938.492,722.31132,
2935.581,737.14369,
2932.671,709.59604,
2929.760,724.49809,
2926.850,730.97951,
2923.939,755.62728,
2921.028,748.73937,
2918.118,772.875,
2915.207,795.83098,
2912.297,778.01886,
2909.386,806.10857,
2906.476,819.06882,
2903.565,805.14982,
2900.654,800.99228,
2897.744,813.43497,
2894.833,782.17391,
2891.923,775.5224,
2889.012,785.5802,
2886.102,802.51959,
2883.191,792.88822,
2880.280,795.59748,
2877.370,774.88666,
2874.459,779.52899,
2871.549,787.63845,
2868.638,806.82964,
2865.727,843.6942,
2862.817,851.96056,
2859.906,814.74963,
2856.996,837.9067,
2854.085,837.91703,
2851.175,830.64001,
2848.264,846.875,
2845.353,847.0044,
2842.443,840.09728,
2839.532,815.4422,
2836.622,839.89714,
2833.711,820.85933,
2830.801,815.49411,
2827.890,831.92049,
2824.979,854.08498,
2822.069,892.49972,
2819.158,867.09603,
2816.248,875.13947,
2813.337,886.40062,
2810.427,874.875,
2807.516,864.77438,
2804.605,873.99278,
2801.695,863.40133,
2798.784,870.57931,
2795.874,877.46606,
2792.963,850.51766,
2790.052,878.86792,
2787.142,870.90123,
2784.231,887.42155,
2781.321,882.06358,
2778.410,878.23542,
2775.500,862.74811,
2772.589,886.06538,
2769.678,870.33569,
2766.768,881.00509,
2763.857,903.45303,
2760.947,901.40967,
2758.036,927.20633,
2755.126,916.2062,
2752.215,917.08858,
2749.304,930.32102,
2746.394,908.72176,
2743.483,919.57497,
2740.573,933.85955,
2737.662,917.58652,
2734.751,933.36065,
2731.841,929.01053,
2728.930,937.18015,
2726.020,944.55903,
2723.109,941.02992,
2720.199,948.10929,
2717.288,964.76916,
2714.377,963.65008,
2711.467,960.80907,
2708.556,977.39626,
2705.646,997.31167,
2702.735,992.68168,
2699.825,972.74411,
2696.914,1004.7805,
2694.003,975.5823,
2691.093,1019.3925,
2688.182,997.41944,
2685.272,978.19363,
2682.361,990.1512,
2679.450,1004.9984,
2676.540,996.93597,
2673.629,1002.8615,
2670.719,1001.167,
2667.808,1016.8537,
2664.898,1020.6153,
2661.987,1027.2418,
2659.076,1035.4935,
2656.166,1058.3253,
2653.255,1042.8376,
2650.345,1047.0111,
2647.434,1065.1322,
2644.524,1067.875,
2641.613,1079.5324,
2638.702,1077.0012,
2635.792,1074.1532,
2632.881,1082.286,
2629.971,1067.385,
2627.060,1084.875,
2624.149,1088.55,
2621.239,1088.3661,
2618.328,1102.9425,
