,PL7E40~1,
Raman shift [1/cm],Intensity,
3014.167,-2.625,
3011.256,1.2250752,
3008.346,88.177312,
3005.435,112.95097,
3002.525,116.30006,
2999.614,123.22696,
2996.704,137.82654,
2993.793,138.50806,
2990.882,130.68035,
2987.972,130.45067,
2985.061,139.61145,
2982.151,144.70442,
2979.240,156.25999,
2976.329,159.39684,
2973.419,161.80529,
2970.508,177.05836,
2967.598,169.94849,
2964.687,172.77853,
2961.777,186.9308,
2958.866,177.70784,
2955.955,204.17585,
2953.045,187.59426,
2950.134,207.58783,
2947.224,208.54581,
2944.313,218.41987,
2941.403,207.73175,
2938.492,203.13112,
2935.581,224.48788,
2932.671,226.21621,
2929.760,232.375,
2926.850,220.05432,
2923.939,233.81425,
2921.028,226.35725,
2918.118,241.1949,
2915.207,246.26115,
2912.297,228.46809,
2909.386,252.17792,
2906.476,246.11939,
2903.565,255.55353,
2900.654,233.0929,
2897.744,237.375,
2894.833,241.911,
2891.923,246.7532,
2889.012,248.12644,
2886.102,248.20743,
2883.191,230.39482,
2880.280,245.17404,
2877.370,223.09595,
2874.459,226.66437,
2871.549,241.33558,
2868.638,254.87602,
2865.727,250.24041,
2862.817,257.13301,
2859.906,250.0844,
2856.996,267.35689,
2854.085,255.53043,
2851.175,267.7816,
2848.264,258.75217,
2845.353,273.4397,
2842.443,267.98962,
2839.532,256.15111,
2836.622,257.22331,
2833.711,253.74548,
2830.801,256.77059,
2827.890,275.00088,
2824.979,271.67105,
2822.069,273.43186,
2819.158,272.67419,
2816.248,272.34026,
2813.337,270.30304,
2810.427,284.41908,
2807.516,269.9075,
2804.605,270.39664,
2801.695,266.45393,
2798.784,266.85754,
2795.874,255.65468,
2792.963,267.16085,
2790.052,265.37607,
2787.142,264.92769,
2784.231,258.60172,
2781.321,254.44362,
2778.410,272.44987,
2775.500,268.48224,
2772.589,291.9507,
2769.678,272.44668,
2766.768,272.9983,
2763.857,277.00699,
2760.947,276.34978,
2758.036,270.68072,
2755.126,288.32586,
2752.215,283.33398,
2749.304,289.33182,
2746.394,276.08272,
2743.483,273.42493,
2740.573,279.39045,
2737.662,292.59837,
2734.751,282.76836,
2731.841,279.72665,
2728.930,286.20987,
2726.020,284.50289,
2723.109,291.16892,
2720.199,293.74682,
2717.288,299.11222,
2714.377,293.76254,
2711.467,305.93215,
2708.556,311.68363,
2705.646,310.75529,
2702.735,294.71521,
2699.825,300.88591,
2696.914,306.04183,
2694.003,298.53109,
2691.093,309.9466,
2688.182,303.68315,
2685.272,303.375,
2682.361,309.28657,
2679.450,310.58902,
2676.540,303.49694,
2673.629,312.69337,
2670.719,317.44801,
2667.808,317.32636,
2664.898,295.93336,
2661.987,314.54194,
2659.076,293.07976,
2656.166,324.6174,
2653.255,319.30527,
2650.345,316.78335,
2647.434,331.28926,
2644.524,335.39421,
2641.613,331.71755,
2638.702,322.43812,
2635.792,324.3112,
2632.881,339.57134,
2629.971,348.60993,
2627.060,338.54281,
2624.149,333.50937,
2621.239,338.375,
2618.328,325.96842,
2615.418,340.37046,
2612.507,342.99555,
2609.597,336.10953,
2606.686,327.12802,
2603.775,343.97818,
2600.865,359.72655,
2597.954,343.0458,
2595.044,357.03576,
2592.133,353.48323,
2589.223,342.35078,
2586.312,369.12881,
2583.401,347.53921,
2580.491,357.07207,
2577.580,359.38325,
2574.670,366.31216,
2571.759,369.72346,
2568.848,374.13746,
2565.938,350.80347,
2563.027,358.8864,
2560.117,372.25355,
2557.206,388.99124,
2554.296,370.91962,
2551.385,375.74697,
2548.474,388.56051,
2545.564,363.41963,
2542.653,370.01593,
2539.743,379.57216,
2536.832,383.76379,
2533.922,372.64308,
2531.011,386.35026,
2528.100,379.97431,
2525.190,382.95615,
2522.279,384.18741,
2519.369,383.69555,
2516.458,385.81551,
2513.548,383.80224,
2510.637,390.42021,
2507.726,400.12963,
2504.816,381.87443,
2501.905,395.41829,
2498.995,374.50966,
2496.084,388.38891,
2493.173,398.16507,
2490.263,403.8021,
2487.352,402.29153,
2484.442,400.6598,
2481.531,403.48136,
2478.621,404.60722,
2475.710,407.42101,
2472.799,415.10144,
2469.889,411.64922,
2466.978,397.3235,
2464.068,427.93596,
2461.157,413.45005,
2458.247,401.9632,
2455.336,421.7762,
2452.425,427.24292,
2449.515,418.09226,
2446.604,428.96487,
2443.694,424.63075,
2440.783,410.42004,
2437.872,432.33854,
2434.962,432.16302,
2432.051,434.86266,
2429.141,436.79851,
2426.230,457.00599,
2423.320,451.64665,
2420.409,445.02239,
2417.498,451.76826,
2414.588,452.55751,
2411.677,475.47854,
2408.767,453.65157,
2405.856,454.74646,
2402.946,452.48224,
2400.035,453.47594,
2397.124,459.83488,
2394.214,475.2678,
2391.303,463.54641,
2388.393,462.05178,
2385.482,450.16811,
2382.571,474.21047,
2379.661,459.97989,
2376.750,465.73689,
2373.840,472.25631,
2370.929,494.09343,
2368.019,486.91686,
2365.108,483.09751,
2362.197,472.1531,
2359.287,490.54325,
2356.376,474.41022,
2353.466,485.17809,
2350.555,484.375,
2347.645,480.82269,
2344.734,475.22292,
2341.823,491.09309,
2338.913,503.59887,
2336.002,495.375,
2333.092,505.51275,
2330.181,523.18316,
2327.270,526.375,
2324.360,527.03068,
2321.449,515.78996,
2318.539,507.31077,
2315.628,514.83663,
2312.718,503.47631,
2309.807,517.71657,
2306.896,517.08391,
2303.986,513.992,
2301.075,526.67289,
2298.165,517.99027,
2295.254,528.11648,
2292.344,515.10941,
2289.433,521.35182,
2286.522,537.9641,
2283.612,538.67344,
2280.701,537.16422,
2277.791,533.73567,
2274.880,539.37906,
2271.969,540.75361,
2269.059,557.58208,
2266.148,533.48852,
2263.238,537.96959,
2260.327,572.0991,
2257.417,561.02112,
2254.506,543.03884,
2251.595,545.66594,
2248.685,559.05186,
2245.774,569.88042,
2242.864,564.18049,
2239.953,561.83016,
2237.043,563.76464,
2234.132,578.14117,
2231.221,583.69022,
2228.311,590.94329,
2225.400,561.27565,
2222.490,591.26097,
2219.579,587.40071,
2216.669,596.83923,
2213.758,607.63644,
2210.847,619.04753,
2207.937,601.23008,
2205.026,621.37588,
2202.116,602.61915,
2199.205,619.84982,
2196.294,628.99498,
2193.384,633.375,
2190.473,657.39848,
2187.563,648.433,
2184.652,661.88112,
2181.742,676.87581,
2178.831,692.375,
2175.920,718.02164,
2173.010,769.72761,
2170.099,785.84127,
2167.189,828.65485,
2164.278,871.77701,
2161.368,909.65923,
2158.457,956.47283,
2155.546,1012.0097,
2152.636,1092.7259,
2149.725,1135.5159,
2146.815,1153.8745,
2143.904,1195.3787,
2140.993,1208.0998,
2138.083,1221.834,
2135.172,1220.9044,
2132.262,1228.6408,
2129.351,1230.0888,
2126.441,1162.1127,
2123.530,1149.6567,
2120.619,1078.8065,
2117.709,1020.0364,
2114.798,974.00176,
2111.888,924.21369,
2108.977,871.03723,
2106.067,819.73125,
2103.156,796.05731,
2100.245,780.35053,
2097.335,736.91951,
2094.424,708.68329,
2091.514,712.72169,
2088.603,700.12152,
2085.692,681.73202,
2082.782,666.78865,
2079.871,669.01794,
2076.961,684.34175,
2074.050,680.69621,
2071.140,666.57047,
2068.229,661.01433,
2065.318,668.47476,
2062.408,682.92795,
2059.497,673.96428,
2056.587,656.18918,
2053.676,665.89072,
2050.766,668.45198,
2047.855,624.4572,
2044.944,661.90705,
2042.034,658.97607,
2039.123,632.25379,
2036.213,625.68169,
2033.302,641.61399,
2030.391,646.7988,
2027.481,649.09448,
2024.570,629.30413,
2021.660,637.60632,
2018.749,638.33701,
2015.839,636.70243,
2012.928,632.375,
2010.017,640.81583,
2007.107,645.39554,
2004.196,650.9227,
2001.286,646.18424,
1998.375,616.54527,
1995.465,639.69285,
1992.554,644.74561,
1989.643,610.58473,
1986.733,618.05395,
1983.822,614.49095,
1980.912,623.95888,
1978.001,620.84069,
1975.090,631.00705,
1972.180,615.47873,
1969.269,615.77156,
1966.359,637.18605,
1963.448,609.3882,
1960.538,621.34331,
1957.627,595.2759,
1954.716,594.28882,
1951.806,609.88466,
1948.895,584.81827,
1945.985,605.51552,
1943.074,591.00974,
1940.164,583.79811,
1937.253,579.05776,
1934.342,571.89639,
1931.432,562.82926,
