,PL84A9~1,
Raman shift [1/cm],Intensity,
3014.167,-2,
3011.256,0.40008589,
3008.346,109.27813,
3005.435,129.27209,
3002.525,147.75503,
2999.614,150.86103,
2996.704,158.99175,
2993.793,162.77074,
2990.882,153.77859,
2987.972,145.14126,
2985.061,168.5665,
2982.151,165.64202,
2979.240,181,
2976.329,180.24863,
2973.419,204.55379,
2970.508,197.13339,
2967.598,198.66546,
2964.687,200.11889,
2961.777,204.47004,
2958.866,215.66122,
2955.955,215.41151,
2953.045,221.11858,
2950.134,226.51019,
2947.224,234.05694,
2944.313,244.9886,
2941.403,246.44024,
2938.492,249.28726,
2935.581,263.38157,
2932.671,258.27896,
2929.760,260.48463,
2926.850,265.10451,
2923.939,268.67755,
2921.028,263.89987,
2918.118,272.16121,
2915.207,292.00645,
2912.297,278.08886,
2909.386,284.57665,
2906.476,279.03089,
2903.565,293.38816,
2900.654,268.65926,
2897.744,277.02514,
2894.833,279.82473,
2891.923,269.6474,
2889.012,283.87861,
2886.102,277.43648,
2883.191,279.00189,
2880.280,278.97607,
2877.370,264.21512,
2874.459,277.59116,
2871.549,274.39478,
2868.638,288.45566,
2865.727,289.31539,
2862.817,306.94383,
2859.906,296.82336,
2856.996,305.02717,
2854.085,295.47899,
2851.175,307.35841,
2848.264,313.35783,
2845.353,317.82746,
2842.443,304.01044,
2839.532,298.10446,
2836.622,302,
2833.711,302,
2830.801,302,
2827.890,300.21333,
2824.979,317.29605,
2822.069,317.04549,
2819.158,325.94071,
2816.248,322.79342,
2813.337,325.56707,
2810.427,328.08816,
2807.516,329.36687,
2804.605,309.95673,
2801.695,309.92107,
2798.784,318.77823,
2795.874,299.69919,
2792.963,319.14298,
2790.052,324.99936,
2787.142,311.10539,
2784.231,319.03261,
2781.321,299.76009,
2778.410,324.3401,
2775.500,325.06345,
2772.589,335.30734,
2769.678,331.39248,
2766.768,330.56505,
2763.857,341.10404,
2760.947,319.93065,
2758.036,337.80272,
2755.126,339.95726,
2752.215,330.72277,
2749.304,361.04134,
2746.394,335.36493,
2743.483,337.39998,
2740.573,351.64606,
2737.662,346.23372,
2734.751,342.27687,
2731.841,332.10806,
2728.930,345.73315,
2726.020,346.01563,
2723.109,357.11342,
2720.199,353.09677,
2717.288,356.03649,
2714.377,347.74164,
2711.467,352.55715,
2708.556,363,
2705.646,370.60565,
2702.735,355.32474,
2699.825,346.51091,
2696.914,377.57231,
2694.003,362.28455,
2691.093,375.01805,
2688.182,367.78074,
2685.272,366.96444,
2682.361,363.2762,
2679.450,368.92184,
2676.540,365.12194,
2673.629,369.34082,
2670.719,376.27727,
2667.808,361.06998,
2664.898,376.33755,
2661.987,401.70037,
2659.076,377.59485,
2656.166,389.70994,
2653.255,385.78061,
2650.345,384.27223,
2647.434,389.34296,
2644.524,399.56358,
2641.613,396.97109,
2638.702,401.82641,
2635.792,410.24926,
2632.881,415.42263,
2629.971,402.78516,
2627.060,389.3325,
