,PLAAA0~1,
Raman shift [1/cm],Intensity,
3014.167,-1,
3011.256,3.4000859,
3008.346,78.114886,
3005.435,114.61484,
3002.525,114.37752,
2999.614,116.95065,
2996.704,136.35463,
2993.793,124.01843,
2990.882,120.73277,
2987.972,111.1463,
2985.061,136.00985,
2982.151,141.56808,
2979.240,142.87075,
2976.329,137.53003,
2973.419,159,
2970.508,166.39996,
2967.598,170.90442,
2964.687,157.53804,
2961.777,163.11984,
2958.866,176.33135,
2955.955,187.34733,
2953.045,177.85237,
2950.134,190.14868,
2947.224,192.42703,
2944.313,207,
2941.403,210.47628,
2938.492,205.02169,
2935.581,215.70429,
2932.671,206.84121,
2929.760,206.04999,
2926.850,214.21616,
2923.939,228.87849,
2921.028,247.10013,
2918.118,225.62091,
2915.207,227.11385,
2912.297,225.98731,
2909.386,241.58395,
2906.476,223.7135,
2903.565,253.48445,
2900.654,230.54198,
2897.744,244.68569,
2894.833,229.48436,
2891.923,221.10569,
2889.012,234.54335,
2886.102,229.60405,
2883.191,240.98962,
2880.280,237.72248,
2877.370,230.35464,
2874.459,228.06284,
2871.549,242.19766,
2868.638,233.27013,
2865.727,247.28847,
2862.817,257.11496,
2859.906,248.74644,
2856.996,254.92754,
2854.085,247.23315,
2851.175,253.97887,
2848.264,269.28433,
2845.353,257.36664,
2842.443,258.82646,
2839.532,235.22389,
2836.622,229.60677,
2833.711,237.20723,
2830.801,242.79853,
2827.890,261.56118,
2824.979,263.34594,
2822.069,245.03412,
2819.158,253.32076,
2816.248,270.21816,
2813.337,254.62925,
2810.427,279.17631,
2807.516,263.21594,
2804.605,258.59135,
2801.695,250.7763,
2798.784,251.55646,
2795.874,257.56992,
2792.963,258.35713,
2790.052,270.99721,
2787.142,265.22365,
2784.231,267.67701,
2781.321,269.44002,
2778.410,269.77539,
2775.500,261,
2772.589,270.42278,
2769.678,263.21503,
2766.768,265.68156,
2763.857,261.21195,
2760.947,256.89913,
2758.036,275.73269,
2755.126,270.04914,
2752.215,273.44555,
2749.304,276.5108,
2746.394,281.51816,
2743.483,273.80001,
2740.573,269.33848,
2737.662,270.43639,
2734.751,277.28137,
2731.841,276.2967,
2728.930,288.75429,
2726.020,286.00521,
2723.109,311.278,
2720.199,274.68421,
2717.288,288.12408,
2714.377,299.02886,
