,PLC6F4~1,
Raman shift [1/cm],Intensity,
3014.167,-3,
3011.256,1.7500537,
3008.346,110.48007,
3005.435,149.19435,
3002.525,161.37752,
2999.614,158.6143,
2996.704,177.22165,
2993.793,170.37154,
2990.882,165.09165,
2987.972,176.11099,
2985.061,188.24629,
2982.151,189.2101,
2979.240,208.46769,
2976.329,199.99454,
2973.419,223.84596,
2970.508,235.08332,
2967.598,210.04779,
2964.687,219.59647,
2961.777,234.43595,
2958.866,237.32838,
2955.955,244.75885,
2953.045,244.95304,
2950.134,263.36151,
2947.224,252.68325,
2944.313,280.04487,
2941.403,274.57117,
2938.492,270.13821,
2935.581,279.97298,
2932.671,281.91844,
2929.760,285.76156,
2926.850,277.04511,
2923.939,296.87849,
2921.028,298.91762,
2918.118,305.9005,
2915.207,323.53814,
2912.297,303.12694,
2909.386,319.80292,
2906.476,324.22471,
2903.565,310.62889,
2900.654,305.04754,
2897.744,334.55997,
2894.833,302.06182,
2891.923,297.7019,
2889.012,318.04624,
2886.102,309.04053,
2883.191,311.00189,
2880.280,302.48324,
2877.370,290.20346,
2874.459,298.65399,
2871.549,306.19766,
2868.638,323.04536,
2865.727,317.28847,
2862.817,338.77271,
2859.906,321.02564,
2856.996,329,
2854.085,314.91594,
2851.175,332.14455,
2848.264,342.28433,
2845.353,341.08627,
2842.443,339.40975,
2839.532,338.76115,
2836.622,322.75846,
2833.711,322.26687,
2830.801,338.68309,
2827.890,333.16784,
2824.979,346.70395,
2822.069,323.34116,
2819.158,350.71967,
2816.248,352.22974,
2813.337,351.56707,
2810.427,362.21349,
2807.516,341.22328,
2804.605,360.38702,
2801.695,353.47367,
2798.784,341.66531,
2795.874,358.3061,
2792.963,344.14298,
2790.052,349.99936,
2787.142,335.42108,
2784.231,339.41925,
2781.321,348.11996,
2778.410,337.07487,
2775.500,340.76586,
2772.589,361.69114,
2769.678,340.75087,
2766.768,352.42138,
2763.857,346.52794,
2760.947,349.43381,
2758.036,355.94278,
2755.126,351.57051,
2752.215,356.65912,
2749.304,377.31832,
2746.394,353.29228,
2743.483,374.64999,
2740.573,369.7898,
2737.662,356.56361,
2734.751,360.88351,
2731.841,372.48718,
2728.930,369.6103,
2726.020,360.45428,
2723.109,383.07191,
2720.199,366.72496,
2717.288,365.93065,
2714.377,375.67476,
2711.467,394.59011,
2708.556,396.47874,
2705.646,396,
2702.735,389.32474,
2699.825,377.57635,
2696.914,394.23866,
2694.003,391.89918,
2691.093,400.6787,
2688.182,377.27037,
2685.272,401.0441,
2682.361,389.21179,
2679.450,400.03288,
2676.540,399.71546,
2673.629,392.63673,
2670.719,394.43807,
2667.808,408.93002,
2664.898,394.18191,
2661.987,403.73362,
2659.076,404.52587,
2656.166,424.69269,
2653.255,407.74319,
2650.345,395.5118,
2647.434,415.39983,
2644.524,415.56358,
2641.613,422.57134,
2638.702,408.20515,
2635.792,418.43769,
2632.881,419.30948,
2629.971,427.97991,
2627.060,420.66563,
2624.149,436.80936,
2621.239,440.73962,
2618.328,424.12716,
2615.418,428.65909,
2612.507,422.07118,
2609.597,430.53094,
2606.686,428.64862,
2603.775,444.31746,
2600.865,456.6417,
2597.954,434.71871,
2595.044,453.29495,
2592.133,449.77058,
2589.223,447.34948,
2586.312,468.80403,
2583.401,456.71531,
