,PLCF6D~1,
Raman shift [1/cm],Intensity,
3014.167,-1.125,
3011.256,-1.0249785,
3008.346,222.6332,
3005.435,262.76193,
3002.525,277.83753,
2999.614,273.25164,
2996.704,305.40695,
2993.793,310.0265,
2990.882,309.64589,
2987.972,303.98599,
2985.061,320.11145,
2982.151,336.65317,
2979.240,357.70961,
2976.329,358.38865,
2973.419,358.78206,
2970.508,378.70837,
2967.598,387.68745,
2964.687,401.96467,
2961.777,420.71282,
2958.866,413.19299,
2955.955,425.52767,
2953.045,434.91081,
2950.134,460.7584,
2947.224,463.44438,
2944.313,487.81873,
2941.403,490.39872,
2938.492,485.89669,
2935.581,502.21364,
2932.671,504.27413,
2929.760,497.20192,
2926.850,516.67312,
2923.939,523.47312,
2921.028,521.39844,
2918.118,539.35863,
2915.207,577.11561,
2912.297,539.06118,
2909.386,562.23997,
2906.476,555.13061,
2903.565,558.06759,
2900.654,554.2997,
2897.744,556.73671,
2894.833,548.76154,
2891.923,526.92619,
2889.012,541.07731,
2886.102,557.85473,
2883.191,540.88916,
2880.280,548.04245,
2877.370,530.64822,
2874.459,546.64226,
2871.549,559.54628,
2868.638,549.0544,
2865.727,576.52506,
2862.817,576.37632,
2859.906,590.21688,
2856.996,596.35915,
2854.085,589.31196,
2851.175,572.32978,
2848.264,590.01233,
2845.353,583.34947,
2842.443,591.29867,
2839.532,580.18838,
2836.622,580.78516,
2833.711,575.88284,
2830.801,575.86765,
2827.890,589.39774,
2824.979,599.517,
2822.069,594.93186,
2819.158,609.75641,
2816.248,613.17421,
2813.337,610.4628,
2810.427,625.26481,
2807.516,616.93266,
2804.605,633.7019,
2801.695,606.40133,
2798.784,621.914,
2795.874,606.01484,
2792.963,596.66042,
2790.052,628.86664,
2787.142,599.96704,
2784.231,611.32529,
2781.321,590.31502,
2778.410,600.60976,
2775.500,612.76776,
2772.589,612.56766,
2769.678,618.33916,
2766.768,624.55656,
2763.857,621.24494,
2760.947,635.88761,
2758.036,642.11069,
2755.126,641.16346,
2752.215,644.51149,
2749.304,646.02429,
2746.394,648.42949,
2743.483,645.62494,
2740.573,655.98783,
2737.662,650.34245,
2734.751,652.47714,
2731.841,655.25413,
2728.930,639.85386,
2726.020,652.3397,
2723.109,667.875,
2720.199,661.38434,
2717.288,670.13778,
2714.377,658.07106,
2711.467,683.6783,
2708.556,688.08763,
2705.646,681.88906,
2702.735,672.72295,
2699.825,691.27684,
2696.914,708.82774,
2694.003,692.21483,
2691.093,715.32145,
2688.182,696.0187,
2685.272,701.47671,
2682.361,700.42194,
2679.450,694.54994,
2676.540,714.50917,
2673.629,701.52071,
2670.719,710.23267,
2667.808,717.48592,
2664.898,727.75827,
2661.987,717.17497,
2659.076,707.14656,
2656.166,719.1174,
2653.255,739.31378,
2650.345,736.0583,
2647.434,742.53204,
2644.524,748.14123,
2641.613,761.50354,
2638.702,777.60672,
2635.792,755.68657,
2632.881,763.45237,
2629.971,759.51256,
2627.060,766.04156,
2624.149,763.20001,
2621.239,763.38389,
2618.328,746.31617,
2615.418,779.53864,
