,PLD376~1,
Raman shift [1/cm],Intensity,
3014.167,2.625,
3011.256,-0.52492484,
3008.346,56.75923,
3005.435,63.23984,
3002.525,71.720078,
2999.614,69.100327,
2996.704,75.395101,
2993.793,73.00576,
2990.882,70.88453,
2987.972,77.660315,
2985.061,78.861446,
2982.151,71.625,
2979.240,87.092687,
2976.329,92.144111,
2973.419,102.70202,
2970.508,96.158347,
2967.598,102.48163,
2964.687,95.326767,
2961.777,94.248968,
2958.866,106.62945,
2955.955,112.00773,
2953.045,102.86217,
2950.134,112.43254,
2947.224,112.90969,
2944.313,126.22044,
2941.403,126.27965,
2938.492,130.4651,
2935.581,127.55505,
2932.671,130.50483,
2929.760,126.95192,
2926.850,135.99793,
2923.939,134.50349,
2921.028,140.3956,
2918.118,150.54439,
2915.207,147.97946,
2912.297,130.70539,
2909.386,150.01916,
2906.476,137.95086,
2903.565,155.01316,
2900.654,136.40154,
2897.744,155.47413,
2894.833,142.80027,
2891.923,128.65059,
2889.012,144.87356,
2886.102,144.79257,
2883.191,134.63161,
2880.280,130.7159,
2877.370,122.53774,
2874.459,140.57457,
2871.549,135.76991,
2868.638,128.48687,
2865.727,152.28269,
2862.817,161.09692,
2859.906,153.01815,
2856.996,157.6884,
2854.085,148.02627,
2851.175,148.12796,
2848.264,157.8455,
2845.353,159.58187,
2842.443,151.23614,
2839.532,138.52054,
2836.622,154.95638,
2833.711,144.57319,
2830.801,141.82647,
2827.890,165.45716,
2824.979,162.83498,
2822.069,155.625,
2819.158,159.42554,
2816.248,161.88947,
2813.337,157.32621,
2810.427,165.36743,
2807.516,149.52438,
2804.605,152.99038,
2801.695,148.32237,
2798.784,146.84677,
2795.874,165.49573,
2792.963,157.76798,
2790.052,175.62178,
2787.142,165.625,
2784.231,163.49612,
2781.321,153.5679,
2778.410,158.91055,
2775.500,157.34706,
2772.589,164.04778,
2769.678,160.08916,
2766.768,167.92986,
2763.857,171.41498,
2760.947,166.56826,
2758.036,175.41492,
2755.126,164.72329,
2752.215,152.90223,
2749.304,165.32642,
2746.394,178.08471,
2743.483,169.175,
2740.573,180.27106,
2737.662,167.18861,
2734.751,172.06676,
2731.841,160.9217,
2728.930,176.01073,
2726.020,172.19676,
2723.109,180.19208,
2720.199,175.72177,
2717.288,180.29287,
2714.377,182.94566,
2711.467,182.01841,
2708.556,182.58247,
2705.646,184.16022,
2702.735,174.79253,
2699.825,179.53774,
2696.914,194.1491,
2694.003,170.65264,
2691.093,188.33979,
2688.182,178.71389,
2685.272,175.34193,
2682.361,187.17194,
2679.450,182.71557,
2676.540,184.72662,
2673.629,187.30214,
2670.719,190.97528,
2667.808,195.625,
2664.898,179.14445,
2661.987,187.99181,
2659.076,198.86207,
2656.166,192.49517,
2653.255,183.58759,
2650.345,184.625,
2647.434,196.625,
2644.524,201.64421,
2641.613,202.76768,
2638.702,197.65656,
2635.792,193.71773,
2632.881,203.93448,
2629.971,205.625,
2627.060,204.95875,
2624.149,208.51562,
2621.239,198.58943,
2618.328,199.9641,
2615.418,206.96136,
2612.507,201.90169,
2609.597,205.0741,
2606.686,207.85796,
2603.775,217.77975,
2600.865,216.67966,
2597.954,200.39163,
2595.044,216.94652,
2592.133,215.3447,
2589.223,217.0829,
2586.312,228.67523,
2583.401,224.7089,
2580.491,214.8846,
2577.580,218.6382,
2574.670,224.96458,
2571.759,221.72603,
2568.848,218.50896,
2565.938,216.4344,
2563.027,228.1364,
2560.117,233.87737,
2557.206,233.58441,
2554.296,223.11013,
2551.385,226.31906,
2548.474,213.92091,
2545.564,217.24513,
2542.653,227.32969,
2539.743,234.68661,
2536.832,224.33902,
2533.922,240.60923,
2531.011,232.47561,
2528.100,228.55188,
2525.190,244.78729,
2522.279,248.68704,
2519.369,226.00258,
2516.458,222.62854,
2513.548,243.61567,
2510.637,230.0391,
2507.726,243.81829,
2504.816,231.12557,
2501.905,251.66829,
2498.995,245.05825,
2496.084,259.95945,
2493.173,243.7303,
2490.263,239.04081,
2487.352,240.91713,
2484.442,250.47296,
2481.531,247.61978,
2478.621,248.60608,
2475.710,249.67867,
2472.799,254.89856,
2469.889,251.0793,
2466.978,244.68693,
2464.068,238.75197,
2461.157,248.54508,
2458.247,247.99279,
2455.336,256.0516,
2452.425,260.5401,
2449.515,267.93687,
2446.604,276.81865,
2443.694,252.53208,
2440.783,262.72185,
2437.872,271.26035,
2434.962,260.83698,
2432.051,266.91528,
2429.141,267.08393,
2426.230,263.625,
2423.320,272.15363,
2420.409,271.13779,
2417.498,273.625,
2414.588,279.34741,
2411.677,267.01944,
2408.767,284.45472,
2405.856,292.89887,
2402.946,285.78586,
2400.035,287.72594,
2397.124,281.63569,
2394.214,283.46141,
2391.303,273.30454,
2388.393,288.31573,
2385.482,282.10968,
2382.571,291.96687,
2379.661,286.76457,
2376.750,287.09788,
2373.840,280.99691,
2370.929,290.49504,
2368.019,305.61394,
2365.108,286.60144,
2362.197,293.20858,
2359.287,290.83503,
2356.376,284.63381,
2353.466,297.16947,
2350.555,306.48982,
2347.645,296.84884,
2344.734,308.23332,
2341.823,331.29334,
2338.913,305.80261,
2336.002,314.0412,
2333.092,322.68254,
2330.181,308.3079,
2327.270,323.52489,
2324.360,322.35614,
2321.449,313.19301,
2318.539,311.41402,
2315.628,317.65058,
2312.718,328.75717,
2309.807,319.30813,
2306.896,329.88478,
2303.986,326.6639,
2301.075,329.96538,
2298.165,319.26889,
2295.254,323.43111,
2292.344,336.88639,
2289.433,332.53999,
2286.522,332.18732,
2283.612,341.58417,
2280.701,318.45015,
2277.791,346.9838,
2274.880,333.33697,
2271.969,341.17233,
2269.059,348.65225,
2266.148,346.78861,
2263.238,361.71765,
2260.327,359.14191,
2257.417,330.13222,
2254.506,347.86148,
2251.595,352.05409,
2248.685,361.9365,
2245.774,351.20767,
2242.864,358.40304,
2239.953,367.57676,
2237.043,357.8975,
2234.132,359.13147,
2231.221,369.30978,
2228.311,358.57734,
2225.400,371.39984,
2222.490,361.58261,
2219.579,363.90783,
2216.669,385.625,
2213.758,392.14788,
2210.847,382.72829,
2207.937,392.09567,
2205.026,399.51421,
2202.116,391.14942,
2199.205,395.92477,
2196.294,398.939,
2193.384,392.65149,
2190.473,404.3527,
2187.563,403.61533,
2184.652,404.48663,
2181.742,428.60326,
2178.831,448.06469,
2175.920,445.12773,
2173.010,467.27693,
2170.099,462.75992,
2167.189,496.74698,
2164.278,516.70641,
2161.368,537.4818,
2158.457,559.45195,
2155.546,580.74616,
2152.636,603.92281,
2149.725,634.43035,
2146.815,655.05773,
2143.904,677.52092,
2140.993,676.23865,
2138.083,697.69494,
2135.172,690.58302,
2132.262,699.38028,
2129.351,718.23889,
2126.441,682.9841,
2123.530,666.08625,
2120.619,616.28565,
2117.709,597.406,
2114.798,584.4596,
2111.888,557.00113,
2108.977,516.73095,
2106.067,488.66556,
2103.156,473.82665,
2100.245,461.625,
2097.335,458.97579,
2094.424,438.42825,
2091.514,435.34006,
2088.603,436.625,
2085.692,427.16781,
2082.782,435.46828,
2079.871,420.26678,
2076.961,444.62309,
2074.050,408.91591,
2071.140,414.625,
2068.229,415.16927,
2065.318,421.21801,
2062.408,427.64013,
2059.497,430.23215,
2056.587,415.60202,
2053.676,409.44162,
2050.766,427.16237,
2047.855,402.68196,
2044.944,407.8173,
2042.034,426.72902,
2039.123,412.46338,
2036.213,395.74055,
2033.302,401.14664,
2030.391,416.28575,
2027.481,408.97878,
2024.570,407.1535,
2021.660,385.98497,
2018.749,418.96691,
2015.839,423.72408,
2012.928,396.55621,
2010.017,399.68907,
2007.107,410.99507,
2004.196,397.11309,
2001.286,402.66739,
1998.375,405.23327,
1995.465,403.05179,
1992.554,396.48976,
1989.643,386.93607,
1986.733,388.98289,
1983.822,381.8569,
1980.912,403.07018,
1978.001,384.8031,
1975.090,382.60974,
1972.180,380.90161,
1969.269,364.69969,
1966.359,358.625,
1963.448,357.89448,
1960.538,379.53576,
1957.627,359.65904,
1954.716,385.76319,
1951.806,373.78691,
1948.895,340.02781,
1945.985,353.30147,
1943.074,366.50325,
1940.164,350.46124,
1937.253,329.20755,
1934.342,332.12072,
1931.432,318.3474,
1928.521,338.4972,
1925.611,342.37188,
