,PLFBCD~1,
Raman shift [1/cm],Intensity,
3014.167,1.75,
3011.256,0.60007516,
3008.346,72.268755,
3005.435,95.559189,
3002.525,99.579978,
2999.614,110.22533,
2996.704,114.47577,
2993.793,109.62615,
2990.882,109.31488,
2987.972,105.84585,
2985.061,122.53325,
2982.151,122.39202,
2979.240,127.28231,
2976.329,130.4959,
2973.419,148.45783,
2970.508,149.5333,
2967.598,148.98896,
2964.687,148.4966,
2961.777,143.65599,
2958.866,153.41865,
2955.955,164.40927,
2953.045,155.33615,
2950.134,174.53717,
2947.224,171.03469,
2944.313,184.79487,
2941.403,202.78604,
2938.492,182.04811,
2935.581,205.35733,
2932.671,198.26931,
2929.760,190.47307,
2926.850,216.13007,
2923.939,208.46962,
2921.028,212.06179,
2918.118,193.3898,
2915.207,208.23122,
2912.297,204.81347,
2909.386,224.95438,
2906.476,213.85114,
2903.565,224.2826,
2900.654,215.07963,
2897.744,225.43569,
2894.833,207.76018,
2891.923,190.99029,
2889.012,217.29335,
2886.102,210.54189,
2883.191,206.75283,
2880.280,204.61124,
2877.370,200.53488,
2874.459,204.81904,
2871.549,206.07925,
2868.638,213.29434,
2865.727,230.69616,
2862.817,240.59357,
2859.906,216.23148,
2856.996,232.22962,
2854.085,217.38442,
2851.175,229.72887,
2848.264,236.68617,
2845.353,230.8794,
2842.443,227.96532,
2839.532,220.95892,
2836.622,226.59831,
2833.711,212.07651,
2830.801,218.63456,
2827.890,234.64686,
2824.979,235.25603,
2822.069,242.72726,
2819.158,244.9306,
2816.248,246.52026,
2813.337,238.11097,
2810.427,242.05855,
2807.516,228.85797,
2804.605,240.72836,
2801.695,232.22367,
2798.784,235.23254,
2795.874,237.75,
2792.963,231.96415,
2790.052,251.74507,
2787.142,230.68419,
2784.231,228.75,
2781.321,238.63004,
2778.410,247.60026,
2775.500,243.28172,
2772.589,240.3662,
2769.678,240.6818,
2766.768,247.04129,
2763.857,252.592,
2760.947,242.69326,
2758.036,242.22139,
2755.126,251.17949,
2752.215,254.06825,
2749.304,254.38849,
2746.394,247.57463,
2743.483,249.49994,
2740.573,247.44242,
2737.662,248.99408,
2734.751,258.16756,
2731.841,244.83058,
2728.930,259.19914,
2726.020,265.75521,
2723.109,259.111,
2720.199,256.57173,
2717.288,272.31204,
2714.377,269.49164,
2711.467,260.32363,
2708.556,266.22874,
2705.646,263.21478,
2702.735,274.72937,
2699.825,261.10821,
2696.914,267.75,
2694.003,272.03455,
2691.093,279.41065,
2688.182,257.13,
2685.272,262.30761,
2682.361,269.1441,
2679.450,271.87345,
2676.540,268.8313,
2673.629,271.75449,
2670.719,273.60398,
2667.808,275.75,
2664.898,276.37354,
2661.987,287.1504,
2659.076,268.70908,
2656.166,287.62017,
2653.255,282.56293,
2650.345,282.2618,
2647.434,295.92148,
2644.524,293.50298,
2641.613,290.86439,
2638.702,307.51328,
2635.792,293.84273,
2632.881,293.08943,
2629.971,295.47489,
2627.060,289.58344,
2624.149,294.26249,
2621.239,300.75,
2618.328,305.87716,
2615.418,313.06364,
2612.507,304.37457,
2609.597,302.83184,
2606.686,300.50302,
2603.775,299.5873,
2600.865,308.33367,
2597.954,310.46871,
2595.044,326.40191,
2592.133,316.29763,
2589.223,319.34054,
2586.312,313.65449,
2583.401,323.70984,
2580.491,315.84616,
2577.580,331.74505,
2574.670,329.58021,
2571.759,329.54795,
2568.848,323.63396,
2565.938,315.13093,
2563.027,317.28637,
2560.117,332.54443,
2557.206,332.80535,
2554.296,329.03375,
2551.385,320.312,
2548.474,326.78718,
2545.564,304.57304,
2542.653,337.92784,
2539.743,345.45332,
2536.832,352.15936,
2533.922,329.22308,
2531.011,345.55112,
2528.100,327.80929,
2525.190,346.70287,
2522.279,358.85894,
2519.369,343.16495,
2516.458,346.5262,
2513.548,350.41356,
2510.637,357.62703,
2507.726,358.87268,
2504.816,359.56172,
2501.905,357.18476,
2498.995,346.34719,
2496.084,354.52351,
2493.173,350.09205,
2490.263,367.09805,
2487.352,364.83187,
2484.442,346.59796,
